num_opportunities,EMP_2016,,
1,1144934.481866102,1108980.444872382,35954.03699
2,1218730.873466732,1185730.010757112,33000.86271
3,1356827.589934492,1338120.252436902,18707.3375
4,1458753.013293001,1442749.155054311,16003.85824
5,1450242.608494814,1434238.7502561242,16003.85824
6,1179433.158467032,1145536.797664512,33896.3608
7,1245121.282996332,1223810.103000062,21311.18
8,1226989.032464134,1203997.1169408641,22991.91552
9,1121711.594042802,1093800.809715282,27910.78433
10,1203376.713490934,1180384.7979676642,22991.91552
11,1132505.582595302,1101875.229821732,30630.35277
12,1175503.3137421021,1143588.881946932,31914.4318
13,1271894.037883484,1261567.082204414,10326.95568
14,1296782.0216019142,1286408.675364824,10373.34624
15,1214450.6284013342,1188332.4903218641,26118.13808
16,1313268.3815352041,1301063.838763914,12204.54277
17,1227902.9440267342,1209010.884871464,18892.05916
18,1282566.087018552,1260158.551372082,22407.53565
19,1284619.914890352,1262212.379243882,22407.53565
20,1325384.852796474,1312504.7905628842,12880.06223
21,1363960.3798659442,1349344.865008254,14615.51486
22,1422824.124788814,1408027.163612324,14796.96118
23,1399663.055425594,1388877.7643930041,10785.29103
24,1336090.977590604,1321375.2243295142,14715.75326
25,1459445.696206124,1437731.6419346342,21714.05427
26,1533848.185718601,1516676.8660574812,17171.31966
27,1461272.0946280141,1442677.090096924,18595.00453
28,1479055.455557604,1458174.2700786141,20881.18548
29,1520048.046345171,1499384.4541729812,20663.59217
30,1486601.1569774211,1462236.3276310312,24364.82935
31,1462238.916522081,1447822.2215528912,14416.69497
32,1491797.4198846312,1479084.076671441,12713.34321
33,1444590.025704431,1433867.690890911,10722.33481
34,1442531.181091181,1431808.8462776612,10722.33481
35,1276573.908819334,1266172.2824346642,10401.62638
36,1502086.2152691062,1486941.532393916,15144.68288
37,1552621.054269686,1532663.213223196,19957.84105
38,1568331.7783417562,1547934.381031166,20397.39731
39,1564952.018174926,1544851.9767066361,20100.04147
40,1574368.1447002562,1553255.768597016,21112.3761
41,1534573.0232634812,1511518.989190591,23054.03407
42,1522615.6800685811,1496993.3956725912,25622.2844
43,1505443.0985491911,1488139.618303901,17303.48025
44,1492644.799915486,1480882.887882366,11761.91203
45,1473088.1930349912,1461326.281001871,11761.91203
46,1589250.4001656661,1573081.872783326,16168.52738
47,1596431.8903262762,1580216.5212825362,16215.36904
48,1607206.793810836,1585144.8357361462,22061.95807
49,1553181.709337746,1528574.253251956,24607.45609
50,1556230.794075356,1535564.141444036,20666.65263
51,1551107.530234456,1530871.342871936,20236.18736
52,1547618.521215676,1534132.670459856,13485.85076
53,1458168.4759129111,1442164.617674221,16003.85824
54,1571707.1439662261,1552129.569127036,19577.57484
55,1586276.634343526,1570319.750779336,15956.88356
56,1588248.281992006,1573820.3027071161,14427.97928
57,1597930.777802146,1583688.6093834562,14242.16842
58,1594698.8773210861,1577985.515837466,16713.36148
59,1563055.8425732262,1546166.013313506,16889.82926
60,1468850.010975509,1464509.960995309,4340.04998
61,1552150.2148623462,1540204.234323526,11945.98054
62,1529696.6367142862,1522975.595463236,6721.041251
63,1501807.461223806,1496342.809749586,5464.651474
64,1108615.447473052,1089578.282448252,19037.16502
65,1386839.739111432,1370467.070123042,16372.66899
66,1426206.3230823842,1411242.0420632942,14964.28102
67,1494747.101992601,1479950.1408161111,14796.96118
68,1535725.736250096,1519597.3593189062,16128.37693
69,1563943.2704802311,1543902.3683566411,20040.90212
70,1511765.7000117062,1496671.1713626161,15094.52865
71,1576267.9870861662,1558241.857409076,18026.12968
72,1533384.047793851,1516115.636082961,17268.41171
73,1564129.8328366661,1546252.7620498461,17877.07079
74,1553291.143919026,1537864.783751206,15426.36017
75,1529414.258502756,1523134.606093036,6279.65241
76,1532360.4860990562,1527045.251252036,5315.234847
77,1516118.4603492762,1510653.808875056,5464.651474
78,1488803.132667752,1451712.065143172,37091.06752
79,1414255.010642732,1403881.664405642,10373.34624
80,1435649.178050512,1422388.849609622,13260.32844
81,1474218.281326809,1461141.237382519,13077.04394
82,1529992.0301515711,1520757.274953681,9234.755198
83,1509167.6080663411,1496238.0813121512,12929.52675
84,1536138.8845328812,1525700.659175761,10438.22536
85,1511641.634566941,1504888.878115121,6752.756452
86,1487124.636937286,1481337.769537866,5786.867399
87,1495630.187506786,1487923.724999966,7706.462507
88,1442645.610678352,1408889.775799832,33755.83488
89,1382514.863598302,1365564.464151412,16950.39945
90,1373539.674079302,1363449.846115032,10089.82796
91,1352544.382818912,1340890.824683442,11653.55814
92,1463936.904647372,1455990.254427082,7946.65022
93,1508829.188855394,1503364.537381174,5464.651474
94,1517068.0368892942,1511110.600404774,5957.436485
95,1545995.7574788912,1534845.0969073712,11150.66057
96,1498604.8464356512,1492647.409951131,5957.436485
97,1483627.0601996111,1478635.5127674912,4991.547432
98,1489699.7104350112,1483938.1573175911,5761.553117
99,1378221.302620704,1368872.097059204,9349.205562
100,1335846.5243053841,1327711.754840814,8134.769465
101,1437361.251964162,1429414.601743872,7946.65022
102,1471440.3272822541,1465180.3558407342,6259.971442
103,1557098.0813147512,1551140.644830231,5957.436485
104,1570438.595503981,1567406.9400022612,3031.655502
105,1547735.999346151,1543262.551206331,4473.44814
106,1494407.8362439212,1490380.706374501,4027.129869
107,1453783.9313426411,1450881.4029672411,2902.528375
108,1295266.051105452,1282565.493606382,12700.5575
109,1402255.386318972,1392809.088707702,9446.297611
110,1468239.6731160842,1462775.0216418642,5464.651474
111,1535109.9743203511,1525919.523468831,9190.450852
112,1554021.3247069512,1545521.437131331,8499.887576
113,1491445.223910354,1485487.787425834,5957.436485
114,1468461.4249426841,1462201.453501164,6259.971442
115,1445266.176193464,1440792.728053644,4473.44814
116,1462851.426533411,1458824.2966639912,4027.129869
117,1353306.686018702,1348966.636038502,4340.04998
118,1424349.992328532,1418885.340854312,5464.651474
119,1419239.478377294,1415543.6011149741,3695.877262
120,1405417.3656417942,1401550.419703694,3866.945938
121,1454624.1591995312,1453305.351079111,1318.80812
122,1434985.5789122342,1433666.7707918142,1318.80812
123,1404951.083890744,1401602.237244944,3348.846646
124,1360690.841772824,1357341.9951270241,3348.846646
125,1338835.217280932,1330700.447816362,8134.769465
126,1342134.757212682,1337794.707232482,4340.04998
127,1389801.752357032,1382197.506288832,7604.246068
128,1404009.167352242,1395497.779023822,8511.388328
129,1433638.7175035041,1431572.951054184,2065.766449
130,1413866.569845742,1405355.181517322,8511.388328
131,1408674.3497861142,1404334.299805914,4340.04998
132,1411656.1374002541,1408307.2907544542,3348.846646
133,1434129.413326152,1428882.221085732,5247.19224
134,1478773.260863089,1473526.068622669,5247.19224
135,1409560.648550232,1405438.057803832,4122.590746
136,1292240.553161982,1283131.894588312,9108.658574
137,1412170.086331802,1408047.495585402,4122.590746
138,1451003.651904332,1448443.205546212,2560.446358
139,1438557.965025702,1437570.409512382,987.5555133
140,1428148.319165202,1424025.728418802,4122.590746
141,1391345.329364572,1387222.738618172,4122.590746
142,1431792.576692852,1430851.411737552,941.1649553
143,1469539.370722089,1468220.562601669,1318.80812
144,1396791.695054912,1392451.645074712,4340.04998
145,1469149.857761789,1467384.731370969,1765.126391
146,1578080.898334691,1577093.342821371,987.5555133
147,875013.6665,806911.036,68102.63056
148,868641.296,849241.5956,19399.70046
149,1412605.509537354,1395918.592975564,16686.91656
150,1364663.546151152,1347346.858279962,17316.68787
151,1351060.672518802,1310167.102778612,40893.56974
152,1275694.903459692,1223479.8527443921,52215.05072
153,1363850.910238252,1326065.411192562,37785.49905
154,1519837.882633102,1477875.396060202,41962.48657
155,1436723.145474322,1393902.089847402,42821.05563
156,1339503.593516902,1300872.155248912,38631.43827
157,1257894.770720542,1233155.705882072,24739.06484
158,1198048.908813172,1189853.921986702,8194.986826
159,1249609.725500582,1240501.066926912,9108.658574
160,1350076.887846372,1343040.447192802,7036.440654
161,1586599.4897634962,1563719.220737226,22880.26903
162,1521214.9675719412,1514462.2111201212,6752.756452
163,968298.4765,957101.3739,11197.10256
164,1067396.131053672,1054022.722280502,13373.40877
165,1193864.494899662,1184271.480196992,9593.014703
166,1079028.196666872,1073711.844328302,5316.352339
167,1019800.666432092,1011322.594024522,8478.072408
168,1327274.679337382,1321189.669863882,6085.009474
169,1248304.898056702,1243095.909574932,5208.988482
170,1259886.662963212,1253168.945855242,6717.717108
171,1316269.151377882,1307230.715138612,9038.436239
172,1226861.723837952,1218190.400923782,8671.322914
173,1117509.446128102,1112193.093789532,5316.352339
174,1528573.149932306,1521820.393480486,6752.756452
175,1232875.546800152,1231243.818568952,1631.728231
176,1360626.808685392,1356286.758705192,4340.04998
177,1360330.170476624,1356463.2245385242,3866.945938
178,1295883.309053012,1291338.169796512,4545.139257
179,1257659.100008412,1253545.373031142,4113.726977
180,1161105.621339362,1157088.115453192,4017.505886
181,1344457.886010424,1340891.5801308241,3566.30588
182,1254744.845549602,1251842.317174202,2902.528375
183,1219334.726817862,1217497.909310362,1836.817508
184,1260051.923362402,1257149.394987002,2902.528375
185,1227276.199225382,1227276.199225382,0
186,1281668.516579192,1237805.893500542,43862.62308
187,1458001.087058672,1425084.764386402,32916.32267
188,1350842.999714032,1344012.497746432,6830.501968
189,1347028.854844072,1342688.804863872,4340.04998
190,1290255.301707202,1285915.251727002,4340.04998
191,1262560.647017802,1258693.701079702,3866.945938
192,1433881.702275732,1429759.1115293321,4122.590746
193,1340197.425852872,1335857.375872672,4340.04998
194,1512590.393138501,1511271.5850180811,1318.80812
195,1432648.327513932,1428525.736767532,4122.590746
196,1268192.677292002,1265290.148916602,2902.528375
197,1529729.989670901,1529489.392486481,240.5971844
198,1422595.048918012,1422400.842291612,194.2066264
199,1260052.307024412,1259111.142069112,941.1649553
200,1419773.132038422,1415433.082058222,4340.04998
201,1383918.385717482,1382153.259326662,1765.126391
202,1263736.783553382,1263096.258656582,640.5248968
205,1338537.169585742,1333460.080352772,5077.089233
206,1289181.398442182,1280072.739868512,9108.658574
207,1271968.981712572,1261879.845978502,10089.13573
208,1479773.579057589,1474526.386817169,5247.19224
209,1339427.418142362,1331963.480658592,7463.937484
210,1478348.201013782,1474527.676838312,3820.524175
211,1470679.998123702,1468726.553557982,1953.444566
212,1366242.120118692,1362611.676727222,3630.443391
213,1289240.208424122,1282454.1185524021,6786.089872
214,1183999.794176242,1172496.458271042,11503.33591
215,1573594.513469902,1571641.068904182,1953.444566
216,1356368.254807542,1347786.710272772,8581.544535
217,1429433.982756262,1427480.538190542,1953.444566
218,1350649.586181482,1348244.600357692,2404.985824
219,1315316.405618822,1309968.943591502,5347.462027
220,1206123.493562842,1190822.851500342,15300.64206
221,1059649.697960582,1045809.286609882,13840.41135
222,1357103.328370782,1353072.439482792,4030.888888
223,1167754.525409692,1153734.227533322,14020.29788
224,1436271.859172952,1432792.547057162,3479.312116
225,1168867.079966072,1157487.446473902,11379.63349
226,970448.666,940547.1653,29901.50069
227,1144115.933602602,1075093.539758302,69022.39384
228,1159460.668937602,1088874.546301352,70586.12264
229,1082574.955425722,1047602.044680012,34972.91075
230,934923.0235,922212.0116,12711.01182
231,1041560.054652232,1036218.785380662,5341.269272
232,1061332.261714642,1054907.337585872,6424.924129
233,1101499.433672032,1093369.826720662,8129.606951
236,1034847.944634032,1027487.201224262,7360.74341
237,984071.1173,972521.3793,11549.73803
238,1002273.348334702,990812.9277,11460.42062
239,1296193.473910842,1284826.210376172,11367.26353
240,1446234.517690682,1438010.066908112,8224.450783
241,1132135.336712022,1115516.309509152,16619.0272
242,1175048.314064862,1168448.059217592,6600.254847
243,1228534.741229972,1215856.302425702,12678.4388
244,1444108.256048582,1435883.805266012,8224.450783
245,1259626.335594812,1247363.505350742,12262.83024
246,1237581.177723352,1228606.078529082,8975.099194
247,1276922.473764412,1264659.643520342,12262.83024
248,1302369.967368982,1289923.852628312,12446.11474
249,1306888.215314012,1295520.951779342,11367.26353
250,1183977.816119542,1176518.062282872,7459.753837
251,1152048.447122572,1144588.693285902,7459.753837
252,988479.6721,976513.2498,11966.42233
253,1115544.610730672,1101921.469528902,13623.1412
254,1343476.427756002,1334319.436757332,9156.990999
255,1294580.178406182,1283212.914871512,11367.26353
256,1236623.864044582,1223839.540303212,12784.32374
257,1171392.481433872,1161602.847726602,9789.633707
258,1282569.441319392,1235288.226061142,47281.21526
259,1179797.724899352,1171257.802620982,8539.922278
260,1160862.219803692,1146876.733257422,13985.48655
261,1105743.054383372,1058755.425178422,46987.6292
262,1173080.999065562,1092001.707,81079.29183
263,1100001.770490502,1005716.439,94285.33197
264,1331389.230401572,1248240.005259672,83149.22514
265,1039482.472010992,1027556.211358822,11926.26065
266,992880.4104,982278.1826,10602.22782
267,995656.7515,922068.8744,73587.87709
268,1251737.626578402,1186794.774102872,64942.85248
270,1341565.635101082,1319492.515220062,22073.11988
271,1266943.851329622,1246408.322562202,20535.52877
272,1117270.072552262,1088468.100174152,28801.97238
273,1087937.564240482,1046483.641,41453.92287
274,1318592.484948082,1235154.688112852,83437.79684
275,1237519.831976452,1168317.672901122,69202.15908
276,1101639.023260692,1019031.751,82607.27203
277,1321168.431033682,1183084.367473582,138084.0636
278,1166263.482285582,1000907.385,165356.0972
279,1455464.197232542,1285506.832682772,169957.3645
280,1143370.379873482,977324.7473877401,166045.6325
281,1288885.456801262,1079465.457069602,209419.9997
282,1059625.643508002,946735.5853,112890.0582
283,1218814.305032492,1109072.750752362,109741.5543
284,1255127.869281392,1091090.842279352,164037.027
285,1158148.885365212,1056841.731,101307.1546
286,1003247.020398482,914724.5519,88522.46852
287,1076863.719794002,1007924.905,68938.81432
288,1012023.147260922,921142.3715,90880.77577
289,965248.7525,917126.4277269801,48122.3248
290,918764.291,873996.9246,44767.36637
291,1414145.763363302,1297894.121524652,116251.6418
292,1344998.141524242,1189989.393832552,155008.7477
300,923964.4201,916981.0757,6983.344474
301,848952.0419,848952.0419,0
302,860824.9267,853841.5822,6983.344474
303,939967.2613,925275.9512,14691.31012
304,1001988.419312752,986264.5687,15723.8506
305,1134214.550040762,1117832.650552692,16381.89949
306,958622.1361,950534.9267646921,8087.209354
307,1117645.365480742,1102647.474064472,14997.89142
308,1050996.474853112,1033714.444359942,17282.03049
309,1276585.638154902,1268278.039940132,8307.598215
310,1130332.737666592,1113076.876124522,17255.86154
311,851970.29,851970.29,0
312,971566.6667,949336.6622,22230.00453
313,1075674.121562662,1058316.936553992,17357.18501
314,1110801.697113842,1093958.383847272,16843.31327
315,1115557.053339242,1100559.161922972,14997.89142
316,1068512.548247862,1056282.807855692,12229.74039
317,1153180.409881322,1137407.819978652,15772.5899
318,1112714.928903312,1099234.597312942,13480.33159
319,1226984.204251682,1217356.359398112,9627.844854
320,1207820.384085182,1199762.168006412,8058.216079
321,1156439.218576942,1140666.628674272,15772.5899
322,1135466.818285532,1120106.776658362,15360.04163
323,1060849.906159802,1051644.473557832,9205.432602
324,1004040.962715482,994341.6134,9699.349342
325,1084697.563846322,1071217.232255952,13480.33159
328,1204985.559548552,1195380.658223482,9604.901325
329,1102290.524164622,1095789.553735652,6500.970429
330,922671.512,904041.604,18629.90799
331,1297184.710880202,1287726.516025732,9458.194854
332,880858.4542,874731.1216,6127.332575
333,1181825.419881452,1171187.614907482,10637.80497
334,89766.0082,89766.0082,0
400,102576.697,102576.697,0
401,150048.5287,143050.1302,6998.398486
402,152807.0351,152060.3472,746.6878339
405,575598.6568,567499.1507,8099.506045
406,508653.2067,383648.9229,125004.2838
407,583302.6136,578806.3505,4496.263109
408,660208.6181,632384.2203,27824.39781
409,1013446.211,1004835.983,8610.22723
410,1163313.432666322,1110394.050209022,52919.38246
411,1343342.543874696,1332359.446150176,10983.09772
412,924781.4742,903907.1521,20874.32204
413,792067.2642,767494.1719,24573.09228
414,958718.91,950474.2479,8244.662062
415,745372.2548,714032.2705,31339.98426
416,774970.4098,757062.4687,17907.94114
417,698546.7928,662995.1605,35551.63223
418,1096132.127,1058916.5,37215.62779
420,868374.2649,844819.7232,23554.5417
421,684664.2932,585551.1319,99113.16127
422,658526.2716,549963.1175,108563.1541
423,688409.8911,563220.5766,125189.3145
424,610272.6096,522965.445,87307.16457
425,493205.528,432077.543,61127.98501
426,809163.7268,626506.734,182656.9928
428,120023.2101,118137.97210243001,1885.237949
429,122652.6066,108000.218,14652.3886
430,39602.28354,39602.28354,0
433,1206820.224081432,1153027.201506262,53793.02258
434,981477.5393,959593.2032,21884.33613
435,51075.49511,51075.49511,0
500,892389.2325,890059.0177,2330.214749
501,804464.3243,802580.6607,1883.663537
502,826045.5737,824355.3061,1690.267546
503,695966.335,691648.9906,4317.344388
504,711610.6512,704952.5893,6658.061896
505,735224.8607,723507.4149,11717.44583
508,633420.4954,631804.6174,1615.877954
509,587319.1579,586817.6638,501.4940992
510,589244.1921,588645.6455,598.5466444
511,789300.2594,788134.6585,1165.600933
512,716162.7163,713057.5064,3105.209898
513,632668.0002,629597.8885,3070.111641
514,676822.2804,673586.5733,3235.707047
517,1248150.248410112,1244583.942530512,3566.30588
518,1092249.141496872,1090520.321215902,1728.820281
519,987560.8346,984291.4676,3269.366952
520,1038012.082329742,1034115.814586272,3896.267743
521,961036.1826,959307.3623,1728.820281
522,875715.6284,844952.8101,30762.81827
523,919887.0417,906475.2847,13411.75698
524,785434.292,739122.3635,46311.92848
525,1168587.890884662,1167076.529837492,1511.361047
527,766091.7036,755623.9311,10467.7725
530,842861.4475,832003.8734106501,10857.5741
531,971821.1542,966621.3605,5199.79369
532,866783.575,857084.2257,9699.349342
533,774777.6271,767721.8767,7055.750436
534,1152982.771662962,1149818.636026192,3164.135637
535,957504.5897,951486.3694,6018.220319
536,1040649.877201072,1034206.362791502,6443.51441
537,1226861.723837952,1219656.854747482,7204.86909
538,779311.0126,771253.8832,8057.129403
539,1281169.720759832,1272131.284520562,9038.436239
540,654847.702,653720.5399,1127.162071
541,1106095.988729572,1102997.905155902,3098.083574
542,809752.028,806393.8131,3358.214904
543,718835.1995,715994.9352,2840.264304
544,711264.7286,709033.7016717601,2231.026951
545,828529.7567,826451.8866,2077.870163
548,240745.0979,240745.0979,0
549,330597.5378,330597.5378,0
550,586006.8106,585505.3164567701,501.4940992
551,327992.0021,327992.0021,0
554,982690.0909,978622.9953,4067.09555
555,1057806.178344602,1054607.856367532,3198.321977
556,1179902.242020232,1176743.0135295321,3159.228491
557,1004199.2669991821,1001101.183425512,3098.083574
558,1084495.043018472,1081777.225652102,2717.817366
559,1182018.993506932,1179116.465131532,2902.528375
560,974341.5406,971143.2186,3198.321977
561,1003558.857570282,1001228.642821612,2330.214749
562,1034022.450349472,1031477.843673502,2544.606676
563,1102705.692036502,1096798.126056332,5907.56598
564,983445.208,981813.4798,1631.728231
565,1036491.2889238821,1033588.760548482,2902.528375
566,1074794.884198412,1074600.677572012,194.2066264
567,965541.0694,954962.7429,10578.32649
570,124340.0808,124340.0808,0
571,298894.8357,298894.8357,0
572,367027.4184,367027.4184,0
573,509767.6747,509767.6747,0
574,589699.5965,588063.4819,1636.114583
575,127784.9854,127784.9854,0
577,950352.2753,945346.6883,5005.587064
578,981664.6984,979334.4836,2330.214749
579,1147914.784424332,1144018.516680862,3896.267743
580,959369.8786,957039.6639,2330.214749
600,782865.8936,744860.3498,38005.54383
601,695527.3206,644632.7553,50894.56526
602,800748.4465325701,746517.6799,54230.76668
603,698198.838,647929.9365,50268.90154
604,835459.9548,707446.5950776701,128013.3597
605,848104.3619,715113.9001,132990.4617
606,751172.3261269201,695182.208,55990.11811
607,663151.0285,535576.1231,127574.9054
608,661603.9628,587367.9984,74235.96443
609,1000936.645,952798.6245,48138.02069
610,780597.9613,762655.4015,17942.55982
611,1137945.771654222,1126733.953458622,11211.8182
612,986916.8246,911262.4784,75654.34624
613,1165610.601418612,1132092.314944212,33518.28647
614,908894.0524,894085.1554,14808.89697
615,1067122.185244562,942035.9583,125086.227
616,800300.1932,780993.3417,19306.85144
617,916619.2209001901,904031.5752,12587.64572
618,1012566.875,956780.2812,55786.59375
619,1063854.022587542,872674.3586,191179.664
620,1061672.350605132,875529.96,186142.3906
621,998708.772,887387.194,111321.578
622,870500.7557,859972.715,10528.04076
624,1038255.517583622,503871.5761,534383.9415
625,519497.1613,454646.541,64850.62029
626,24391.29071,24235.37775,155.9129561
627,901183.4447,431776.1093,469407.3354
628,389621.1434,260402.1256,129219.0177
629,776644.385,404636.8669,372007.5181
630,919280.2004,450944.2315,468335.9689
631,1131033.486331852,458714.643,672318.8433
632,1100696.299805442,182262.26328323002,918434.0365
633,380544.3326,188164.8091,192379.5235
634,945998.2153,84572.68547,861425.5298
635,18270.09841,16009.738952489999,2260.359458
636,1196459.562746452,813690.1609,382769.4019
637,1242245.550379022,848985.8386,393259.7118
638,1038583.960999022,640522.6199,398061.3411
639,857766.2375981701,536722.9264,321043.3112
640,1064778.190688742,706479.1362,358299.0545
641,701662.8108,548632.8254,153029.9854
642,1042981.390683822,671484.3902,371497.0005
643,973042.106,639023.9942,334018.1118
644,974456.8882,623786.5615,350670.3267
645,956433.5977,598318.3382,358115.2595
646,965035.8999,564316.9964,400718.9035
647,1132556.394318952,519095.3274,613461.0669
650,897739.9835,861827.21,35912.77354
651,900982.4752,867778.0234,33204.45179
652,905727.1185,883573.2003,22153.91819
653,885526.5185,836965.2864,48561.23214
654,1137274.903206792,990512.345,146762.5582
655,902665.7379,836755.8131,65909.92481
656,1177142.586419822,1108714.375391322,68428.21103
657,1248901.701625722,921421.2987,327480.403
658,966390.6065,790822.2950833701,175568.3115
659,1137129.545209852,797337.6848,339791.8604
660,1021053.736698052,853986.7166,167067.0201
661,894901.4678,773754.8833,121146.5844
662,591938.6382,509482.509,82456.1292
663,1105093.855278442,761800.2736,343293.5817
664,759880.4134,719940.911,39939.50241
665,1205687.298964472,1100746.063501992,104941.2355
666,1526681.364427862,1480129.390781642,46551.97365
667,1128883.042319352,1119724.137353952,9158.904965
668,1421395.991230504,1401209.474560334,20186.51667
700,756335.9576,718175.1633,38160.79431
701,559864.0781,549015.0456,10849.03256
702,893420.4693,838362.2388643121,55058.23044
703,819923.1925,783244.9564,36678.23609
704,806136.8568,756620.042,49516.81486
705,1315540.722663287,1235391.442316517,80149.28035
706,1248651.421276872,1156015.433549382,92635.98773
707,1227033.449687482,1158188.571690812,68844.878
710,1177702.705863542,1164346.3182305421,13356.38763
711,1444067.656385454,1419976.442170984,24091.21421
712,1253679.826169532,1230104.794739762,23575.03143
713,1038466.402013067,1003808.743610897,34657.6584
714,832798.3864,814879.7303,17918.6561
715,513091.3181,494605.1367,18486.18131
716,977616.0567,940787.878,36828.1787
717,320264.47,263763.2138,56501.25625
718,1217370.0538622441,1178115.965168274,39254.08869
719,1541026.527525699,1493748.871817079,47277.65571
720,1262036.025268862,1208373.480927492,53662.54434
723,1171354.594546862,1105976.354695392,65378.23985
724,1022615.903469612,938932.7402,83683.16329
725,1189115.034883672,1122284.657657072,66830.37723
726,929915.4932,843683.2524,86232.24078
727,980716.7966,898711.1542794621,82005.64235
728,1027234.6713005321,932052.6142,95182.05707
731,1122988.252378482,994661.9686,128326.2838
732,918214.4877,826500.7873,91713.70036
733,1224903.953658052,1112141.855129132,112762.0985
734,1263606.643531792,1152821.283159772,110785.3604
735,1007369.964011782,915962.1586,91407.80546
736,1598525.705529839,1538515.127753849,60010.57778
737,1312892.712350992,1217332.919071872,95559.79328
738,1384384.385468622,1316134.343048802,68250.04242
739,1402045.798670834,1312158.592097834,89887.20657
740,1393539.866599099,1338634.531350129,54905.33525
741,1500305.792289834,1414941.495760784,85364.29653
742,1500059.144920884,1414906.157308534,85152.98761
743,1084174.383441712,1031564.650891342,52609.73255
744,1306669.139183392,1222725.961382372,83943.1778
745,1132309.734829752,1009371.422974832,122938.3119
800,428586.3036,428586.3036,0
801,1033792.527805142,915618.5582,118173.9696
802,1086027.218278152,1003431.236162772,82595.98212
803,1054397.075801442,956864.3795,97532.69631
804,1231021.792130162,1135259.663419542,95762.12871
805,944346.4422,866305.7712622021,78040.6709
806,1090518.296545762,996416.0831,94102.21349
807,1350540.738838462,1308028.134624842,42512.60421
808,1286500.318953202,1222915.150830982,63585.16812
812,1007352.972554532,951315.4285,56037.54407
813,964342.481,904444.6093,59897.87173
814,895579.0831,833862.5968,61716.48629
815,807290.5919,764390.8068,42899.78512
816,1003457.287915402,972476.7043,30980.58364
817,1017900.593224332,996356.5408,21544.0524
818,880962.7364,866271.4262,14691.31012
819,966347.0232,956556.4497,9790.573409
820,958700.5421,947104.5727,11595.96938
821,1040529.568996412,1016643.762295042,23885.8067
824,1234142.014712862,1182270.759079242,51871.25563
825,1260040.952627562,1214716.315223942,45324.6374
826,1376229.376792602,1341334.044826332,34895.33197
827,1373217.648787142,1323861.529453502,49356.11933
828,1509659.352167147,1468023.720314027,41635.63185
829,826664.2379,775098.3844,51565.85352
830,954368.9719,898294.6914793421,56074.2804
831,1306765.753877552,1248671.473533332,58094.28034
832,1147881.165187952,1087598.141312262,60283.02388
833,1042704.238956232,981018.9622,61685.27679
834,1030135.860168602,979452.1814669321,50683.6787
835,977673.8866,930927.3203,46746.5663
836,1460465.753515802,1423328.106267112,37137.64725
837,1229978.6509079621,1188478.021751642,41500.62916
894,1407094.739793934,1380845.615051564,26249.12474
895,1537114.952593399,1481047.541963549,56067.41063
896,1571639.292864609,1534356.040750139,37283.25211
897,982613.3034,982613.3034,0
898,1180690.799375752,1170011.639119482,10679.16026
899,910148.9382,910148.9382,0
900,1021057.897535002,943999.6509,77058.24659
901,1045847.733700202,1020507.517398832,25340.2163
902,1046889.423624142,1032498.753561072,14390.67006
