num_opportunities,EMP_2016,,,ERP_2016,,
1,305289.0047,304694.0583,594.9463575,0.00010299,6.85E-06,"45,857"
2,400879.8651,390046.5602,10833.30486,0.00010299,8.99E-06,
3,521626.2667,505826.8442,15799.42248,0.00010299,1.17E-05,
4,566499.5649,553774.2947,12725.2702,58.99529221,7.28E+00,
5,563561.4195,546404.6757,17156.74384,142.8118795,1.75E+01,
6,347196.3364,342568.3747,4627.961665,48.40819099,3.66E+00,
7,452161.2275,447450.1412,4711.086324,178.3730884,1.76E+01,
8,400730.1618,395243.7645,5486.397321,62.80657353,5.48E+00,
9,297697.6284,297697.6284,7.60E-07,377.5755298,2.45E+01,
10,383720.9419,379092.9802,4627.961685,92.57474947,7.73E+00,
11,343068.8867,337462.8743,5606.012367,0.00010299,7.69E-06,
12,365658.308,357991.3728,7666.935158,24.53771006,1.95E+00,
13,445887.2461,436547.7296,9339.516472,32.26452915,3.13E+00,
14,490945.0957,477278.1014,13666.99434,14.29122678,1.53E+00,
15,386422.2153,380423.7929,5998.422396,26.29969088,2.21E+00,
16,509539.2582,500344.1017,9195.156463,0.00010299,1.14E-05,
17,408370.5343,405817.6646,2552.869736,0.00010299,9.16E-06,
18,475574.3593,445777.7329,29796.62642,56.94404446,5.90E+00,
19,475064.4906,450878.0229,24186.46767,373.1507618,3.86E+01,
20,507113.2373,502288.8218,4824.415517,73.75688622,8.14E+00,
21,546896.8442,541738.3903,5158.453886,12.42697009,1.48E+00,
22,567382.437,562585.6056,4796.831394,0.00010299,1.27E-05,
23,565858.4681,564141.6281,1716.840036,312.8469003,3.85E+01,
24,513906.1109,498597.9307,15308.18015,181.1260925,2.03E+01,
25,589004.1678,560605.3394,28398.82841,7.067088463,9.06E-01,
26,646325.3118,634663.1488,11662.16303,6.464326556,9.10E-01,
27,581352.5998,555934.6265,25417.97326,208.3514625,2.64E+01,
28,592160.2952,568716.8324,23443.4628,289.3970132,3.73E+01,
29,643094.4763,603337.1555,39757.32078,0.642453825,9.00E-02,
30,614702.1832,575646.0563,39056.1269,27.62682143,3.70E+00,
31,606737.5969,586446.7496,20290.84727,16.333015,2.16E+00,
32,614037.3476,598863.0038,15174.34386,266.4666687,3.56E+01,
33,615492.1949,601496.3446,13995.85033,0.00010299,1.38E-05,
34,613725.617,599859.0514,13866.56559,27.43729271,3.67E+00,
35,472342.7478,468243.0805,4099.667318,13.848952,1.42E+00,
36,623751.9955,601905.5411,21846.45444,0.00010299,1.40E-05,
