num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
1,304694.0583,594.9463575,637053.0488,6831.805063,1099931.164,16467.59351,1,YES,Barangaroo_Headland Park,64884.12626
2,390046.5602,10833.30486,754544.0389,33649.95699,1188749.677,24167.85253,2,YES,Barangaroo_Northern Cove,74488.64591
3,505826.8442,15694.69075,912192.6289,15481.10002,1336597.471,11610.21834,3,YES,Barangaroo_Southern Cove,30794.77399
4,553774.2947,10450.70943,1001489.622,30196.98153,1434338.518,10326.95574,4,YES,Barangaroo_Jenkins Lane,13964.45013
5,546404.6757,14882.18307,987289.8587,30196.98172,1425828.113,10326.95594,5,YES,Barangaroo_Ferry Terminal,33804.09123
6,342568.3747,4627.961665,676491.5382,19988.35426,1144015.318,16129.20846,6,YES,Sydney CBD_Moores Wharf,23405.44884
7,447450.1412,4711.086324,797901.672,17367.46792,1224440.232,12478.1705,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224
8,395243.7645,5486.397321,770947.8447,20718.52518,1203647.425,13654.30447,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025
9,297697.6284,7.60E-07,609813.4915,3783.258079,1089044.08,14583.26458,9,YES,Walsh Bay,66847.64739
10,379092.9802,4627.961685,718636.7351,16756.69439,1177436.651,7873.619545,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581
11,337462.8743,5606.012367,675140.0701,16275.0512,1103143.174,18288.89913,11,YES,Sydney CBD_Dawes Point Park,41747.85415
12,357991.3728,7666.935158,692904.2567,15334.69208,1139271.521,16819.46962,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033
13,436547.7296,9242.463926,839867.2293,9281.36471,1260453.657,7401.174947,13,YES,Sydney CBD_Gloucester Walk,12779.90742
14,477278.1014,13666.99434,886862.5466,12738.31631,1280429.354,7618.634399,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429
15,380423.7929,5998.422396,729459.5359,26503.53153,1190614.932,13192.84806,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852
16,500344.1017,9195.156463,888591.8448,12445.96385,1299324.508,8154.160762,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035
17,405817.6646,2552.869736,779015.0654,12456.21924,1207419.095,10633.29851,17,YES,Sydney Opera House,40824.62043
18,445777.7329,29699.57387,828799.3091,30724.50117,1258727.352,18888.05166,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639
19,450878.0229,24089.41512,832070.6053,30171.40242,1261316.055,18888.05142,19,YES,Sydney CBD_Sydney Observatory,118316.4661
20,502288.8218,4824.415541,932607.061,17573.89157,1315359.115,8491.264826,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912
21,541738.3903,5158.453885,967780.3384,21665.59362,1346300.28,10226.71706,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424
22,562585.6056,2522.270623,1004964.159,22620.49445,1408220.392,8871.53102,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661
23,564141.6281,1716.840036,999994.9885,12684.27689,1391814.067,6396.493167,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412
24,498597.9307,15308.18015,914110.7455,22082.78892,1321500.506,10326.95552,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352
25,560605.3394,15689.54214,1019757.006,26415.28085,1429100.459,13136.59792,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693
26,634663.1488,1640.572009,1095423.182,12786.25523,1509892.374,9349.205848,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604
27,555934.6265,15396.38223,1002145.927,25154.91869,1439892.511,12473.09321,27,YES,Sydney CBD_The Rocks_Science House,7229.637676
28,568716.8324,13576.64938,1028686.291,25652.62967,1452619.673,13509.18131,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092
29,603337.1555,30787.63641,1089846.081,22507.13998,1497092.192,12977.43766,29,YES,Sydney CBD_Grosvenor Place,11975.35026
30,575646.0563,28461.337,1050928.793,27048.91955,1459115.736,13760.0428,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857
31,586446.7496,10269.25624,1064238.349,23913.81449,1451409.389,12003.98853,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832
32,598863.0038,6508.487361,1070569.951,14865.17696,1475724.106,7036.44065,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135
33,601496.3446,5329.99385,1058122.304,11624.14415,1434478.459,6085.009136,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091
34,599859.0514,5200.709105,1055031.072,11624.14407,1425782.25,6085.009665,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246
35,468243.0805,4099.667318,851644.0123,21635.10317,1265153.023,10401.62633,35,YES,Royal Botanic Gardens,431650.5595
36,601905.5411,11824.86341,1065052.387,18907.80506,1484167.261,12135.72744,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797
37,632414.4599,21548.40138,1115824.407,21710.99833,1533520.737,12182.11719,37,YES,Sydney CBD_35 Clarence St,12826.76054
38,631246.8685,18332.39251,1093682.823,20771.60369,1543904.906,11801.85133,38,YES,Sydney CBD_1 York St,7629.562321
39,634500.606,27582.67997,1110085.991,20549.65603,1546883.191,12413.88727,39,YES,Sydney CBD_AAP Centre,19490.92875
40,654875.7723,40033.79827,1143140.983,24195.83066,1548153.882,14027.85561,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988
41,625705.835,30345.22244,1120140.479,30202.89382,1520121.632,14086.97354,41,YES,Sydney CBD_Royal Exchange Building,7146.816926
42,623032.6353,28801.01104,1103878.168,33010.09244,1498892.792,14927.60705,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406
43,613221.0454,10591.72702,1094689.42,17943.53787,1477008.729,9492.687885,43,YES,Sydney CBD_Department of Education Building,6398.754555
44,623289.3715,5841.80188,1093018.038,11856.468,1473073.023,9349.205388,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432
45,623978.8483,4593.542759,1081143.401,13704.62595,1448935.466,9395.596366,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785
