num_opportunities,EMP_2016,,,ERP_2016,,
1,1116398.758,1099931.164,16467.59351,0.00010299,2.50E-05,"449,850"
2,1212917.53,1188749.677,24167.85253,0.00010299,2.72E-05,
3,1348207.689,1336597.471,11610.21834,0.00010299,3.02E-05,
4,1444665.474,1434338.518,10326.95574,58.99529221,1.86E+01,
5,1436155.069,1425828.113,10326.95594,142.8118795,4.47E+01,
6,1160144.526,1144015.318,16129.20846,48.40819099,1.22E+01,
7,1236918.402,1224440.232,12478.1705,178.3730884,4.80E+01,
8,1217301.729,1203647.425,13654.30447,62.80657353,1.66E+01,
9,1103627.345,1089044.08,14583.26458,377.5755298,9.07E+01,
10,1185310.271,1177436.651,7873.619545,92.57474947,2.39E+01,
11,1121432.073,1103143.174,18288.89913,0.00010299,2.51E-05,
12,1156090.991,1139271.521,16819.46962,24.53771006,6.18E+00,
13,1267854.832,1260453.657,7401.174947,32.26452915,8.91E+00,
14,1288047.988,1280429.354,7618.634399,14.29122678,4.01E+00,
15,1203807.78,1190614.932,13192.84806,26.29969088,6.89E+00,
16,1307478.669,1299324.508,8154.160762,0.00010299,2.93E-05,
17,1218052.394,1207419.095,10633.29851,0.00010299,2.73E-05,
18,1277615.404,1258727.352,18888.05166,56.94404446,1.58E+01,
19,1280204.106,1261316.055,18888.05142,373.1507618,1.04E+02,
20,1323850.38,1315359.115,8491.264826,73.75688622,2.13E+01,
21,1356526.997,1346300.28,10226.71706,12.42697009,3.67E+00,
22,1417091.923,1408220.392,8871.53102,0.00010299,3.18E-05,
23,1398210.56,1391814.067,6396.493167,312.8469003,9.52E+01,
24,1331827.462,1321500.506,10326.95552,181.1260925,5.25E+01,
25,1442237.057,1429100.459,13136.59792,7.067088463,2.22E+00,
26,1519241.58,1509892.374,9349.205848,6.464326556,2.14E+00,
27,1452365.604,1439892.511,12473.09321,208.3514625,6.59E+01,
28,1466128.854,1452619.673,13509.18131,289.3970132,9.24E+01,
29,1510069.63,1497092.192,12977.43766,0.642453825,2.11E-01,
30,1472875.779,1459115.736,13760.0428,27.62682143,8.86E+00,
31,1463413.378,1451409.389,12003.98853,16.333015,5.20E+00,
32,1482760.547,1475724.106,7036.44065,266.4666687,8.60E+01,
33,1440563.468,1434478.459,6085.009136,0.00010299,3.23E-05,
34,1431867.26,1425782.25,6085.009665,27.43729271,8.55E+00,
35,1275554.649,1265153.023,10401.62633,13.848952,3.85E+00,
36,1496302.988,1484167.261,12135.72744,0.00010299,3.36E-05,
37,1545702.854,1533520.737,12182.11719,0.00010299,3.47E-05,
38,1555706.757,1543904.906,11801.85133,0.642446818,2.18E-01,
39,1559297.078,1546883.191,12413.88727,0.00010299,3.50E-05,
40,1562181.738,1548153.882,14027.85561,82.63511608,2.81E+01,
41,1534208.606,1520121.632,14086.97354,6.083398538,2.03E+00,
42,1513820.399,1498892.792,14927.60705,0.00010299,3.39E-05,
43,1486501.417,1477008.729,9492.687885,0.00010299,3.33E-05,
44,1482422.228,1473073.023,9349.205388,0.00010299,3.32E-05,
45,1458331.062,1448935.466,9395.596366,179.8712483,5.71E+01,
46,1581986.979,1571932.289,10054.69046,92.55002448,3.19E+01,
47,1585931.615,1576696.86,9234.754728,242.9354251,8.39E+01,
48,1598831.396,1583613.334,15218.0622,12.38459587,4.31E+00,
49,1548892.167,1534006.272,14885.89547,16.65509752,5.62E+00,
50,1547940.863,1537749.947,10190.91648,0.00010299,3.47E-05,
51,1533329.405,1523933.809,9395.596142,14.51982728,4.85E+00,
52,1543035.555,1535235.714,7799.841432,0.00010299,3.46E-05,
53,1444080.936,1433753.981,10326.95536,0.608113496,1.91E-01,
54,1557601.038,1545799.187,11801.8513,1.851264205,6.28E-01,
55,1575222.46,1567041.3,8181.159843,1.110747196,3.81E-01,
56,1583123.359,1574381.389,8741.970153,13.10067463,4.52E+00,
57,1586022.366,1577632.647,8389.7187,49.9156758,1.72E+01,
58,1579926.849,1569909.896,10016.95291,0.796847896,2.74E-01,
59,1556374.264,1547928.307,8445.956968,0.00010299,3.49E-05,
60,1468511.159,1464171.109,4340.050231,46.75710141,1.50E+01,
61,1537844.198,1531584.226,6259.971624,0.00010299,3.45E-05,
62,1528732.971,1523551.211,5181.760124,91.76152943,3.05E+01,
63,1556821.781,1494529.036,62292.74535,30.11767072,1.02E+01,
64,1179555.099,1100057.082,79498.01702,3.195967297,8.21E-01,
65,1379592.091,1367756.414,11835.67654,528.3963552,1.59E+02,
