TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,64875565.876091346,21462156.123538144,7531051.170649722,5655833.939692697,3360421.3138241195,1698353.9229495698,21419635.73402663
4,1917992.5749143253,1858693.6662290192,297413.227225278,123413.67074122888,214190.4394248197,50502.58756154889,1058936.6720940247
5,24713650.849703398,16818100.25981981,2691097.317622224,2054431.035323507,2506056.762724953,585985.9029541081,10964412.83998516
6,816997.7910259832,1183453.788750273,446818.3489646001,300878.0134604695,714817.7837780105,336799.8340185852,729736.6799860331
7,2107456.178406579,2605656.32173469,875941.7392870651,466913.39915796,1048527.3586733232,484747.8986627739,1589594.2832680081
8,2283519.900840484,2892141.3821342937,891813.2960595882,604269.0612322525,1270792.611363369,529689.1876591536,1742616.3864100834
9,4.5942000000000007e-07,767.0177429364601,1383.3684780588,2.2525997388832405e-08,59.46308865780694,126.73535763997172,716.7954070787445
10,2220934.1687355274,2696978.0815741774,592935.1160729002,668366.3089845275,1386698.9448135924,392690.2325855563,1578187.8121690352
11,4873198.634895036,4744883.599271568,2494792.5709921177,184196.15593570314,290344.56665684545,197174.56027530108,3256124.5218930184
12,1807161.977362822,1212253.612351237,622120.3419878094,431609.64501693763,484480.6700135228,319131.4851144328,984586.588509642
13,8881608.096321201,2991292.053336018,1116069.7236485467,680251.7621307726,385698.1536289145,202362.53850751242,2962763.902070184
14,6886724.987831422,2152756.4126071166,602425.9541486354,675322.780902169,367958.05999339494,150513.0275324615,2178735.4170408496
15,895204.5583790401,1326575.962964784,308965.947286752,145599.28542435812,364439.23196325026,109748.80299104966,718647.9440510784
16,1777934.0754815964,807101.588888171,247413.05659095832,143310.77170966228,118644.4479027078,52491.963833875714,671712.356358253
18,11212183.1274024,3890164.280938848,1118958.4012210562,2963112.4422704796,1790954.1079597927,715837.5297758009,4032256.8223321144
19,41741087.016966015,17533803.431849167,5135839.824288331,4641161.375462033,3421586.394092054,1395292.9484746847,15286922.484117175
20,4028149.0124384407,4921210.0201032795,1112551.2375436781,329186.9660359488,701541.5403021254,237313.35001026883,2737476.415628051
21,2319179.145795266,3266844.5884213927,721502.433854847,222792.54487412114,568980.293633413,190637.2240453346,1753110.955870311
22,929017.2189194422,2794327.5495991153,512763.9358340862,91116.16633819864,496908.7056907907,137329.23657007772,1272386.0593540075
23,1221748.3079055424,3027336.971076935,714300.031563502,565996.8126478598,2562553.275385537,916802.3241743961,1545169.8543057125
24,4553762.619670875,2203149.0601338837,482065.381760256,690303.9380226632,590004.1648501155,188458.147172218,1769082.5735803032
25,2818273.2307528504,1591370.104111655,370290.48118958407,400317.93190733617,402479.0239139698,141031.08238309025,1190318.7222104443
26,178509.57392748413,466608.5819557959,159634.86639443392,13356.69150828034,65515.04352456334,34317.70973635752,240725.527022704
27,3585890.554182593,1964917.8625088022,455868.23214119737,762468.4878552387,750674.3977820739,255807.7636827165,1531655.2052229717
28,2510401.5543446387,1590836.772701662,391982.28330832825,641254.0359877035,727637.7846095511,267949.7687091833,1186215.6170587204
29,7779730.923206541,1907443.4716811124,514593.14160771534,3089052.628468135,1357990.9853666206,562849.2891747042,2618809.463042055
30,62633267.6548943,19963782.58219541,4751780.513321553,13513727.73948784,7641607.805681978,2764700.752275567,20929686.930902675
31,5961357.160915261,4655841.04500876,1093499.3738241352,1596489.3717535362,2225349.806929359,808786.6132851086,3176087.895055765
32,4237433.679592903,3245906.972303853,718890.4135072005,454699.74806309585,631044.3437045094,213974.82287083127,2103621.366546351
34,1474049.9834029125,1104978.348735723,270643.5833711715,395036.8127381942,545321.5593761202,208581.11129050158,770055.1100591492
35,14073338.584180497,24908675.105813295,5603205.925290047,237061.03736770857,747164.9974361362,238772.22675803246,12555693.613959149
36,348951.71922910004,187134.328239832,56198.12662915201,33903.23528999677,33279.45536975763,15135.577806189758,144919.97737617744
37,4800084.181706385,1622021.9548248176,425836.99210309295,1470800.5505136354,912340.9488021375,367803.8954856708,1727767.1043459736
38,2359915.138517918,896789.2711073589,238404.3599582847,461251.96325187763,327664.70704420796,130223.86935567792,848592.3939835137
39,10704803.618007038,2674791.5205564704,756026.2176569955,2891173.8462890275,1337366.481224595,572483.2051509712,3409602.1567871664
40,11371873.629266692,2305095.3879119405,625292.6597934983,3921869.199474464,1475022.637959058,623512.3777524633,3525753.154025339
41,3511040.8582809307,1172026.012945544,255770.27594874543,1454939.214452724,878685.5918527015,298199.4065154615,1303595.4417537055
42,3107629.0912160003,1194569.22521872,252754.24257060004,958066.5284392174,673220.0451422243,221391.54931782806,1160057.0925389763
43,1007220.2809669,572280.4307030581,141655.584232701,301475.8045450314,310779.6703921998,120323.80597578161,456094.68589724164
44,6475790.73127935,4408029.0926802,1626325.59708065,522811.4251348976,657277.3752252394,379735.3932837771,3177885.2559893248
45,2270479.0891331737,2271852.160990267,728753.9293947861,948699.6190278928,1774464.959486558,896331.8431143626,1536731.8148218624
46,1958751.5096621548,534721.4599273506,111588.06074103061,1034147.1833535478,546949.3513215657,175135.94623960444,714252.955725411
47,18102195.958893873,3990048.005637273,633739.6421168547,4007418.795462515,1711504.9157938776,429938.23122010595,5226198.341644107
48,13325964.080517922,2728753.569302231,636605.630285328,4242925.223553201,1631455.6355262548,597821.111131244,4049934.6172077064
49,11917203.66913362,2373168.150977586,643033.6184242797,4931970.905279363,1794969.2513339664,759289.6453898321,3813596.352202786
50,9534231.604868587,2176382.3141833395,588742.1875135297,4182869.1089984355,1751736.342581063,742417.6387663936,3207891.6195434607
51,7084224.425888089,1956165.6360153644,560769.3909060478,1785937.8216798755,900784.8345065954,403733.1820186303,2317338.7169017983
52,4465780.895548928,1768950.6517499231,344316.74616310827,1898689.025846686,1391981.7353296496,426481.35879509686,1765167.4528702793
53,20687245.439923108,13475381.021978388,2156222.117677541,1713271.724605805,2038636.1355546503,475229.67745890305,8943953.907306794
54,4179435.8333799243,2519348.5472668814,825450.040402146,552996.7191586014,634532.4298111568,317724.6365339635,1903671.6213127635
55,3952794.500054676,1409979.9089142503,283916.6395609168,1009672.6785361195,680473.5404329668,211129.4105901675,1391710.0459235215
56,5013302.915843644,1363048.2471625772,267592.563096405,1363343.8925251423,733846.1382271353,222410.35724568288,1606321.4048144587
57,61783392.09709502,13561183.381681966,2011409.6458670578,6308005.722683869,2711401.4834054387,637834.272646748,16539430.645812824
58,30216020.016361948,6644949.667470809,1117839.1754480703,7279991.614021482,3045450.9199883076,805370.7783673336,8836931.552703531
59,4393883.57375474,781990.5454381321,224064.31267632626,1729455.0028741322,571855.0547812146,255692.8666229258,1355908.0488096315
60,-0.026682205875,3025095.546910914,735709.473975777,-0.0019977102257276507,448771.4898310208,169468.67326419125,1253601.668848911
61,2422160.135310825,575977.623425559,164066.97029625362,1129871.660167637,516165.90766068234,232457.75093789466,838686.8304870146
62,2826792.4433862753,807706.3398862169,153302.89144455243,1765878.7072577367,942993.8734088948,281766.8554229251,1085781.6022175916
63,109452453.56312513,36876551.85968595,16299175.892326668,13747424.145706011,8985581.5600679,6234937.266935272,38258555.53547606
64,179403.979139125,210567.658264675,87169.57566243,3469.636659569448,5821.38297536374,2926.704936646886,129724.68060881743
65,9394859.037498482,4333865.014615618,1071376.329223217,895493.5963504752,758949.5274683975,271814.02328219364,3516805.886921104
66,1854273.0503350627,1633882.2575053,276056.5623974235,416846.9046148668,674910.2525421998,166858.77047557675,1015166.2657925627
67,3280201.3650254356,3984371.344962262,664949.3338016382,906021.1834734647,2031247.06558658,506908.97195676615,2247477.317671117
68,25337529.939607162,10556698.15443006,3333395.9506084616,1163840.9075549971,895893.4627215054,432455.7759865327,9046926.509539867
69,2602716.3440900315,958825.5622179362,259601.7605084836,675741.6389077501,471438.4541082955,194180.1620861349,952552.1047417702
70,2098579.857428145,989726.0180175735,314026.0113472344,352309.19643740467,306723.10996002005,148856.30169465116,843065.5187658608
71,4143521.507330361,1029815.2956467465,262702.54503298283,1389476.836976883,646519.5464201039,255124.33833072305,1353005.6709444504
72,21653122.826411214,7551441.45483484,1721725.356349883,1426582.5236153218,898304.0278915319,319728.3532244533,6937673.162065998
73,19698503.55052892,4059144.7187633994,1228616.0164811208,5082423.0255954405,1914161.803026633,903334.1144886756,5892741.341102234
74,5947927.257949144,1899997.6606316343,515936.7465507487,1726918.8108904718,1036005.8525349214,437391.98729442584,2084452.4805340637
75,10463309.77178136,3939277.912474975,678882.1597275017,1254350.7537234584,895500.6732737874,242124.39078204194,3492330.1116516287
76,4141479.05366494,957260.0141878733,245482.56341498427,856673.9434948456,379459.1691085346,153891.66979762696,1233939.692060917
77,3258107.12344481,1137925.3174808372,717456.4054938828,909324.0627381788,630379.606481911,631748.1455336188,1313032.438688738
78,12031613.1460954,5672465.190990422,1443332.4883429322,43889.831039478566,37715.13805996957,14310.828223988503,4384516.389300264
79,26516050.641350225,12404097.718544997,3578754.6632999773,343463.2033591395,288760.35681062494,123542.02630422049,9804203.101399885
80,540104.1154522456,732072.4895498052,507651.5414407122,171041.03991306384,425256.7002466229,446657.2385093154,531765.5362243907
81,797394.2306008225,1442627.536599527,424610.85320970224,137650.96599208735,462976.2099743423,206683.69242955808,778253.6627018949
82,231529.7194531048,1689822.8509156103,387253.88941904856,54454.172268778115,745537.6145516303,258291.56717623372,740022.8953985334
83,13006401.202139232,10863942.105764553,3408810.061899589,667026.9323181618,1028688.4537690284,497910.06774168136,7036488.744964279
84,1994337.1313225753,1525895.407938527,458535.2927710245,596981.7446103928,839407.0922367447,391415.5872756044,1093363.3795586785
85,17550.8578606075,25456.8847233008,4084.9163081020797,8963.927249698467,24394.843983852286,6108.73077595589,14266.397862185288
86,4501231.425459405,2744721.3550997763,781518.0665845864,1387851.7540603427,1676553.1387418685,738860.4770567946,2156927.0038147457
87,4239387.786275851,2391689.7605275316,1005088.931658756,536138.1167387416,601811.0193796444,398079.87569113076,1928180.547897861
88,24942138.228700876,15754671.594440779,4812978.938006085,1059068.7584040845,1234285.8822237165,548329.7745204755,11189418.008666448
89,93294174.381239,18368219.579139143,9126815.911214955,1585764.225935889,541241.484038796,396048.2015666949,24978334.931313843
92,0.015996152899999998,1138260.2224831937,526843.7176317899,0.0020072696524897704,272322.60234956123,197087.25153044885,555034.649705565
93,0.00883126751,735365.5914550547,168004.74214971092,0.0016428221798000249,267535.48050573625,95236.31570278436,301123.4462806035
94,-0.00594703928,439094.6025794621,199519.94912606006,-0.001153692750354644,170108.61644439955,121873.04232553566,212871.51605171873
95,204923.06897984998,729917.9625733199,252330.51944195997,24486.709219589688,172898.67039639517,95120.30812237045,365651.1237049999
96,-0.0258000015,2250407.2957279114,836723.4857776128,-0.003611692378208358,636390.591289997,375329.76299067074,1029043.5889332257
97,18636688.00840522,9133538.915401494,1166724.4348142892,1702042.8240620794,1605247.946579016,324939.0211100616,6823209.588816478
98,3435657.438780301,1462958.475503885,1070243.7633352887,665466.5053461179,543900.3994308512,644233.1312586819,1527921.4036341275
100,49324088.929908,20704729.995931815,8151117.185032296,1469884.6552056712,1151977.4577600695,674901.7037231937,18084277.991173647
101,0.004531585500000001,221762.09419940342,102642.58290969397,0.0009050865274324602,86239.50280130429,61691.529607744094,108134.89327581112
102,834744.6719941004,4871886.784882562,1113052.0737232827,30715.077823261276,341522.5255621834,122876.06195013227,2139222.9111715085
103,0.0086784594975,1625198.20757782,701126.7966162148,0.00046670674935340924,176461.4484533289,122685.59094972906,775441.6695888726
104,-0.01909371958,1421824.2475407065,199881.95590503994,-0.0013110149482485564,206659.4512435259,46348.104934478404,540568.7310811264
105,-0.0012197696875000002,757384.606221138,217289.055223464,-0.0002577717504185402,322959.2148395986,152171.7622085207,324891.22023527714
106,0.0016188471,302160.38753080444,80320.49987489282,0.0005364248571863325,203077.30190953513,86573.55588910365,127493.62949444442
107,27334683.875207685,50575614.67397338,13819237.87151882,63336.31757374416,241696.41466263984,102877.91799177311,26031287.547294304
108,2572760.6246829764,1784753.435621072,550063.1457974794,231510.94465117218,291794.4134303306,127072.740169823,1245650.7886952087
109,0.018614539125,638853.6278873729,301964.36977258185,0.002641280945040425,174638.6059207153,127161.62748890961,313606.00276262156
110,253761.27921609723,1481047.1602752565,338366.36639824475,69079.74757204432,769390.4002342208,273624.33597023087,660278.0133558573
