num_opportunities,EMP_2016,,,,
1,304694.0583,1.676E-05,304694.0583,304694.0583,0
2,390544.8262,-8.25E-06,390544.8262,389946.2795,598.5466444
3,518609.44445429003,0,518609.44445429003,505826.8442,12782.60023
4,577863.3517,9.76003E-06,577863.3517,552737.1197,25126.23204
5,572568.5476,-4.134E-05,572568.5476,547442.3155,25126.23204
6,343069.8688,-1.276E-05,343069.8688,342568.3747,501.4940992
7,448048.6879,-4.891E-05,448048.6879,447450.1412,598.5466444
8,396444.2956,-4.795E-05,396444.2956,395845.7489,598.5466444
9,297697.6284,7.60017E-07,297697.6284,297697.6284,0
10,388122.162,-2.86003E-06,388122.162,387620.66789794003,501.4940992
11,337462.8743,-2.60014E-07,337462.8743,337462.8743,0
12,358492.8669,-2.016E-05,358492.8669,357991.3728,501.4940992
13,437634.9921,2.099E-05,437634.9921,436547.7296,1087.262528
14,490125.2212,-3.311E-05,490125.2212,477342.6209,12782.60023
15,381022.33954041003,0,381022.33954041003,380423.7929,598.5466444
16,513126.7019,2.129E-05,513126.7019,500344.1017,12782.60023
17,406416.2113,-2.111E-05,406416.2113,405817.6646,598.5466444
18,450006.9821,-4.21004E-06,450006.9821,447261.5575,2745.424583
19,455107.2721,3.039E-05,455107.2721,452361.8475,2745.424583
20,520370.4659,-3.891E-05,520370.4659,505726.81285719003,14643.653
21,559337.1366,-2.461E-05,559337.1366,543133.2914,16203.84522
22,588844.065,1.28601E-05,588844.065,562585.6056,26258.45943
23,579169.4409,4.00899E-05,579169.4409,567579.6191,11589.82184
24,517278.1214,1.29E-06,517278.1214,502035.9218,15242.19965
25,610180.3788,698.7010246,609481.6778,561914.8784,47566.79944
26,669483.5361,698.7009871,668784.8351,636538.331,32246.50403
27,587983.8326032601,698.7010033,587285.1316,556586.6082,30698.52333
28,615961.2071,698.701073,615262.506,570026.3714,45236.13463
29,652455.5939,698.7010124,651756.8929,603360.0462,48396.84666
30,633916.6438,698.7010478,633217.9428,582374.3565,50843.58634
31,614146.7143,-1.464E-05,614146.7143,584156.4996,29990.21467
32,625225.5619,-1.67399E-05,625225.5619,598863.0037857901,26362.5581
33,617101.6432,1.45996E-06,617101.6432,601496.3446,15605.29858
34,616059.4984,3.45998E-06,616059.4984,600454.1998,15605.29858
35,468946.3588,4.419E-05,468946.3588,468243.0805,703.2783814
36,633034.0523319601,698.701032,632335.3513,602235.3746,30099.97669
37,675496.829,698.7010547,674798.1279,632414.4599,42383.66803
38,681063.9032,698.7010059,680365.2022,637975.1687,42390.03347
39,681304.1071,698.7009855,680605.4061,635763.8847,44841.52139
40,723823.8613,13433.64635,710390.215,658175.3548,52214.86017
41,674569.6678,698.7009914,673870.9668,624951.8058,48919.16099
42,673702.8309,698.7010224,673004.1299,623055.5261,49948.60382
43,659073.7554,698.7010676,658375.0543,614530.5844,43844.46996
44,655984.8101,-2.64701E-05,655984.8101,626874.452,29110.35804
45,650926.3402217301,0,650926.3402217301,628601.5686,22324.77164
46,750773.9897,13433.64635,737340.3434,692195.0028,45145.34055
47,778023.6259,698.7009774,777324.9249,708018.5242,69306.40064
48,767561.1734,1707.585296,765853.5881,684662.1505,81191.43757
49,706076.2874,13433.64635,692642.6411,640322.7299,52319.91123
50,696393.3326,698.7010512,695694.6315,646665.6171236701,49029.0144
51,693293.9459,698.701007,692595.2449,645267.0821,47328.16282
52,693394.8315,698.701043,692696.1305,654341.8126,38354.31788
53,584130.7804,-2.654E-05,584130.7804,559004.5483,25126.23204
54,701540.2587,698.7010092,700841.5577,659198.212,41643.34564
55,715270.5888,698.7010225,714571.8878,674158.8677,40413.02009
56,758440.7734,13433.64633,745007.1271,703478.1267,41529.0004
57,786252.2018,698.7010265,785553.5008,717208.7457,68344.75507
58,759212.8575,698.7009989,758514.1565,687825.9725,70688.18399
59,705185.6377,698.701074,704486.9366,656591.5841,47895.35256
60,659034.6986,-2.472E-05,659034.6986,659034.6986,0
61,720946.3833,698.7010662,720247.6822,681893.3644,38354.31788
62,682609.184,698.701056,681910.4829,655577.1685,26333.31442
63,675869.1664,2.486E-05,675869.1664,665915.4592,9953.707253
64,279396.8028,-3.844E-05,279396.8028,279396.8028,0
65,547853.6325,5.69003E-06,547853.6325,532611.4329,15242.19965
66,570085.8396,-2.261E-05,570085.8396,553881.9944,16203.84522
67,624961.9621,4.826E-05,624961.9621,595570.2941,29391.66802
68,672659.6784,698.7010695,671960.9773,626011.6701,45949.30724
69,699256.6335,698.7009882,698557.9325,656167.899,42390.03347
70,648176.3384,698.701034,647477.6374,617233.7089,30243.92849
71,710016.4571,698.7010358,709317.7561,661934.2116,47383.54452
72,678734.389,698.7010416,678035.688,630838.1988,47197.48918
73,692455.1489,698.7010158,691756.4479,643861.0953,47895.35256
74,698832.3589,698.7010581,698133.6578,655238.1818,42895.47608
75,684429.3527,4.22995E-06,684429.3527,661320.9548,23108.39791
76,698521.4471349301,0,698521.4471349301,675412.0045,23109.4426
77,704869.0645,-7.03998E-06,704869.0645,696781.8551389601,8087.209354
78,654156.7519,698.7010238,653458.0509,591135.7261,62322.32479
79,554844.2428,-2.391E-05,554844.2428,542061.6426,12782.60023
80,587656.7969,-1.94099E-05,587656.7969,575472.7433,12184.05358
81,617613.0954,-4.681E-05,617613.0954,602007.7967771901,15605.29858
82,653889.9575,4.75299E-05,653889.9575,628226.8848,25663.07272
