num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,1132630.965,1099931.164,32699.801,0.00010299,2.53985E-05,"453,575"
2,1217612.351,1188749.677,28862.674,0.00010299,2.73042E-05,
3,1354749.752,1336597.471,18152.281,0.00010299,3.03794E-05,
4,1451763.41,1434338.518,17424.892,58.99529221,18.64826743,
5,1443253.006,1425828.113,17424.893,142.8118795,44.87785501,
6,1174555.944,1144015.318,30540.626,48.40819099,12.37992022,
7,1240994.364,1224440.232,16554.132,178.3730884,48.19749053,
8,1225826.38,1203647.425,22178.955,62.80657353,16.76329353,
9,1117283.703,1089044.08,28239.623,377.5755298,91.85284029,
10,1194913.402,1177436.651,17476.751,92.57474947,24.08542218,
11,1133378.457,1103143.174,30235.283,0.00010299,2.54153E-05,
12,1168128.301,1139271.521,28856.78,24.53771006,6.240937914,
13,1272789.483,1260453.657,12335.826,32.26452915,8.941434416,
14,1293794.731,1280429.354,13365.377,14.29122678,4.025873965,
15,1211664.223,1190614.932,21049.291,26.29969088,6.938382119,
16,1313442.87,1299324.508,14118.362,0.00010299,2.94531E-05,
17,1224567.534,1207419.095,17148.439,0.00010299,2.74602E-05,
18,1284822.063,1258727.352,26094.711,56.94404446,15.93002954,
19,1287410.765,1261316.055,26094.71,373.1507618,104.5988126,
20,1330948.317,1315359.115,15589.202,73.75688622,21.37415975,
21,1363624.934,1346300.28,17324.654,12.42697009,3.689652561,
22,1424189.86,1408220.392,15969.468,0.00010299,3.19366E-05,
23,1405308.497,1391814.067,13494.43,312.8469003,95.72575804,
24,1335661.202,1321500.506,14160.696,181.1260925,52.67476594,
25,1445755.538,1429100.459,16655.079,7.067088463,2.224644795,
26,1523075.32,1509892.374,13182.946,6.464326556,2.14372935,
27,1456553.527,1439892.511,16661.016,208.3514625,66.07669129,
28,1470003.024,1452619.673,17383.351,289.3970132,92.62699147,
29,1513061.66,1497092.192,15969.468,0.642453825,0.211652709,
30,1475665.16,1459115.736,16549.424,27.62682143,8.876546451,
31,1466998.59,1451409.389,15589.201,16.333015,5.217006082,
32,1489858.483,1475724.106,14134.377,266.4666687,86.43968912,
33,1447661.405,1434478.459,13182.946,0.00010299,3.24629E-05,
34,1438965.196,1425782.25,13182.946,27.43729271,8.596404285,
35,1279388.39,1265153.023,14235.367,13.848952,3.857843458,
36,1500136.729,1484167.261,15969.468,0.00010299,3.36396E-05,
37,1549490.204,1533520.737,15969.467,0.00010299,3.47463E-05,
38,1559494.107,1543904.906,15589.201,0.642446818,0.218145474,
39,1562289.108,1546883.191,15405.917,0.00010299,3.50334E-05,
40,1567112.388,1548153.882,18958.506,82.63511608,28.19616679,
41,1538587.352,1520121.632,18465.72,6.083398538,2.037950883,
42,1514374.026,1498892.792,15481.234,0.00010299,3.39589E-05,
43,1490288.767,1477008.729,13280.038,0.00010299,3.34188E-05,
44,1486255.969,1473073.023,13182.946,0.00010299,3.33284E-05,
45,1462118.412,1448935.466,13182.946,179.8712483,57.26240449,
46,1587133.813,1571932.289,15201.524,92.55002448,31.98271792,
47,1591078.448,1576696.86,14381.588,242.9354251,84.16038768,
48,1602571.839,1583613.334,18958.505,12.38459587,4.321401635,
49,1552964.778,1534006.272,18958.506,16.65509752,5.631629451,
50,1550932.894,1537749.947,13182.947,0.00010299,3.47787E-05,
51,1537116.755,1523933.809,13182.946,14.51982728,4.859522446,
52,1548182.389,1535235.714,12946.675,0.00010299,3.4717E-05,
53,1451178.873,1433753.981,17424.892,0.608113496,0.192145791,
54,1561388.388,1545799.187,15589.201,1.851264205,0.629367967,
55,1582242.824,1567041.3,15201.524,1.110747196,0.38266051,
56,1588270.193,1574381.389,13888.804,13.10067463,4.53047076,
57,1591169.199,1577632.647,13536.552,49.9156758,17.29332902,
58,1585073.682,1569909.896,15163.786,0.796847896,0.275011067,
59,1559366.294,1547928.307,11437.987,0.00010299,3.49678E-05,
60,1472344.9,1464171.109,8173.791,46.75710141,14.98933695,
61,1542991.031,1531584.226,11406.805,0.00010299,3.46006E-05,
62,1534958.016,1523551.211,11406.805,91.76152943,30.66778644,
63,1556775.391,1494529.036,62246.355,30.11767072,10.20875131,
64,1182127.089,1100057.082,82070.007,3.195967297,0.822605828,
65,1383425.831,1367756.414,15669.417,528.3963552,159.1625833,
66,1423984.518,1406559.626,17424.892,0.00010299,3.1932E-05,
67,1490946.721,1474977.254,15969.467,138.8149333,45.06336294,
68,1527420.747,1511831.546,15589.201,0.00010299,3.42515E-05,
69,1556050.383,1540817.677,15232.706,54.51634872,18.47037451,
70,1512968.535,1497735.829,15232.706,74.44696069,24.5246125,
71,1579973.092,1563460.039,16513.053,0.00010299,3.54299E-05,
72,1526757.738,1513477.7,13280.038,0.631209554,0.209830676,
73,1557505.273,1544322.327,13182.946,9.296291089,3.152568453,
74,1542236.885,1530798.898,11437.987,7.429876834,2.494927821,
75,1530339.999,1519406.298,10933.701,0.00010299,3.43169E-05,
76,1533286.226,1523316.943,9969.283,2.12463254,0.709303901,
77,1547148.216,1508295.597,38852.619,15.48768274,5.217274056,
78,1457685.209,1407068.567,50616.642,0.00010299,3.26877E-05,
79,1398517.802,1384357.105,14160.697,22.0473012,6.713495774,
80,1425087.312,1412382.041,12705.271,845.0590729,262.2127637,
81,1473658.475,1457872.292,15786.183,102.2352226,32.80368846,
82,1524852.734,1514196.944,10655.79,11.77703801,3.91011261,
83,1507598.188,1493463.81,14134.378,0.631211547,0.207198128,
84,1534569.464,1522926.388,11643.076,23.94850525,8.001847121,
85,1512836.069,1501429.264,11406.805,0.00010299,3.39244E-05,
86,1507224.258,1481142.299,26081.959,1.586547553,0.520662446,
87,1528963.266,1487923.725,41039.541,0.00010299,3.4286E-05,
88,1429322.371,1376484.825,52837.546,440.0987338,136.9637366,
89,1362416.984,1341063.328,21353.656,6.419590335,1.904331929,
90,1370157.768,1357029.52,13128.248,6.116354161,1.824687461,
91,1351146.104,1336454.125,14691.979,0.00010299,3.02986E-05,
92,1450067.868,1439412.078,10655.79,333.1503288,105.185012,
93,1511113.938,1503735.468,7378.47,230.0699412,75.69764674,
94,1516043.214,1508664.743,7378.471,55.34771426,18.26991625,
95,1547112.952,1536501.467,10611.485,6.11624361,2.060307686,
96,1510963.302,1500351.817,10611.485,45.55049807,14.98553775,
97,1490545.724,1479301.534,11244.19,15.50459424,5.031888322,
98,1498325.28,1479775.085,18550.195,53.49065266,17.45055684,
99,1488431.783,1368198.202,120233.581,25.07363012,8.125899294,
100,1462876.164,1327589.437,135286.727,17.63874771,5.618244014,
101,1439874.92,1429219.131,10655.789,135.3819332,42.44345841,
102,1473038.674,1464864.883,8173.791,287.0059773,92.05139543,
103,1559463.899,1552085.429,7378.47,40.31551903,13.68903603,
104,1572269.916,1567817.226,4452.69,51.9605084,17.78794517,
105,1550186.26,1543798.993,6387.267,765.564986,258.3992395,
106,1496546.016,1490605.067,5940.949,0.00010299,3.35591E-05,
107,1473814.083,1450881.403,22932.68,18.86468334,6.053652778,
108,1288754.423,1276790.477,11963.946,3.8538967,1.081422806,
109,1408530.273,1396045.555,12484.718,1615.752238,495.5257612,
110,1471111.764,1462937.973,8173.791,2041.139664,653.7981332,
111,1536531.008,1525919.523,10611.485,819.0363561,274.0121338,
112,1557345.05,1547424.129,9920.921,0.00010299,3.49225E-05,
113,1500570.665,1493192.194,7378.471,725.5933355,237.0691392,
114,1470314.776,1462140.985,8173.791,97.40837708,31.18400669,
115,1450638.728,1441018.446,9620.282,543.2621322,171.5907953,
116,1464990.964,1459050.015,5940.949,191.8006225,61.18010866,
117,1354384.897,1348966.636,5418.261,1096.877077,323.4635498,
118,1427124.888,1418951.097,8173.791,1537.346575,477.7041897,
119,1429200.793,1421717.565,7483.228,1733.533719,539.4495407,
120,1412986.776,1405286.09,7700.686,402.6870641,123.8885191,
121,1457208.054,1451094.687,6113.367,0.00010299,3.2677E-05,
122,1443903.4,1433666.771,10236.629,725.7637604,228.1700846,
123,1412821.007,1386317.465,26503.542,267.1532931,82.18129137,
124,1400549.94,1355654.39,44895.55,616.9085712,188.12421,
125,1336212.972,1327194.198,9018.774,32.23551107,9.378546353,
126,1338509.667,1333285.613,5224.054,124.2987941,36.22544366,
127,1389641.733,1382263.262,7378.471,26.36346757,7.976836049,
128,1406233.476,1395808.269,10425.207,2.925833985,0.895844018,
129,1437630.458,1432855.552,4774.906,47.58518228,14.89512966,
130,1416661.838,1405441.311,11220.527,988.8130299,305.0040887,
131,1413532.324,1404673.152,8859.172,3289.806615,1012.514845,
132,1419797.159,1408307.291,11489.868,29.92842902,9.251997553,
133,1434131.408,1426175.077,7956.331,8.728155037,2.725440371,
134,1480687.08,1473526.069,7161.011,38.0301172,12.26072739,
135,1406321.39,1401314.795,5006.595,981.5520766,300.5544858,
136,1281846.167,1271853.504,9992.663,681.8316237,190.2998013,
137,1408735.357,1403728.762,5006.595,0.405635506,0.124420134,
138,1449596.736,1445122.47,4474.266,10.63032909,3.35520606,
139,1439187.531,1434412.626,4774.905,0.00010299,3.22729E-05,
140,1427858.797,1419902.466,7956.331,0.00010299,3.20188E-05,
141,1385291.088,1380284.493,5006.595,15.2984667,4.614389298,
142,1433631.863,1431011.374,2620.489,365.1748832,113.9892325,
143,1467555.646,1464323.018,3232.628,0.00010299,3.2909E-05,
144,1396868,1391643.945,5224.055,1119.399227,340.4596566,
145,1471149.806,1467470.861,3678.945,56.6822071,18.15636634,
146,1579994.717,1577093.343,2901.374,140.1721887,48.22172867,
147,817993.5387,792492.2998,25501.2389,0.00010299,1.8343E-05,
148,898350.5238,849571.4291,48779.0947,0.00010299,2.01449E-05,
149,1408259.368,1389819.671,18439.697,802.8836932,246.1844241,
150,1364042.733,1347281.102,16761.631,0.00010299,3.05878E-05,
151,1321056.53,1262048.704,59007.826,401.8165556,115.5778242,
152,1253687.099,1185115.684,68571.415,3737.743639,1020.29076,
153,1362343.367,1314338.637,48004.73,1510.146795,447.9515385,
154,1483889.292,1434643.585,49245.707,1559.560076,503.8820592,
155,1402954.493,1342365.593,60588.9,943.8032282,288.3037746,
156,1319514.375,1281744.27,37770.105,3633.875283,1044.021469,
157,1233900.421,1200485.161,33415.26,3800.730356,1021.109831,
158,1200056.336,1189368.718,10687.618,3283.296511,857.9007057,
159,1245418.187,1236645.587,8772.6,1500.507026,406.891411,
160,1337054.522,1329881.036,7173.486,875.2958609,254.8175159,
161,1576129.906,1559221.161,16908.745,106.3106535,36.48329736,
162,1529718.896,1518312.091,11406.805,156.4057365,52.09422659,
163,1019120.826,956857.344,62263.482,4206.023084,933.3028976,
164,1173965.308,1051222.359,122742.949,400.996756,102.49942,
165,1286769.559,1184271.48,102498.079,1920.097246,537.9591375,
166,1107679.07,1074091.055,33588.015,1941.237516,468.1854482,
167,1054967.995,1010780.121,44187.874,3317.857257,762.1180853,
168,1407015.908,1321189.67,85826.238,962.3629579,294.8242427,
169,1321357.666,1243095.91,78261.756,988.023129,284.2580586,
170,1294751.043,1252649.847,42101.196,1398.124242,394.1461794,
171,1328074.384,1307230.715,20843.669,2755.475013,796.7905283,
172,1235935.289,1218190.401,17744.888,855.8816531,230.3216351,
173,1136428.115,1105440.715,30987.4,4026.921145,996.415284,
174,1537230.498,1525823.693,11406.805,0.00010299,3.44714E-05,
175,1380704.891,1231243.819,149461.072,416.7384014,125.2822863,
176,1398140.526,1359123.677,39016.849,396.9347117,120.8356797,
177,1397606.213,1354775.619,42830.594,431.3345821,131.2575783,
178,1336793.769,1290791.063,46002.706,1694.388197,493.1767743,
179,1303595.554,1253545.373,50050.181,2088.573095,592.813159,
180,1220799.772,1150846.422,69953.35,3215.932292,854.8238323,
181,1386400.502,1339014.67,47385.832,154.03312,46.4973396,
182,1400482.808,1250715.973,149766.835,1785.965084,544.5979869,
183,1312715.618,1214547.095,98168.523,559.8478427,160.0169348,
184,1399174.073,1255293.19,143880.883,733.0218813,223.3129833,
185,1396219.084,1224997.732,171221.352,765.2307928,232.6329849,
186,1254228.303,1179532.991,74695.312,1401.717228,382.7915071,
187,1438676.776,1370307.117,68369.659,463.5074394,145.1928492,
188,1390142.539,1342467.592,47674.947,2082.78879,630.419808,
189,1384643.743,1342688.805,41954.938,335.5002462,101.1477383,
190,1335999.257,1282580.731,53418.526,18.65157149,5.425589494,
191,1361517.003,1258174.603,103342.4,276.4288708,81.94675386,
192,1437258.975,1429353.198,7905.777,779.0516504,243.795995,
193,1380973.886,1335857.376,45116.51,1397.851554,420.3120156,
194,1514504.212,1511271.585,3232.627,0.058064883,0.019147379,
195,1436627.392,1428525.737,8101.655,768.4921023,240.3858153,
196,1376749.483,1265290.149,111459.334,2570.008504,770.3973285,
197,1528630.393,1526475.977,2154.416,596.508066,198.5382075,
198,1425633.47,1422400.842,3232.628,1190.290257,369.4758418,
199,1296452.061,1259111.142,37340.919,2572.946921,726.2941984,
200,1420657.136,1415433.082,5224.054,19.59265067,6.060490266,
201,1383677.789,1382153.259,1524.53,3319.60921,1000.108725,
202,1268441.503,1263096.259,5345.244,1818.221543,502.1604772,
205,1339421.174,1333460.08,5961.094,1176.268199,343.0431895,
206,1288997.97,1279752.265,9245.705,3788.913002,1063.388973,
207,1272560.17,1261879.846,10680.324,3293.28886,912.5011844,
208,1479727.188,1474526.387,5200.801,0.000106658,3.43637E-05,
209,1339091.36,1331963.481,7127.879,888.3124827,259.0008912,
210,1474977.627,1471351.31,3626.317,1051.113321,337.5672133,
