TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,117307927.0607465,54081862.195065945,11774606.908470308,10226872.726356843,8467827.806558613,2655333.1508520916,43207956.332362644
4,4733574.3516555,2552594.4394682003,501831.66213240003,304582.9238887606,294153.54159585235,85214.08981854828,1857834.9131242435
5,47934763.943274,23096753.39518152,4540745.8969128,3984788.2983727674,3441635.7465337953,988746.5113445345,17865758.470972568
6,268496.93213980005,1355961.0540958904,846049.70662431,98880.10035009298,819013.8768338924,637729.8547001164,795233.0923217157
7,2408501.10194265,3770105.748118116,1162065.7993467601,533610.8280239552,1517106.8375439825,643089.5219123815,2134409.1708160597
8,2563618.77585723,3345639.1696222234,1448589.8571520052,678389.3192585926,1470057.295022785,860384.5536688055,2138411.0247773803
9,0.0,4671.4457324820005,2678.81063778,0.0,362.15406267821146,245.41546927916818,2450.0854567540005
10,729884.48042692,4108806.8834266383,1316113.805542299,219650.90322590366,2112615.6747869863,871638.4346241426,1966562.7935984498
11,517175.36587372504,8536050.432144243,4124401.30343943,19548.087709056177,522330.17140028067,325969.7911803336,4309604.487458355
12,876497.3062706576,1941968.1582624805,1067357.66631546,209336.3494565317,776113.2034369501,547526.6025077229,1184080.8841471784
13,12558449.520793151,9705728.729104053,1860196.79488554,961864.9374642419,1251459.7651084093,337285.50964179396,6108694.25103943
14,9883187.81845785,6162388.965476913,1056836.379081015,969160.5071398525,1053301.0959263663,264045.13604784256,4215133.169118927
15,995638.1689800001,1182251.0901712,492957.55578720005,161934.1686632976,324790.05448491254,175105.0630276322,751331.604926683
16,2421357.1859652502,2273999.910714512,428378.49270228,195174.0346792224,334279.4360115084,90886.18303323626,1336881.3379130096
18,7755762.725568,5152867.8929376,1545892.4311776,2049663.0112348471,2372277.686536032,988962.4297254499,3867157.730838875
19,30932153.73738906,23721809.76678533,7095398.45276718,3439323.87595637,4629128.064355895,1927661.2523904191,16000982.342075078
20,14616932.236670984,10461115.967391836,2042544.465732858,1194519.7560678152,1491281.083120531,435686.06402181037,6803128.809831365
21,8282357.987513675,4815632.257958216,1222267.1218297211,795646.8636509428,838729.7840475559,322950.5545845131,3525633.9351234157
22,6379295.69118855,3810539.0848428304,923016.24673308,625668.6695161161,677619.2164390564,247203.64995920242,2745345.837309415
23,6827697.407200117,5280758.18319173,1506930.67643067,3163053.2616199837,4470009.222013707,1934141.796826326,3927688.064677484
24,8479783.9854585,4066467.84011448,661025.5374888,1285448.7086036534,1089001.6500975187,258420.64736897784,3203369.9082114524
25,5542998.133634,2518043.1162043,469468.37032830005,787347.9140380693,636847.1626837163,178804.5758003893,2050894.8367895447
26,1398504.0520145502,927920.117801556,225094.821700308,104640.81441047248,130286.34546384336,48390.04741722053,634862.4575714584
27,6923039.403652775,2911847.3211924303,608928.9787000801,1472046.9868519527,1112437.9680067573,341696.8968230742,2572773.1650482914
28,6002555.176182337,2454946.433291952,504395.156165841,1533285.671491173,1122875.5927121574,344792.53575437807,2242420.671098183
29,9027499.548880668,3115732.878367953,633235.8454129442,3584496.878520691,2218224.1437042374,692617.7530409488,3351655.6458271923
30,84994387.29309438,28623083.311315417,5715042.577476288,18338353.598157015,10956159.032181777,3325149.903060427,28668165.4448058
31,13041712.4494371,6111792.96376578,1420093.12065867,3492653.5607531727,2921250.35206884,1050345.6454577958,5266356.363173196
32,8023050.9559018,5870471.56954116,1444063.6440522901,860917.1314974788,1141292.0673471163,429819.7008120224,3918839.7524310295
34,3235019.2505865,2269113.2635167,586339.2075366001,866966.3229113724,1119837.673451022,451883.1814809735,1635481.7526007455
35,25398849.941270847,41145362.079086944,7668386.672671255,427835.77464643534,1234203.5143071543,326776.8106132123,20575697.203238945
36,830022.741496,319259.2951964,73951.41241440001,80642.83610109334,56776.19689452233,19916.986981825088,282847.8321364489
37,7423305.029990851,2628576.6183778197,558227.2511999701,2274585.3429720188,1478499.152786709,482152.00033138646,2678583.0186864086
38,3392135.6745422254,1529680.6413527401,314911.05782859004,663002.3317202658,558907.6223014247,172014.20502756012,1290720.234104192
39,10890720.511773374,4521556.67556405,938245.7650630501,2941386.636735397,2260728.843494555,710464.7038131056,4125285.3382938285
40,9890905.601093173,3381960.3344780807,845076.7510039262,3411121.0954723014,2164104.826288137,842670.7177016874,3626016.8112549144
41,3181029.84564105,1543981.34470026,335273.0298372,1318186.04555736,1157546.11816838,390890.68558587553,1376287.4400455554
42,2680588.08849,1278032.995368,262128.25408800005,826411.9200628976,720257.4892027394,229602.3983704633,1097887.0845774831
43,1235776.3758339998,868488.059131,198172.69505880002,369885.99632312363,471636.6632084651,168330.05941214578,623163.9800894537
44,13156006.384599,8673546.831745049,2293217.6195691,1062126.7320751087,1293305.0067499129,535449.9100398623,6025277.0032170685
45,5565808.784913,4247046.39006825,1022513.4546291,2325624.0055683465,3317220.6932712803,1257641.7531745972,3071758.746646008
46,2069472.177713525,768002.38458613,168708.18551964,1092603.5349834168,785564.8922709597,264785.20652778575,839249.475484747
47,16092670.648988832,4952692.410853736,986943.6385308241,3562555.1162073724,2124424.918100042,669556.9821804477,5255749.6439942205
48,11152349.143871,3129061.9108109605,793076.7312012,3550856.298163094,1870790.292583464,744759.3770833218,3757913.787676403
49,9616337.913017876,3221048.7369927303,818960.25252006,3979750.6293510385,2436272.135865465,967022.59712032,3612684.4202324157
50,7999027.888159425,3337564.8009527996,761595.59053269,3509342.7600724017,2686354.1021478074,960389.8140986937,3284448.5718671344
51,7579291.5649997005,3357346.1992496797,786814.64028888,1910744.5859573127,1546007.3956890204,566477.385417592,2963059.638339022
52,6419657.0167746255,2509156.73325785,571518.9274672499,2729406.7068087556,1974447.585815469,707900.9995287439,2551735.84083893
53,39292994.155766,18506106.22953125,3638239.56033276,3254158.5131609123,2799714.295751803,801865.1689917076,14472640.708109157
54,8172446.21217765,5010519.94896888,1090346.4438064198,1081326.7921808427,1261968.0596738413,419686.1234457259,3575917.631651515
55,5490153.37333515,2357209.5653321147,527549.35646166,1402364.2923892797,1137618.152090669,392302.41967933223,2110339.2515519965
56,5017493.6841909755,2051077.7469678181,425137.65154279204,1364483.5520524504,1104271.611037417,353354.42758234614,1889068.0055441076
57,53530671.88314944,16924234.879204314,3245347.339783992,5465413.489232749,3383804.6625754866,1029125.898948779,16555874.968393134
