num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,1132630.965,1099931.164,32699.80052,0.00010299,2.54E-05,"453,801"
2,1217612.351,1188749.677,28862.67429,0.00010299,2.73E-05,
3,1354749.752,1336597.471,18152.28071,0.00010299,3.04E-05,
4,1451763.41,1434338.518,17424.89245,58.99529221,1.86E+01,
5,1443253.006,1425828.113,17424.89265,142.8118795,4.49E+01,
6,1174555.944,1144015.318,30540.62554,48.40819099,1.24E+01,
7,1240994.364,1224440.232,16554.13172,178.3730884,4.82E+01,
8,1225826.38,1203647.425,22178.95538,62.80657353,1.68E+01,
9,1117283.703,1089044.08,28239.62331,377.5755298,9.19E+01,
10,1194913.402,1177436.651,17476.7505,92.57474947,2.41E+01,
11,1133378.457,1103143.174,30235.28333,0.00010299,2.54E-05,
12,1168128.301,1139271.521,28856.78006,24.53771006,6.24E+00,
13,1272789.483,1260453.657,12335.82583,32.26452915,8.94E+00,
14,1293794.731,1280429.354,13365.3768,14.29122678,4.03E+00,
15,1211664.223,1190614.932,21049.29103,26.29969088,6.94E+00,
16,1313442.87,1299324.508,14118.3624,0.00010299,2.95E-05,
17,1224567.534,1207419.095,17148.43925,0.00010299,2.75E-05,
18,1284822.063,1258727.352,26094.71068,56.94404446,1.59E+01,
19,1287410.765,1261316.055,26094.71044,373.1507618,1.05E+02,
20,1330948.317,1315359.115,15589.20154,73.75688622,2.14E+01,
21,1363624.934,1346300.28,17324.65377,12.42697009,3.69E+00,
22,1424189.86,1408220.392,15969.46773,0.00010299,3.19E-05,
23,1405308.497,1391814.067,13494.42988,312.8469003,9.57E+01,
24,1335661.202,1321500.506,14160.69615,181.1260925,5.27E+01,
25,1445755.538,1429100.459,16655.07935,7.067088463,2.22E+00,
26,1523075.32,1509892.374,13182.94647,6.464326556,2.14E+00,
27,1456553.527,1439892.511,16661.01596,208.3514625,6.61E+01,
28,1470003.024,1452619.673,17383.35118,289.3970132,9.26E+01,
29,1513061.66,1497092.192,15969.46775,0.642453825,2.12E-01,
30,1475665.16,1459115.736,16549.42421,27.62682143,8.88E+00,
31,1466998.59,1451409.389,15589.20139,16.333015,5.22E+00,
32,1489858.483,1475724.106,14134.37736,266.4666687,8.64E+01,
33,1447661.405,1434478.459,13182.94585,0.00010299,3.25E-05,
34,1438965.196,1425782.25,13182.94638,27.43729271,8.60E+00,
35,1279388.39,1265153.023,14235.36695,13.848952,3.86E+00,
36,1500136.729,1484167.261,15969.46806,0.00010299,3.36E-05,
37,1549490.204,1533520.737,15969.46725,0.00010299,3.47E-05,
