num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
1,304694.0583,1.68E-05,637053.0488,16634.05749,1099931.164,32699.80052,1,YES,Barangaroo_Headland Park,64884.12626
2,390046.5602,6800.167211,754544.0389,34183.04821,1188749.677,28862.67429,2,YES,Barangaroo_Northern Cove,74488.64591
3,505826.8442,28379.12263,912192.6289,39010.37311,1336597.471,18152.28071,3,YES,Barangaroo_Southern Cove,30794.77399
4,553774.2947,25792.18021,1001489.622,41470.33379,1434338.518,17424.89245,4,YES,Barangaroo_Jenkins Lane,13964.45013
5,546404.6757,28865.58272,987289.8587,41470.33399,1425828.113,17424.89265,5,YES,Barangaroo_Ferry Terminal,33804.09123
6,342568.3747,1520.926404,676491.5382,22901.97568,1144015.318,30540.62554,6,YES,Sydney CBD_Moores Wharf,23405.44884
7,447450.1412,5384.053396,797901.672,25128.86684,1224440.232,16554.13172,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224
8,395243.7645,6159.364394,770947.8447,23967.26173,1203647.425,22178.95538,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025
9,297697.6284,7.60E-07,609813.4915,23041.55928,1089044.08,28239.62331,9,YES,Walsh Bay,66847.64739
10,379092.9802,1520.926424,718636.7351,25528.58015,1177436.651,17476.7505,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581
11,337462.8743,594.9463404,675140.0701,29278.83371,1103143.174,30235.28333,11,YES,Sydney CBD_Dawes Point Park,41747.85415
12,357991.3728,3718.564307,692904.2567,24565.39085,1139271.521,28856.78006,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033
13,436547.7296,13068.69376,839867.2293,30598.65678,1260453.657,12335.82583,13,YES,Sydney CBD_Gloucester Walk,12779.90742
14,477278.1014,19613.60038,886862.5466,36464.16263,1280429.354,13365.3768,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429
15,380423.7929,6671.389469,729459.5359,23620.079,1190614.932,21049.29103,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852
16,500344.1017,12522.82546,888591.8448,35550.14162,1299324.508,14118.3624,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035
17,405817.6646,1523.541857,779015.0654,24023.11493,1207419.095,17148.43925,17,YES,Sydney Opera House,40824.62043
18,445777.7329,20543.9784,828799.3091,41181.10345,1258727.352,26094.71068,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639
19,450878.0229,17851.41556,832070.6053,41303.22762,1261316.055,26094.71044,19,YES,Sydney CBD_Sydney Observatory,118316.4661
20,502288.8218,17506.34216,932607.061,37357.1778,1315359.115,15589.20154,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912
21,541738.3903,18422.10504,967780.3384,31937.09669,1346300.28,17324.65377,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424
22,562585.6056,17319.71144,1004964.159,30846.87661,1408220.392,15969.46773,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661
23,564141.6281,9594.500118,999994.9885,22125.91477,1391814.067,13494.42988,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412
24,498597.9307,28506.1106,914110.7455,40759.36236,1321500.506,14160.69615,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352
25,560605.3394,30858.29358,1019757.006,41797.20075,1429100.459,16655.07935,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693
26,634663.1488,12852.793,1095423.182,25427.35811,1509892.374,13182.94647,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604
27,555934.6265,29724.76693,1002145.927,37277.5286,1439892.511,16661.01596,27,YES,Sydney CBD_The Rocks_Science House,7229.637676
28,568716.8324,32462.76954,1028686.291,39586.60799,1452619.673,17383.35118,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092
29,603337.1555,35725.57668,1089846.081,36764.51565,1497092.192,15969.46775,29,YES,Sydney CBD_Grosvenor Place,11975.35026
30,575646.0563,38622.50832,1050928.793,38781.40156,1459115.736,16549.42421,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857
31,586446.7496,22466.14043,1064238.349,31392.0255,1451409.389,15589.20139,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832
32,598863.0038,12323.00718,1070569.951,26884.81158,1475724.106,14134.37736,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135
33,601496.3446,11413.72024,1058122.304,24987.27271,1434478.459,13182.94585,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091
34,599859.0514,11413.72022,1055031.072,23870.60341,1425782.25,13182.94638,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246
35,468243.0805,7398.872304,851644.0123,35737.91663,1265153.023,14235.36695,35,YES,Royal Botanic Gardens,431650.5595
36,601905.5411,28126.82958,1065052.387,32257.53727,1484167.261,15969.46806,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797
37,632414.4599,33324.48983,1115824.407,35183.87761,1533520.737,15969.46725,37,YES,Sydney CBD_35 Clarence St,12826.76054
38,631246.8685,26350.93165,1093682.823,35430.75408,1543904.906,15589.2014,38,YES,Sydney CBD_1 York St,7629.562321
39,634500.606,28061.72529,1110085.991,34737.82289,1546883.191,15405.91737,39,YES,Sydney CBD_AAP Centre,19490.92875
40,654875.7723,34820.16526,1143140.983,35499.32879,1548153.882,18958.50559,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988
41,625705.835,27493.00344,1120140.479,39788.11433,1520121.632,18465.72034,41,YES,Sydney CBD_Royal Exchange Building,7146.816926
42,623032.6353,24843.26307,1103878.168,35316.48569,1498892.792,15481.23406,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406
43,613221.0454,12995.17719,1094689.42,27230.96462,1477008.729,13280.03795,43,YES,Sydney CBD_Department of Education Building,6398.754555
44,623289.3715,11868.01515,1093018.038,23329.61703,1473073.023,13182.94601,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432
45,623978.8483,11260.52236,1081143.401,25619.70523,1448935.466,13182.94643,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785
46,683647.9528,29261.55374,1142893.083,32378.53666,1571932.289,15201.52399,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467
47,706893.607,36798.44175,1181617.918,33767.54814,1576696.86,14381.58826,47,YES,Sydney CBD_Metcentre,13887.99946
48,683325.0021,41835.2195,1178616.928,34998.28092,1583613.334,18958.50516,48,YES,Sydney CBD_Australia Square,13399.92826
49,640322.7299,34933.15549,1134765.532,34888.49671,1534006.272,18958.50582,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413
50,646642.7264,21727.61772,1141586.954,27030.95995,1537749.947,13182.94658,50,YES,Sydney CBD_25 Bligh St,16749.40533
51,636716.8662,19927.62171,1129001.483,26319.63397,1523933.809,13182.94621,51,YES,Sydney CBD_Wentworth Hotel,12746.48332
52,654341.8126,22820.55849,1145072.164,26594.94474,1535235.714,12946.67496,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128
53,558219.8077,29531.17602,989736.8361,41470.33393,1433753.981,17424.89207,53,YES,Sydney CBD_King St Wharf_Northern End,29032.55945
54,657888.6731,18335.73113,1119389.708,33518.59551,1545799.187,15589.20136,54,YES,Sydney CBD_Westpac Place,17119.20495
55,667430.5675,24825.34676,1144125.638,31780.87918,1567041.3,15201.52428,55,YES,Sydney CBD_83 Clarence St,10947.03167
56,703969.0635,25722.24854,1151677.375,31351.699,1574381.389,13888.80368,56,YES,Sydney CBD_Wynyard Station_York St,12411.30385
57,716864.3889,35037.76383,1185634.072,33029.31704,1577632.647,13536.55223,57,YES,Sydney CBD_Wynyard Station_George St,30102.61628
58,686818.1742,33693.91494,1169405.317,34424.00536,1569909.896,15163.78644,58,YES,Sydney CBD_Hunter Connection,21693.94338
59,656568.6933,19768.2557,1144579.612,24501.14858,1547928.307,11437.98707,59,YES,Sydney CBD_QBE Building,10366.01952
60,659034.6986,8223.225323,1077264.766,20089.77914,1464171.109,8173.790854,60,YES,Sydney CBD_Savings Bank Building,10816.1342
61,680583.8254,21109.58426,1147397.125,18128.10196,1531584.226,11406.80515,61,YES,Sydney CBD_Colonial Centre_Goodsell Building,9573.43
62,655803.6002,19440.75933,1136514.394,24563.51326,1523551.211,11406.80459,62,YES,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,14067.41983
63,665915.4592,52293.38701,1111753.788,67151.7575,1494529.036,62246.35479,63,YES,Sydney CBD_Parliament House_Sydney Hospital,68780.05289
64,279396.8028,27736.55026,633036.0306,70123.98639,1100057.082,82070.00707,64,YES,Mrs Macquaries Chair,143531.9027
65,532611.4329,26221.91911,938933.3424,38409.95945,1367756.414,15669.41716,65,YES,Sydney CBD_King St Wharf_Southern End,14395.44479
66,553286.8459,24077.29265,975253.5638,39298.87446,1406559.626,17424.8923,66,YES,Sydney CBD_Slip St,16475.59194
67,595570.2941,19645.28624,1045099.18,34091.44026,1474977.254,15969.46721,67,YES,Sydney CBD_Lumley House,19926.0001
68,624702.1311,25464.02702,1095124.871,33411.8127,1511831.546,15589.20116,68,YES,Sydney CBD_Red Cross House,14129.87804
69,649439.5988,26617.82261,1110700.026,34438.17912,1540817.677,15232.70624,69,YES,Sydney CBD_AWA Building,8170.834637
70,618703.3539,25749.15777,1085522.959,33025.86028,1497735.829,15232.70635,70,YES,Barrack St and York St,7780.211811
71,662425.1484,26577.50771,1146003.065,31913.3241,1563460.039,16513.05252,71,YES,Centenary Square,7520.760436
72,624109.8986,23554.75302,1119524.284,30485.96284,1513477.7,13280.03799,72,YES,Centenary Square and George,10913.76096
73,643838.2046,21917.19783,1140932.058,27335.53029,1544322.327,13182.94609,73,YES,Sydney CBD_No.1 Martin Place,24095.53391
74,653928.6428,19078.08057,1127760.981,23317.58951,1530798.898,11437.98714,74,YES,MLC Centre Sydney,19218.99924
75,661320.9548,21300.00418,1129542.238,22477.91092,1519406.298,10933.70073,75,YES,Martin Place and Elizabeth St,10794.63396
76,675412.0045,24682.00844,1141519.424,15482.12269,1523316.943,9969.283331,76,YES,Martin Place and Phillip St,9440.499185
77,696186.7067,28098.5991,1136004.969,32567.0638,1508295.597,38852.61933,77,YES,Martin Place Station,14175.2392
78,559522.715,78541.07449,994268.0513,76373.64422,1407068.567,50616.64183,78,YES,Star City_Pyrmont Bay Ferry Wharf,22341.37156
79,539763.7072,19266.61673,972729.844,35342.45426,1384357.105,14160.6967,79,YES,Sydney Aquarium,42496.50077
80,574092.8542,10735.76242,1013672.069,23739.69786,1412382.041,12705.27104,80,YES,Allianz Centre,22366.29744
81,601412.6483,10317.84774,1047764.909,26349.06445,1457872.292,15786.18285,81,YES,King St and Clarence St,15089.06279
82,628226.8848,13970.99128,1084681.236,26526.84089,1514196.944,10655.78971,82,YES,Westpac Building,16846.33276
83,622301.3076,15500.82683,1091641.63,28860.2471,1493463.81,14134.37777,83,YES,King St and George St,17061.28475
84,635368.8418,13405.89169,1119773.269,24295.8141,1522926.388,11643.07624,84,YES,Sydney CBD_Strand Arcade,16576.71142
85,643156.7817,14533.05376,1110231.675,27705.8788,1501429.264,11406.80464,85,YES,Sydney CBD_Centrepoint,15275.41577
86,664435.1375,22725.53184,1086262.635,42177.18024,1481142.299,26081.95881,86,YES,David Jones_Elizabeth Street,12122.55966
87,681737.1961,35622.15524,1109749.132,49559.03439,1487923.725,41039.54105,87,YES,Law Courts Building Sydney,11853.1391
88,540322.3715,55430.12842,948476.539,72206.39368,1376484.825,52837.54617,88,YES,"Darling Harbour_Novotel, Grand Mercure, Ibis",39939.40502
89,500885.0621,38166.51299,935810.1077,39623.45948,1341063.328,21353.65591,89,YES,Harbourside_Darling Harbour,93823.6793
90,536905.2144,9067.803042,978755.5809,25844.74247,1357029.52,13128.2484,90,YES,Cockle Bay Wharf,12729.91793
91,507687.767,16595.86697,941994.5848,34528.98191,1336454.125,14691.97881,91,YES,Cockle Bay Wharf_East,28385.95123
92,627792.0721,9072.219606,1066481.791,19892.31884,1439412.078,10655.78983,92,YES,Market St and Kent St,18947.31594
93,670392.4284,6712.468355,1110217.61,20233.75343,1503735.468,7378.470444,93,YES,Market St and Clarence St,12537.29958
94,694974.4536,7563.385705,1127144.403,16356.13157,1508664.743,7378.470739,94,YES,Market St and York St,15443.30979
95,709154.7273,9994.074072,1158650.752,15836.72145,1536501.467,10611.48524,95,YES,Queen Victoria Building,11986.26124
96,703359.3441,9440.975349,1127704.296,17785.07516,1500351.817,10611.48477,96,YES,Sydney CBD_Galeries Victoria,28064.59261
97,659982.8692,18887.66072,1110761.828,28133.42858,1479301.534,11244.19015,97,YES,Piccadilly Arcade,28769.26751
98,672796.6858,19673.229,1135278.43,19466.38908,1479775.085,18550.19546,98,YES,Sheraton On The Park,19184.57676
99,579723.3555,86895.05692,975062.1668,146019.8578,1368198.202,120233.5813,99,YES,St. Mary's Cathedral,20220.24647
100,539643.7119,113186.2256,936152.218,161865.454,1327589.437,135286.727,100,YES,Art Gallery Of NSW,186788.4385
101,629217.792,9072.219615,1046674.302,19892.31799,1429219.131,10655.7891,101,YES,Darling Harbour_Crown Plaza Hotel,15834.87293
102,642977.1416,6712.468339,1093102.549,19593.80602,1464864.883,8173.790908,102,YES,Druitt St and Kent St,13826.33208
103,738848.3426,9994.074032,1185230.487,14244.93274,1552085.429,7378.470172,103,YES,Sydney CBD_Sydney Town Hall,26694.84618
104,774605.9852,8366.160138,1185163.237,14244.93241,1567817.226,4452.689898,104,YES,Town Hall Station,16072.83088
105,748468.6536,10133.3603,1201405.094,14849.92369,1543798.993,6387.26696,105,YES,Sydney CBD_Defence Plaza,14487.8945
106,709353.1683,10133.36032,1132742.759,13439.02202,1490605.067,5940.948784,106,YES,Park St and Elizabeth St,9942.012928
107,681985.8491,19673.22903,1070963.461,39101.15034,1450881.403,22932.67976,107,YES,St James Station,193075.4495
108,479547.3153,3771.53241,854858.904,25515.27729,1276790.477,11963.94606,108,YES,Exhibition Centre_Darling Harbour,150505.3481
109,606152.3387,2992.139411,1019048.326,16215.43034,1396045.555,12484.71829,109,YES,Millennium Towers,22973.25763
110,635787.7968,6712.468315,1079069.145,19356.6779,1462937.973,8173.790754,110,YES,Bathurst St and Kent St,20750.75601
111,705289.561,8834.837873,1147428.45,13670.68324,1525919.523,10611.48547,111,YES,Greater Union Cinema Centre,22793.48345
112,746292.4009,9440.975333,1176071.172,13670.68383,1547424.129,9920.921435,112,YES,Bathurst St and Pitt St,11404.28474
113,699229.3081,7563.38568,1121621.266,15746.82152,1493192.194,7378.470879,113,YES,Wilmot St and Pitt St,5237.621604
114,646199.4101,6712.468294,1090699.76,12619.76993,1462140.985,8173.790997,114,YES,Court Of Petty Sessions,15263.08821
115,679966.5086,7563.385718,1062495.635,17060.44775,1441018.446,9620.282005,115,YES,Bathurst St and Castlereagh St,21789.64453
116,695264.4258,8694.287503,1082534.106,12864.77272,1459050.015,5940.948978,116,YES,Bathurst St and Elizabeth St,15744.04239
117,584761.9934,2992.139406,977111.7454,10076.08606,1348966.636,5418.260955,117,YES,Liverpool St and Sussex,19668.80926
118,632272.4081,7814.735026,1036030.019,9696.597848,1418951.097,8173.790636,118,YES,Liverpool St and George,19684.19281
119,663612.8656,8447.123175,1038420.978,11945.08884,1421717.565,7483.227712,119,YES,World Square Sydney,26149.04053
120,663586.3616,8223.225331,1015359.84,12685.38293,1405286.09,7700.686132,120,YES,Masonic Centre,16347.60654
121,679236.8402,8590.057958,1059976.821,15863.3169,1451094.687,6113.36652,121,YES,Sydney CBD_Downing Centre,10757.60982
