TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,117394225.871,54081862.208929405,11774606.720359735,10234396.232832594,8467827.808729272,2655333.108430612,43223593.32706848
4,4735009.5,2552594.4265422164,501831.67509226507,304675.26883710374,294153.54010629974,85214.09201921274,1858089.4953510112
5,47991918.0,23096753.222528137,4540745.8057064405,3989539.480974101,3441635.7208068,988746.4914843679,17876075.922907207
6,268333.39,1355961.0529117472,846049.69388119,98819.87223848658,819013.8761186581,637729.8450946901,795195.7926373935
7,2406687.855,3856165.990671819,1162065.77969134,533209.0975860084,1551737.8508740696,643089.5110350328,2162726.748885388
8,2563883.322,3425711.526638331,1448589.8819712154,678459.3239251976,1505240.6924524873,860384.5684100828,2165157.5771907154
9,4.5942000000000007e-07,4671.445728427201,2678.8106671866003,2.2525997388832405e-08,362.1540623638629,245.41547197321248,2450.0854652849252
10,729439.9060000001,4108806.875379174,1316113.7678890245,219517.11332209993,2112615.6706492403,871638.4096870578,1966466.3843097498
11,517222.04625,8536050.435059678,4124401.3484548,19549.852124281508,522330.17157867923,325969.7947380986,4309612.577567206
12,876835.713,1987314.3025152,1067357.6685347466,209417.1721000758,794235.9214278469,547526.603646159,1199266.1378666614
13,12588533.425,9705728.745218558,1860196.7692501708,964169.0955205921,1251459.7671862189,337285.50499366294,6114092.2582430085
14,9876334.65,6162388.970546868,1056836.363266476,968488.4749635822,1053301.096792944,264045.13209666125,4213878.965431712
15,995430.8,1210962.220141408,492957.556489776,161900.44142741105,332677.6255304143,175105.0632771965,760861.7991149632
16,2416943.75,2273999.910714512,428378.50483905606,194818.28869134042,334279.4360115084,90886.18560821438,1336086.478299746
18,7739160.0,5152867.895469887,1545892.412220288,2045275.307060991,2372277.687701847,988962.4175977823,3863659.32040689
19,31016338.665000003,23721809.76678533,7095398.5724073425,3448684.3373709265,4629128.064355895,1927661.2848939784,16016573.280126045
20,14611636.8125,10461115.967391836,2042544.4054622648,1194087.0052903895,1491281.083120531,435686.0511657586,6802174.093916431
21,8272419.844,4815632.256450367,1222267.1056030516,794692.1533221827,838729.7837849366,322950.55029706086,3523818.4535715035
22,6372035.475,3945461.0751699554,923016.2311274013,624956.6019113234,701612.0771157854,247203.6457796652,2788991.1149176727
23,6824495.01825,5280758.247632217,1506930.6630302018,3161569.697511978,4470009.276560717,1934141.7796268582,3926907.0895144697
24,8477966.25,4066467.836123772,661025.5444908451,1285173.1584597207,1089001.6490288056,258420.65010635013,3203021.0282814926
25,5550489.75,2518043.101143225,469468.380193995,788412.0508781583,636847.1588745668,178804.57955789784,2052320.7939254327
26,1403640.615,927920.1218157841,225094.8297254161,105025.14946713099,130286.34602746849,48390.049142428405,635782.6112582552
27,6917271.075,2911847.2899473617,608928.9772381549,1470820.4661986097,1112437.9560699358,341696.8960027236,2571607.3459282736
28,6009439.3125,2454946.4326718063,504395.16138871945,1535044.1472180346,1122875.592428507,344792.5393246136,2243861.1079731807
29,9021036.57,3115732.8487060224,633235.835499717,3581930.660987445,2218224.122586634,692617.7421981054,3350150.7665664875
30,84944854.53999999,28623082.98656809,5715042.649995969,18327666.43198212,10956158.90787709,3325149.9452541303,28658128.707518373
31,13061368.125,6111792.866419516,1420093.1561855914,3497917.4757114216,2921250.3055402986,1050345.671734627,5270509.607653606
32,8008071.824999999,5870471.47783146,1444063.6808323273,859309.7890439429,1141292.0495176194,429819.71175945154,3916075.3218952524
34,3231130.5,2269113.302490849,586339.224437898,865924.160396857,1119837.6926852847,451883.19450656045,1634659.9523757251
35,25402721.11,41145362.1136262,7668386.645736976,427900.98328682076,1234203.5153431995,326776.8094654484,20576353.268668864
36,829231.0,319259.297868644,73951.412692248,80565.91257056297,56776.19736974687,19916.987056656588,282703.0556153911
37,7417849.725,2628576.589241041,558227.2599389475,2272913.775291114,1478499.1363981043,482152.00787941547,2677395.199775182
38,3398452.2,1529680.6448066449,314911.0659088261,664236.9141511235,558907.6235633964,172014.20944123613,1291978.7559303443
39,10905574.875,4521556.661246192,1135141.6965943547,2945398.5315815443,2260728.836335783,859559.5517584023,4194061.6870437725
40,10055611.605,3381960.3144717403,845076.732728147,3467923.9957462084,2164104.8134861486,842670.6994779415,3662934.949190997
41,3181839.375,1543981.3575059394,335273.03601041343,1318521.5061962784,1157546.127768991,390890.69278314884,1376478.2780381641
42,2675920.0,1278032.98414972,262128.25510392,824972.7716951909,720257.4828804849,229602.39926032416,1096869.2083670786
43,1236235.0,868488.0470115081,198172.69431267004,370023.2692633546,471636.65662691597,168330.0587783748,623263.2919852851
44,13191462.375,8673546.842898529,2293217.6213086336,1064989.2082792236,1293305.0084129984,535449.9104460309,6031663.418615591
45,5585321.625,4247046.42819596,1022513.4879813406,2333777.2733281287,3317220.723051512,1257641.7941962287,3076369.7884471216
46,2072191.225,768002.3765215036,168708.18540865893,1094039.0897635114,785564.8840219129,264785.2063536024,839941.9064373061
47,16355743.690000001,4952692.431387561,986943.6563734536,3620793.567029671,2124424.9269078914,669556.9942851481,5309301.57209195
48,11409538.4,3129061.903658467,793076.7378943585,3632744.1657472462,1870790.2883071615,744759.3833687066,3814426.6414754833
49,9772377.875,3221048.710218744,818960.2447445082,4044328.2411736855,2436272.1156146945,967022.5879390021,3649454.0043500313
50,7988860.425,3337564.7947792034,761595.5662687566,3504882.0788839236,2686354.0971787754,960389.7835013074,3282010.537663307
51,7568785.9,3357346.1954228645,786814.6528225788,1908096.1006275285,1546007.3939268293,566477.3944413906,2960867.2828530692
52,6413873.7,2509156.7087275963,571518.9257014872,2726947.849030059,1974447.5665126888,707900.9973416158,2550362.1363147045
53,39251512.625,18506106.24291873,3638239.5749484478,3250723.104906046,2799714.2977771405,801865.1722129938,14465154.560940064
54,8156520.45,5010519.875721337,1090346.4689856912,1079219.5952802459,1261968.0412254448,419686.1331374993,3572912.12244905
55,5484547.9,2357209.5786828385,527549.3661787002,1400932.4716162328,1137618.1585338912,392302.4269052312,2109166.376889885
56,5013153.795,2051077.7469678181,425137.6417475607,1363303.339820699,1104271.611037417,353354.41944101034,1888147.985375243
57,54389655.97,16924234.89970033,3245347.3949257955,5553114.671567192,3383804.6666734274,1029125.916434691,16713655.871803239
58,24392201.47,8210345.1789062405,1692198.683877034,5876850.16269402,3762888.288067145,1219180.1836252038,8345689.893043429
59,3347358.3,1389205.8140495396,303440.41781770263,1317537.3132156618,1015900.2196766748,346273.5736643004,1341698.0128250243
60,8879665.275,7278519.9509993,1933639.9860553474,664825.022489121,1079764.983129294,445408.70356955344,4661468.361933069
61,3524069.25,1015447.444099596,298959.81549583504,1643882.2173630812,909999.5040573468,423580.2380301323,1299460.9977589904
62,3657530.5,1553173.050591734,337471.454475609,2284835.3250013157,1813323.2323744465,620264.0382486543,1620609.1391893337
63,86371630.8,37552761.621227406,16287037.59447296,10848431.479693752,9150351.248599632,6230293.993794027,34149943.45184907
64,193553.75,164335.562104965,89989.762752255,3743.290365239641,4543.243969034365,3021.392279281457,117657.94834661327
65,15113443.8,7431031.969742347,1418410.0571869875,1440574.2638269977,1301327.61011679,359858.37449615233,5708817.019614278
66,4105404.875,2245237.050254781,465796.1222512951,922909.0149507928,927443.5153719408,281544.360243283,1741730.0391604907
67,9361797.9,5461245.203753648,1196962.1906005559,2585812.963568358,2784162.753454008,912476.849987261,4210670.942046127
68,45897617.025,20169407.130293068,4403121.135799174,2108237.2425532453,1711675.3487372617,571235.8194942789,16191818.466622954
69,3844794.59,1669455.4077423874,345505.8361680941,998221.6477065241,820843.2353516186,258435.7638307835,1478823.1209212479
70,4493477.95,1936630.50216435,417939.45947082306,754364.2431190641,600175.52297664,198113.91420150956,1659497.019398235
71,3844682.205,1547013.0977899102,374535.50004252116,1289264.9066582448,971217.0818563744,363731.2368546631,1496174.0512205176
72,27277204.5,11817644.180117706,2408651.6183925616,1797116.4503494706,1405802.7769508597,447292.1378545164,9587818.757895002
73,16825200.6,7043471.73718191,1589334.9259747127,4341080.3627977185,3321474.2252694545,1168550.9864125666,6405315.714851827
74,8208152.42,3360770.331919931,771344.6368069455,2383151.6765458314,1832516.852540386,653917.2986561087,3142589.0056665973
75,15923688.3,5635898.293485277,1282679.2288754245,1908945.7214609347,1281186.762765806,457469.56582995376,5278298.177697056
76,8012408.3,1684378.7766283653,507477.5949952238,1657384.071320515,667690.0336066982,318134.91513316927,2342250.8524279487
77,3552285.1,1351909.6229575279,754628.2088274972,991427.9048385052,748921.0785868877,664479.3576913608,1459464.7780680927
78,15547317.5,5073088.767855812,1573134.8580913022,56714.684049958545,33729.99865632599,15597.83550161739,4816079.905990698
79,57773049.425,35481978.140654,6651803.610588802,748336.050934845,826000.3186627488,229626.60867959808,23798158.16307007
80,5616371.15,4179172.970409104,1046508.5273389824,1778601.4484066018,2427657.5510288225,920770.5891547478,2974389.2656504624
81,3207815.52,2752203.205060714,771500.3076137952,553752.3198778392,883252.6599081311,375535.6959974087,1801495.8108711431
82,5064332.0,3218272.41327841,604876.3291197384,1191095.5008527199,1419878.5018635825,403441.9259946613,2316954.1642748364
83,32687642.325000003,20412447.51824022,4677517.367075285,1676369.7694618183,1932820.4136910979,683224.6287742709,14090656.977515472
84,5013911.5,3048923.01429297,683638.3574307121,1500856.3936264461,1677236.5842157754,583568.404387783,2329981.7728456347
85,86050.25,55144.118810791995,10622.7008890464,43949.31501038699,52843.55056158886,15885.56899341746,43588.86740167729
86,5400108.675,3365094.9376097354,973651.7808979407,1664999.994073914,2055494.80253484,920506.9595708288,2623767.0176815446
87,5991511.5,2720954.532824487,1054252.458171135,757722.0707262508,684662.5545294752,417551.7949473565,2383274.5921195825
88,35302403.5,15431683.293632982,5283527.41555147,1498976.2425581892,1208981.6480211345,601938.0998251992,13038633.526821181
89,126813017.5,44115987.127572134,11123962.832927447,2155499.5032457365,1299930.1451013372,482712.20950803603,39908069.48737414
92,7402301.367500001,5444876.378857265,1364683.487117456,928874.2728613378,1302657.2269452722,510515.1844535137,3658382.562051797
93,1655245.9495,1674015.9974745507,410774.03633914806,307914.43649324484,609028.5967452915,232854.17605915738,1022123.4089367738
94,2214759.4560000002,1714360.5162052286,487829.1560717789,429651.0932355226,664156.4113642294,297981.34796036204,1174798.3156315899
95,3701294.9999999995,1967871.0073769996,616951.7518536,442275.8982290718,466137.700581551,232570.52243515494,1552202.7361150451
96,11597714.96,7328233.153525537,2045801.0948197194,1623541.7166803286,2072344.2545428611,917686.7305584654,5328220.862228475
97,33268811.94,16608915.940975677,3105921.5666936054,3038358.6719920277,2919068.7701780815,865015.8369972701,12622807.604555098
98,10901088.575,3612702.326281564,1610790.08409905,2111476.317921006,1343134.6625286287,969614.9374845416,3909924.9522803724
100,42462914.0,20399929.06609264,7977620.186550481,1265417.9136002641,1135018.8304151087,660536.3821104394,16747238.403147751
101,1442157.21,1060800.8242236085,265875.151223484,288039.81767762854,412527.3797694136,159799.61044138836,730591.4964286358
102,10966206.68,11338457.607576936,2096255.6474918611,403510.08266698854,794833.4698858915,231417.41962071203,6373190.545467432
103,10284437.7675,4918340.662224103,1191977.910977975,553072.4111554635,534025.6426546744,208576.41601081885,3843024.554176603
104,7538416.645500001,4302869.839058447,629309.0024302832,517603.54324718943,625413.9505991782,145922.524866164,2986729.6452874416
105,4176160.625,2059316.8801916726,414436.21988286,882540.5692295783,878121.0461233594,290237.76571606455,1667701.2323964406
106,1781084.5,794829.454937668,164401.49932011843,590184.2110655728,534192.5277035614,177200.3711606844,714955.1032635242
107,103836135.55250001,69121787.7108877,18968103.561298415,240595.37278747914,330326.94456585555,141208.8727888904,46709418.91160995
108,2020326.9775,4746897.79955521,1006100.9851875247,181799.9710419649,776083.8171760883,232424.24083871985,2284687.4196712393
109,1766903.8725,3213759.3271499868,1157730.0249830734,250712.0643070118,878521.1888271767,487537.1034022934,1793432.4401788553
110,3333712.525,3225370.33212457,637258.9702076298,907514.4183390215,1675550.2709823893,515327.7035782845,1994414.2580005701
111,7623433.48,3958432.730860077,1437649.1449886255,1220979.5742654582,1262154.3537850736,727448.7322287335,3272762.800993811
112,19355214.32,9795566.247761471,3192014.208585937,861744.2911443694,896344.5173649132,468490.482097195,7698686.587306532
113,863389.8,644978.83539691,190172.67175935,165912.23157672444,250253.3607013424,116971.31778178626,449934.17431487405
114,2457175.32775,1684058.0317158287,469703.6873427432,406057.7963068617,534022.6469770372,234481.64610518294,1195126.0936956678
115,5090953.140000001,3853105.1952180946,1016604.2527200051,808707.0426310701,1268682.4566271515,520856.27529372677,2606513.179751212
116,2638047.1975000002,1309809.2097481736,283012.3728059035,729161.926869292,753091.0011897385,254790.09775921394,1092142.048246241
117,2309917.7725,2610720.2460802174,656858.8639833943,273856.8143054148,599945.5658459781,230745.31760511635,1519822.1344887728
118,3322962.67875,1539540.7162874136,545738.7028837015,885771.35795466,811164.2729422932,443071.2765656425,1396548.812507815
119,1176658.2750000001,608869.9345167137,234165.53516143683,604274.730722038,647201.5203164633,383675.788713848,577833.9908463898
120,4012085.415,2255355.253961753,837437.3781431551,790752.4824591815,940919.346269082,532735.0977886695,1831403.8602781666
121,1636803.0250000001,1013772.23413323,182797.60632447602,288312.41653844557,370613.9473608461,103019.34485952479,719709.187075643
122,15958863.375,11279471.761109348,2441498.264553235,1127701.2452119906,1672344.4749876568,549600.0408169179,7421417.445256193
123,4092188.1,3572376.3487329683,1289354.6373812181,1465252.582026393,2651616.5991093204,1425664.9829848064,2546817.109042461
124,2468963.25,2269043.063945424,1151934.5101720951,1146334.474223508,2184266.146024044,1657543.0391992924,1742875.478743091
125,2402065.12,8887025.78251374,2236534.043966114,416068.5290690559,2934859.20281169,1096755.9430613148,4177542.217004794
126,229150.05750000002,861591.6199588679,206430.12844061907,60628.52499068208,452833.2156223086,161778.63541988315,404303.6798816093
127,365523.34,407996.1354498747,215929.62870449648,91200.0473110244,200104.3799718386,164390.0222884317,284095.81926996115
128,366106.8125,420535.86082395253,200312.53725045748,79733.78838859283,183053.01607126306,136280.43186411663,281256.2328395688
129,2224132.80375,1019771.9977090381,368235.3543337397,358665.0644822153,329912.04895202466,185473.1717230446,893135.4287196285
130,6802766.14875,3229578.780413202,1578133.8930686149,831831.1342684315,790638.1594005323,599977.5377811934,2875003.7716636774
131,3362782.1175,1898556.6614721639,522927.09894230706,1175769.9418756326,1334377.105820674,548429.541189844,1563586.5967007624
132,2775780.1500000004,2555495.3883704077,552406.4435707951,466045.4524611428,900760.7040284203,289038.45747148205,1576271.5443905916
133,485356.12775,918878.4940051592,350278.9849586724,41891.433763392924,159194.13539117484,93503.95071163471,510927.08657350944
134,9759593.259,4495869.633714659,1334200.3748036493,486966.9842490862,451601.1248196389,209174.0453312737,3651116.7100476176
135,1394461.25,1088191.141550695,366407.67424947,61951.84893643325,96112.69857575002,49059.621508818636,727601.788422794
136,4549757.5825,5490617.324648909,1892408.7895077576,419146.96968145797,919206.119693155,456736.24054540123,3289159.4634157983
137,319258.745,249138.89305214206,83888.20365758808,62758.70543848919,97341.61796644286,49613.102736821056,174678.60730965825
138,754052.0,258454.80096515137,62286.077388916805,126644.91303751827,90269.15515040857,33847.869984102785,253696.44495760908
139,242839.74,217720.0528638718,115590.5593990277,54805.38246805089,100243.04009008405,82203.77824842476,160711.05783230832
140,-0.0014908478,457086.7354332238,241110.25167830221,-0.00025926027273009104,156917.27219151342,124564.92065071818,232732.32874549064
141,217424.22,258307.7321270059,185651.39454255503,28589.19332416674,65380.19414604973,71090.4522762729,188988.6111105481
142,1369657.33125,1068835.0033032948,420768.7048876772,252390.94607820857,407062.27759845776,242482.71775692244,766875.948951692
143,680823.0,258527.8648224,45502.46566124401,123850.8035124636,97776.85122361107,26724.003212062806,235455.74407995862
144,-0.0169121634825,648729.8970782076,293111.2970026869,-0.003209144489309101,238345.26928889044,160995.87297192944,313947.06134008017
145,1185569.385,343280.7748281374,90176.9073560145,190233.64843624702,113639.57328865872,46846.976648424396,373786.3996340918
146,4347438.81,1942172.8854838593,240797.66147134698,667436.9931568863,606841.836090129,121313.25128939694,1563469.48284455
149,3946117.5,2009843.756904765,422908.91442830703,1745947.811548592,1601516.323575414,485935.7422047346,1759595.109035789
151,145076923.225,67696690.62917478,20763018.088148206,11007417.818645788,8969585.27172035,3687241.2945974716,55500626.413048625
152,146425334.0225,111674858.10312112,48780205.89917027,18989716.51917345,26110341.182163026,14855090.753260653,81054196.42437604
153,154629619.43,64622877.60225019,21294929.362951722,14161324.929952173,10299668.605311148,4858075.731533764,56771093.04839266
154,52815641.97,19101492.430453524,5114637.517856509,7495177.515665632,5067048.537577802,1997161.1677816303,18123846.563714284
155,35347243.75,12734819.110542089,5053750.404247066,4499906.91929116,2944292.894283597,1662464.7317885517,12570714.949811578
156,152998590.225,95496441.96605201,26749935.389512725,11698643.04194333,12802092.88900069,5029140.469756344,68198331.32967879
157,85249203.26,49774708.31524667,29603634.678024754,9319682.783997476,9552446.270269906,7899307.769305538,42220928.67175672
158,0.148978115832,1500293.4790571118,7179777.192855189,0.01343572088327127,216688.3949153413,1496080.1461184246,2893356.917706406
159,-0.099794507696,4754597.641294294,5630305.679840804,-0.010020734227322336,901154.0754994343,1537059.1999256234,3461634.4220758253
160,18137.444000000003,103041.46691826881,33306.78426679776,3117.001512321625,33987.27751479144,16265.150853595433,48991.824647075795
161,8460530.0,2710271.4929162003,743342.25912012,3037521.9640566427,1818292.9533023466,791734.6546893275,3067546.5780215473
162,1579636.5,954727.876773405,239621.62077739803,111075.993218113,128342.77689631327,50373.686659386876,679901.9147199531
163,6236096.3015,17689399.849507216,13159883.447749903,7115740.210883273,11744139.949387142,11030152.502926067,12508400.517816251
164,44741219.25,13972202.547708182,10008938.750806712,4332681.921604285,1685947.9712806433,1546408.415410289,16172697.294772347
165,252897094.1315,107692054.57788529,43365418.585230686,48601392.0233835,35160060.57899141,18986486.84892518,100602238.74685258
166,0.084672919825,10240987.110320684,10600676.932613304,0.03545062079149529,5700351.026385808,7825827.013801295,6947221.367665253
167,-0.146495073725,31695556.422606822,26384702.994085476,-0.10008738295522705,21281107.7875628,22602199.79029348,19360086.43113369
168,83916465.62,70410545.98786633,26655584.916225325,6870685.454726996,11063436.544664219,6198742.157000218,47486568.81381839
169,72748297.44,51806665.94743141,18651927.773530804,12049764.907016903,15592621.514561316,8103106.8214632645,37619208.298156895
170,39289358.30625,25401163.320767123,12186432.221279701,6574338.684982672,7786357.2703303,5444149.825390794,20173148.012554385
171,45584689.878,30325960.159933113,8875047.873403197,7762050.004431871,9740791.97374373,4209785.2711416185,21958125.991517413
172,716567.81625,8315127.136600713,2737094.9261301365,141638.2064907419,3007517.054442261,1366597.1070789131,3827108.3580337404
173,0.041533679687500005,15322231.163792437,17872854.19953928,0.011465137674437487,6334362.0211634,9781700.440616865,11065028.463277042
174,1140007.375,490792.56797163346,106837.85039721,296723.0756371522,239543.927539397,80790.6705806501,438665.2145624732
175,134186573.94999999,69228030.79771523,29690540.806163788,9453469.359048529,9073074.320255755,5586417.495770134,56912864.419467755
176,19256682.2175,21943456.78158354,6238190.979241701,1850253.9069429182,4127695.5520693134,1766485.3346733884,12911705.2743489
