num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,653687.1063,637053.0488,16634.05749,0.00010299,1.47E-05,"186,154"
2,789300.704,754544.0389,34756.66507,0.00010299,1.77E-05,
3,951203.002,912192.6289,39010.37311,0.00010299,2.13E-05,
4,1042959.956,1001489.622,41470.33379,58.99529221,1.34E+01,
5,1028760.193,987289.8587,41470.33399,142.8118795,3.20E+01,
6,699393.5139,676491.5382,22901.97568,48.40819099,7.37E+00,
7,823604.1557,797901.672,25702.4837,178.3730884,3.20E+01,
8,795488.7233,770947.8447,24540.87859,62.80657353,1.09E+01,
9,632855.0508,609813.4915,23041.55928,377.5755298,5.20E+01,
10,744165.3153,718636.7351,25528.58015,92.57474947,1.50E+01,
11,704418.9038,675140.0701,29278.83371,0.00010299,1.58E-05,
12,718043.2644,692904.2567,25139.0077,24.53771006,3.84E+00,
13,870465.8861,839867.2293,30598.65678,32.26452915,6.12E+00,
14,923326.7092,886862.5466,36464.16263,14.29122678,2.87E+00,
15,753653.2318,729459.5359,24193.69586,26.29969088,4.32E+00,
16,924141.9864,888591.8448,35550.14162,0.00010299,2.07E-05,
17,803611.7972,779015.0654,24596.73179,0.00010299,1.80E-05,
18,869980.4125,828799.3091,41181.10345,56.94404446,1.08E+01,
19,873373.8329,832070.6053,41303.22762,373.1507618,7.10E+01,
20,969964.2388,932607.061,37357.1778,73.75688622,1.56E+01,
21,999717.4351,967780.3384,31937.09669,12.42697009,2.71E+00,
22,1036903.249,1004964.159,31939.09045,0.00010299,2.33E-05,
23,1022120.903,999994.9885,22125.91477,312.8469003,6.96E+01,
24,954870.1079,914110.7455,40759.36236,181.1260925,3.77E+01,
25,1061554.207,1019757.006,41797.20075,7.067088463,1.63E+00,
26,1120850.54,1095423.182,25427.35811,6.464326556,1.58E+00,
27,1039423.456,1002145.927,37277.5286,208.3514625,4.72E+01,
28,1068272.899,1028686.291,39586.60799,289.3970132,6.73E+01,
29,1126610.597,1089846.081,36764.51565,0.642453825,1.58E-01,
30,1089710.195,1050928.793,38781.40156,27.62682143,6.55E+00,
31,1095630.375,1064238.349,31392.0255,16.333015,3.90E+00,
32,1097454.763,1070569.951,26884.81158,266.4666687,6.37E+01,
33,1083109.577,1058122.304,24987.27271,0.00010299,2.43E-05,
34,1078901.675,1055031.072,23870.60341,27.43729271,6.45E+00,
35,887381.9289,851644.0123,35737.91663,13.848952,2.68E+00,
36,1097309.924,1065052.387,32257.53727,0.00010299,2.46E-05,
37,1151008.285,1115824.407,35183.87761,0.00010299,2.58E-05,
38,1129113.577,1093682.823,35430.75408,0.642446818,1.58E-01,
39,1144823.814,1110085.991,34737.82289,0.00010299,2.57E-05,
40,1178640.312,1143140.983,35499.32879,82.63511608,2.12E+01,
41,1159928.593,1120140.479,39788.11433,6.083398538,1.54E+00,
42,1139194.654,1103878.168,35316.48569,0.00010299,2.55E-05,
43,1121920.385,1094689.42,27230.96462,0.00010299,2.52E-05,
44,1116347.655,1093018.038,23329.61703,0.00010299,2.50E-05,
45,1106763.106,1081143.401,25619.70523,179.8712483,4.33E+01,
46,1175271.62,1142893.083,32378.53666,92.55002448,2.37E+01,
47,1215385.466,1181617.918,33767.54814,242.9354251,6.43E+01,
48,1213615.209,1178616.928,34998.28092,12.38459587,3.27E+00,
49,1169654.029,1134765.532,34888.49671,16.65509752,4.24E+00,
50,1168617.914,1141586.954,27030.95995,0.00010299,2.62E-05,
51,1155321.117,1129001.483,26319.63397,14.51982728,3.65E+00,
52,1171667.109,1145072.164,26594.94474,0.00010299,2.63E-05,
53,1031207.17,989736.8361,41470.33393,0.608113496,1.37E-01,
54,1152908.304,1119389.708,33518.59551,1.851264205,4.65E-01,
55,1175906.517,1144125.638,31780.87918,1.110747196,2.84E-01,
56,1183029.074,1151677.375,31351.699,13.10067463,3.37E+00,
57,1218663.389,1185634.072,33029.31704,49.9156758,1.32E+01,
58,1203829.322,1169405.317,34424.00536,0.796847896,2.09E-01,
59,1169080.761,1144579.612,24501.14858,0.00010299,2.62E-05,
60,1097354.545,1077264.766,20089.77914,46.75710141,1.12E+01,
61,1165525.227,1147397.125,18128.10196,0.00010299,2.61E-05,
62,1161077.907,1136514.394,24563.51326,91.76152943,2.32E+01,
63,1178905.546,1111753.788,67151.7575,30.11767072,7.73E+00,
64,703160.017,633036.0306,70123.98639,3.195967297,4.89E-01,
65,977343.3018,938933.3424,38409.95945,528.3963552,1.12E+02,
66,1014552.438,975253.5638,39298.87446,0.00010299,2.28E-05,
67,1079190.62,1045099.18,34091.44026,138.8149333,3.26E+01,
68,1128536.684,1095124.871,33411.8127,0.00010299,2.53E-05,
69,1145138.205,1110700.026,34438.17912,54.51634872,1.36E+01,
70,1118548.819,1085522.959,33025.86028,74.44696069,1.81E+01,
71,1177916.389,1146003.065,31913.3241,0.00010299,2.64E-05,
72,1150010.247,1119524.284,30485.96284,0.631209554,1.58E-01,
73,1168267.588,1140932.058,27335.53029,9.296291089,2.36E+00,
74,1151078.571,1127760.981,23317.58951,7.429876834,1.86E+00,
75,1152020.149,1129542.238,22477.91092,0.00010299,2.58E-05,
76,1157001.547,1141519.424,15482.12269,2.12463254,5.35E-01,
77,1168572.033,1136004.969,32567.0638,15.48768274,3.94E+00,
78,1070641.696,994268.0513,76373.64422,0.00010299,2.40E-05,
79,1008072.298,972729.844,35342.45426,22.0473012,4.84E+00,
80,1037411.767,1013672.069,23739.69786,845.0590729,1.91E+02,
81,1074113.973,1047764.909,26349.06445,102.2352226,2.39E+01,
82,1111208.077,1084681.236,26526.84089,11.77703801,2.85E+00,
83,1120501.877,1091641.63,28860.2471,0.631211547,1.54E-01,
84,1144069.083,1119773.269,24295.8141,23.94850525,5.97E+00,
85,1137937.554,1110231.675,27705.8788,0.00010299,2.55E-05,
86,1128439.815,1086262.635,42177.18024,1.586547553,3.90E-01,
87,1159308.166,1109749.132,49559.03439,0.00010299,2.60E-05,
88,1020682.933,948476.539,72206.39368,440.0987338,9.78E+01,
89,975433.5672,935810.1077,39623.45948,6.419590335,1.36E+00,
90,1004600.323,978755.5809,25844.74247,6.116354161,1.34E+00,
91,976523.5667,941994.5848,34528.98191,0.00010299,2.19E-05,
92,1086374.11,1066481.791,19892.31884,333.1503288,7.88E+01,
93,1130451.363,1110217.61,20233.75343,230.0699412,5.66E+01,
94,1144592.748,1127144.403,17448.3454,55.34771426,1.38E+01,
95,1174487.473,1158650.752,15836.72145,6.11624361,1.56E+00,
96,1145489.371,1127704.296,17785.07516,45.55049807,1.14E+01,
97,1138895.257,1110761.828,28133.42858,15.50459424,3.84E+00,
98,1154744.819,1135278.43,19466.38908,53.49065266,1.34E+01,
99,1121082.025,975062.1668,146019.8578,25.07363012,6.12E+00,
100,1098017.672,936152.218,161865.454,17.63874771,4.22E+00,
101,1066566.62,1046674.302,19892.31799,135.3819332,3.14E+01,
102,1113788.569,1093102.549,20686.01985,287.0059773,6.96E+01,
103,1199475.42,1185230.487,14244.93274,40.31551903,1.05E+01,
104,1199408.169,1185163.237,14244.93241,51.9605084,1.36E+01,
105,1216255.018,1201405.094,14849.92369,765.564986,2.03E+02,
106,1146181.781,1132742.759,13439.02202,0.00010299,2.57E-05,
107,1110064.611,1070963.461,39101.15034,18.86468334,4.56E+00,
108,881270.0005,854858.904,26411.09648,3.8538967,7.39E-01,
109,1035263.756,1019048.326,16215.43034,1615.752238,3.64E+02,
110,1098425.823,1079069.145,19356.6779,2041.139664,4.88E+02,
111,1161099.133,1147428.45,13670.68324,819.0363561,2.07E+02,
112,1190316.105,1176071.172,14244.93326,0.00010299,2.67E-05,
113,1138460.301,1121621.266,16839.03535,725.5933355,1.80E+02,
114,1104411.744,1090699.76,13711.98376,97.40837708,2.34E+01,
115,1079556.083,1062495.635,17060.44775,543.2621322,1.28E+02,
116,1095398.879,1082534.106,12864.77272,191.8006225,4.57E+01,
117,987187.8315,977111.7454,10076.08606,1096.877077,2.36E+02,
118,1046818.831,1036030.019,10788.81168,1537.346575,3.50E+02,
119,1051458.281,1038420.978,13037.30267,1733.533719,3.97E+02,
120,1029137.437,1015359.84,13777.59677,402.6870641,9.02E+01,
121,1075840.138,1059976.821,15863.3169,0.00010299,2.41E-05,
122,1053546.897,1031419.366,22127.53145,725.7637604,1.66E+02,
123,1012919.512,978561.1529,34358.35887,267.1532931,5.89E+01,
124,1001566.656,960189.3779,41377.27856,616.9085712,1.35E+02,
125,951090.0408,933838.6197,17251.42111,32.23551107,6.68E+00,
126,952239.3299,942037.4607,10201.8692,124.2987941,2.58E+01,
127,1023209.794,1016686.696,6523.097507,26.36346757,5.87E+00,
128,1043979.754,1033739.204,10240.54987,2.925833985,6.65E-01,
129,1067428.955,1057052.691,10376.26383,47.58518228,1.11E+01,
130,1045132.458,1034202.718,10929.74031,988.8130299,2.25E+02,
131,1008242.42,993193.0193,15049.40104,3289.806615,7.22E+02,
132,1015459.407,990589.4463,24869.96056,29.92842902,6.62E+00,
133,1051011.88,1041246.244,9765.636083,8.728155037,2.00E+00,
134,1101065.733,1089775.298,11290.43492,38.0301172,9.12E+00,
135,1013549.04,1006591.963,6957.076633,981.5520766,2.17E+02,
136,882384.895,868819.541,13565.35401,681.8316237,1.31E+02,
137,1013785.265,1006828.188,6957.076514,0.405635506,8.95E-02,
138,1074300.309,1065427.61,8872.69944,10.63032909,2.49E+00,
139,1056893.212,1049835.898,7057.31434,0.00010299,2.37E-05,
140,1019569.283,1012511.968,7057.314521,0.00010299,2.29E-05,
141,994863.2935,989478.985,5384.308517,15.2984667,3.31E+00,
142,1032996.291,1026039.214,6957.076726,365.1748832,8.21E+01,
143,1086424.354,1077478.195,8946.158552,0.00010299,2.44E-05,
144,991238.3916,985828.5724,5409.819173,1119.399227,2.42E+02,
145,1097765.155,1091212.442,6552.712968,56.6822071,1.35E+01,
146,1216225.283,1204923.44,11301.84261,140.1721887,3.71E+01,
147,438151.4166,436501.7124,1649.70417,0.00010299,9.83E-06,
148,506320.425,477526.9026,28793.52238,0.00010299,1.14E-05,
149,990634.1954,949631.4523,41002.74305,802.8836932,1.73E+02,
150,959768.5791,922666.4151,37102.16396,0.00010299,2.15E-05,
151,891541.1513,801522.9676,90018.18367,401.8165556,7.80E+01,
152,805358.5591,731423.6395,73934.91961,3737.743639,6.55E+02,
153,959601.2475,891439.9584,68161.28907,1510.146795,3.16E+02,
154,1086716.556,1000663.858,86052.69817,1559.560076,3.69E+02,
155,976449.0201,905013.2495,71435.77062,943.8032282,2.01E+02,
156,914839.7658,851750.3766,63089.38922,3633.875283,7.24E+02,
157,817200.504,790912.8273,26287.67672,3800.730356,6.76E+02,
158,814874.2431,813082.6189,1791.624218,3283.296511,5.83E+02,
159,847485.3431,844019.1415,3466.201612,1500.507026,2.77E+02,
160,945229.2365,932969.7093,12259.52723,875.2958609,1.80E+02,
161,1201800.149,1172954.585,28845.5639,106.3106535,2.78E+01,
162,1146337.695,1125072.894,21264.80055,156.4057365,3.90E+01,
163,611563.0547,572403.4644,39159.59032,4206.023084,5.60E+02,
164,717971.9215,637800.9637,80170.95783,400.996756,6.27E+01,
165,871620.1892,752523.5449,119096.6443,1920.097246,3.64E+02,
166,690194.5245,675012.2709,15182.25363,1941.237516,2.92E+02,
167,635909.5756,611072.9293,24836.64628,3317.857257,4.59E+02,
168,1032610.182,926535.1315,106075.0506,962.3629579,2.16E+02,
169,951930.7001,850222.6832,101708.0169,988.023129,2.05E+02,
170,906099.59,865039.95,41059.64003,1398.124242,2.76E+02,
171,948059.7355,914735.3845,33324.35101,2755.475013,5.69E+02,
172,822043.1095,796820.1532,25222.95626,855.8816531,1.53E+02,
173,705869.3478,693439.7548,12429.59298,4026.921145,6.19E+02,
174,1144695.495,1120177.749,24517.74631,0.00010299,2.57E-05,
175,1000624.5,837568.9292,163055.5711,416.7384014,9.08E+01,
