num_opportunities,EMP_2016,ERP_2016,,
1,637053.0488,0.00010299,1.43E-05,"175,828"
2,754544.0389,0.00010299,1.69E-05,
3,912192.6289,0.00010299,2.05E-05,
4,1001489.622,58.99529221,1.29E+01,
5,987289.8587,142.8118795,3.07E+01,
6,676491.5382,48.40819099,7.13E+00,
7,797901.672,178.3730884,3.10E+01,
8,770947.8447,62.80657353,1.05E+01,
9,609813.4915,377.5755298,5.01E+01,
10,718636.7351,92.57474947,1.45E+01,
11,675140.0701,0.00010299,1.51E-05,
12,692904.2567,24.53771006,3.70E+00,
13,839867.2293,32.26452915,5.90E+00,
14,886862.5466,14.29122678,2.76E+00,
15,729459.5359,26.29969088,4.18E+00,
16,888591.8448,0.00010299,1.99E-05,
17,779015.0654,0.00010299,1.75E-05,
18,828799.3091,56.94404446,1.03E+01,
19,832070.6053,373.1507618,6.76E+01,
20,932607.061,73.75688622,1.50E+01,
21,967780.3384,12.42697009,2.62E+00,
22,1004964.159,0.00010299,2.25E-05,
23,999994.9885,312.8469003,6.81E+01,
24,914110.7455,181.1260925,3.60E+01,
25,1019757.006,7.067088463,1.57E+00,
26,1095423.182,6.464326556,1.54E+00,
27,1002145.927,208.3514625,4.55E+01,
28,1028686.291,289.3970132,6.48E+01,
29,1089846.081,0.642453825,1.52E-01,
30,1050928.793,27.62682143,6.32E+00,
31,1064238.349,16.333015,3.78E+00,
32,1070569.951,266.4666687,6.21E+01,
33,1058122.304,0.00010299,2.37E-05,
34,1055031.072,27.43729271,6.30E+00,
35,851644.0123,13.848952,2.57E+00,
36,1065052.387,0.00010299,2.39E-05,
37,1115824.407,0.00010299,2.50E-05,
38,1093682.823,0.642446818,1.53E-01,
39,1110085.991,0.00010299,2.49E-05,
40,1143140.983,82.63511608,2.06E+01,
41,1120140.479,6.083398538,1.48E+00,
42,1103878.168,0.00010299,2.48E-05,
43,1094689.42,0.00010299,2.45E-05,
44,1093018.038,0.00010299,2.45E-05,
45,1081143.401,179.8712483,4.23E+01,
46,1142893.083,92.55002448,2.30E+01,
47,1181617.918,242.9354251,6.25E+01,
48,1178616.928,12.38459587,3.18E+00,
49,1134765.532,16.65509752,4.12E+00,
50,1141586.954,0.00010299,2.56E-05,
51,1129001.483,14.51982728,3.57E+00,
52,1145072.164,0.00010299,2.57E-05,
53,989736.8361,0.608113496,1.31E-01,
54,1119389.708,1.851264205,4.51E-01,
55,1144125.638,1.110747196,2.77E-01,
56,1151677.375,13.10067463,3.29E+00,
57,1185634.072,49.9156758,1.29E+01,
58,1169405.317,0.796847896,2.03E-01,
59,1144579.612,0.00010299,2.57E-05,
60,1077264.766,46.75710141,1.10E+01,
61,1147397.125,0.00010299,2.57E-05,
62,1136514.394,91.76152943,2.27E+01,
63,1111753.788,30.11767072,7.29E+00,
64,633036.0306,3.195967297,4.41E-01,
65,938933.3424,528.3963552,1.08E+02,
66,975253.5638,0.00010299,2.19E-05,
67,1045099.18,138.8149333,3.16E+01,
68,1095124.871,0.00010299,2.46E-05,
69,1110700.026,54.51634872,1.32E+01,
70,1085522.959,74.44696069,1.76E+01,
71,1146003.065,0.00010299,2.57E-05,
72,1119524.284,0.631209554,1.54E-01,
