num_opportunities,Base 30 Mins,Base 45 Mins,Base 60 Mins,ERP_2016,TZ16_CODE,,TZ16_NAME,Tz16_Area,SA2_Name16
1,304694.0583,637053.0488,1099931.164,0.00010299,1,YES,Barangaroo_Headland Park,64884.12626,Sydney - Haymarket - The Rocks
2,390046.5602,754544.0389,1188749.677,0.00010299,2,YES,Barangaroo_Northern Cove,74488.64591,Sydney - Haymarket - The Rocks
3,505826.8442,912192.6289,1336597.471,0.00010299,3,YES,Barangaroo_Southern Cove,30794.77399,Sydney - Haymarket - The Rocks
4,553774.2947,1001489.622,1434338.518,58.99529221,4,YES,Barangaroo_Jenkins Lane,13964.45013,Sydney - Haymarket - The Rocks
5,546404.6757,987289.8587,1425828.113,142.8118795,5,YES,Barangaroo_Ferry Terminal,33804.09123,Sydney - Haymarket - The Rocks
6,342568.3747,676491.5382,1144015.318,48.40819099,6,YES,Sydney CBD_Moores Wharf,23405.44884,Sydney - Haymarket - The Rocks
7,447450.1412,797901.672,1224440.232,178.3730884,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224,Sydney - Haymarket - The Rocks
8,395243.7645,770947.8447,1203647.425,62.80657353,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025,Sydney - Haymarket - The Rocks
9,297697.6284,609813.4915,1089044.08,377.5755298,9,YES,Walsh Bay,66847.64739,Sydney - Haymarket - The Rocks
10,379092.9802,718636.7351,1177436.651,92.57474947,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581,Sydney - Haymarket - The Rocks
11,337462.8743,675140.0701,1103143.174,0.00010299,11,YES,Sydney CBD_Dawes Point Park,41747.85415,Sydney - Haymarket - The Rocks
12,357991.3728,692904.2567,1139271.521,24.53771006,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033,Sydney - Haymarket - The Rocks
13,436547.7296,839867.2293,1260453.657,32.26452915,13,YES,Sydney CBD_Gloucester Walk,12779.90742,Sydney - Haymarket - The Rocks
14,477278.1014,886862.5466,1280429.354,14.29122678,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429,Sydney - Haymarket - The Rocks
15,380423.7929,729459.5359,1190614.932,26.29969088,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852,Sydney - Haymarket - The Rocks
16,500344.1017,888591.8448,1299324.508,0.00010299,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035,Sydney - Haymarket - The Rocks
17,405817.6646,779015.0654,1207419.095,0.00010299,17,YES,Sydney Opera House,40824.62043,Sydney - Haymarket - The Rocks
18,445777.7329,828799.3091,1258727.352,56.94404446,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639,Sydney - Haymarket - The Rocks
19,450878.0229,832070.6053,1261316.055,373.1507618,19,YES,Sydney CBD_Sydney Observatory,118316.4661,Sydney - Haymarket - The Rocks
20,502288.8218,932607.061,1315359.115,73.75688622,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912,Sydney - Haymarket - The Rocks
21,541738.3903,967780.3384,1346300.28,12.42697009,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424,Sydney - Haymarket - The Rocks
22,562585.6056,1004964.159,1408220.392,0.00010299,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661,Sydney - Haymarket - The Rocks
23,564141.6281,999994.9885,1391814.067,312.8469003,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412,Sydney - Haymarket - The Rocks
24,498597.9307,914110.7455,1321500.506,181.1260925,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352,Sydney - Haymarket - The Rocks
25,560605.3394,1019757.006,1429100.459,7.067088463,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693,Sydney - Haymarket - The Rocks
26,634663.1488,1095423.182,1509892.374,6.464326556,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604,Sydney - Haymarket - The Rocks
27,555934.6265,1002145.927,1439892.511,208.3514625,27,YES,Sydney CBD_The Rocks_Science House,7229.637676,Sydney - Haymarket - The Rocks
28,568716.8324,1028686.291,1452619.673,289.3970132,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092,Sydney - Haymarket - The Rocks
29,603337.1555,1089846.081,1497092.192,0.642453825,29,YES,Sydney CBD_Grosvenor Place,11975.35026,Sydney - Haymarket - The Rocks
30,575646.0563,1050928.793,1459115.736,27.62682143,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857,Sydney - Haymarket - The Rocks
31,586446.7496,1064238.349,1451409.389,16.333015,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832,Sydney - Haymarket - The Rocks
32,598863.0038,1070569.951,1475724.106,266.4666687,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135,Sydney - Haymarket - The Rocks
33,601496.3446,1058122.304,1434478.459,0.00010299,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091,Sydney - Haymarket - The Rocks
34,599859.0514,1055031.072,1425782.25,27.43729271,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246,Sydney - Haymarket - The Rocks
35,468243.0805,851644.0123,1265153.023,13.848952,35,YES,Royal Botanic Gardens,431650.5595,Sydney - Haymarket - The Rocks
36,601905.5411,1065052.387,1484167.261,0.00010299,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797,Sydney - Haymarket - The Rocks
37,632414.4599,1115824.407,1533520.737,0.00010299,37,YES,Sydney CBD_35 Clarence St,12826.76054,Sydney - Haymarket - The Rocks
38,631246.8685,1093682.823,1543904.906,0.642446818,38,YES,Sydney CBD_1 York St,7629.562321,Sydney - Haymarket - The Rocks
39,634500.606,1110085.991,1546883.191,0.00010299,39,YES,Sydney CBD_AAP Centre,19490.92875,Sydney - Haymarket - The Rocks
40,654875.7723,1143140.983,1548153.882,82.63511608,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988,Sydney - Haymarket - The Rocks
41,625705.835,1120140.479,1520121.632,6.083398538,41,YES,Sydney CBD_Royal Exchange Building,7146.816926,Sydney - Haymarket - The Rocks
42,623032.6353,1103878.168,1498892.792,0.00010299,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406,Sydney - Haymarket - The Rocks
43,613221.0454,1094689.42,1477008.729,0.00010299,43,YES,Sydney CBD_Department of Education Building,6398.754555,Sydney - Haymarket - The Rocks
44,623289.3715,1093018.038,1473073.023,0.00010299,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432,Sydney - Haymarket - The Rocks
45,623978.8483,1081143.401,1448935.466,179.8712483,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785,Sydney - Haymarket - The Rocks
46,683647.9528,1142893.083,1571932.289,92.55002448,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467,Sydney - Haymarket - The Rocks
47,706893.607,1181617.918,1576696.86,242.9354251,47,YES,Sydney CBD_Metcentre,13887.99946,Sydney - Haymarket - The Rocks
48,683325.0021,1178616.928,1583613.334,12.38459587,48,YES,Sydney CBD_Australia Square,13399.92826,Sydney - Haymarket - The Rocks
49,640322.7299,1134765.532,1534006.272,16.65509752,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413,Sydney - Haymarket - The Rocks
50,646642.7264,1141586.954,1537749.947,0.00010299,50,YES,Sydney CBD_25 Bligh St,16749.40533,Sydney - Haymarket - The Rocks
51,636716.8662,1129001.483,1523933.809,14.51982728,51,YES,Sydney CBD_Wentworth Hotel,12746.48332,Sydney - Haymarket - The Rocks
52,654341.8126,1145072.164,1535235.714,0.00010299,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128,Sydney - Haymarket - The Rocks
53,558219.8077,989736.8361,1433753.981,0.608113496,53,YES,Sydney CBD_King St Wharf_Northern End,29032.55945,Sydney - Haymarket - The Rocks
54,657888.6731,1119389.708,1545799.187,1.851264205,54,YES,Sydney CBD_Westpac Place,17119.20495,Sydney - Haymarket - The Rocks
55,667430.5675,1144125.638,1567041.3,1.110747196,55,YES,Sydney CBD_83 Clarence St,10947.03167,Sydney - Haymarket - The Rocks
56,703969.0635,1151677.375,1574381.389,13.10067463,56,YES,Sydney CBD_Wynyard Station_York St,12411.30385,Sydney - Haymarket - The Rocks
57,716864.3889,1185634.072,1577632.647,49.9156758,57,YES,Sydney CBD_Wynyard Station_George St,30102.61628,Sydney - Haymarket - The Rocks
58,686818.1742,1169405.317,1569909.896,0.796847896,58,YES,Sydney CBD_Hunter Connection,21693.94338,Sydney - Haymarket - The Rocks
59,656568.6933,1144579.612,1547928.307,0.00010299,59,YES,Sydney CBD_QBE Building,10366.01952,Sydney - Haymarket - The Rocks
60,659034.6986,1077264.766,1464171.109,46.75710141,60,YES,Sydney CBD_Savings Bank Building,10816.1342,Sydney - Haymarket - The Rocks
61,680583.8254,1147397.125,1531584.226,0.00010299,61,YES,Sydney CBD_Colonial Centre_Goodsell Building,9573.43,Sydney - Haymarket - The Rocks
62,655803.6002,1136514.394,1523551.211,91.76152943,62,YES,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,14067.41983,Sydney - Haymarket - The Rocks
63,665915.4592,1111753.788,1494529.036,30.11767072,63,YES,Sydney CBD_Parliament House_Sydney Hospital,68780.05289,Sydney - Haymarket - The Rocks
64,279396.8028,633036.0306,1100057.082,3.195967297,64,YES,Mrs Macquaries Chair,143531.9027,Sydney - Haymarket - The Rocks
65,532611.4329,938933.3424,1367756.414,528.3963552,65,YES,Sydney CBD_King St Wharf_Southern End,14395.44479,Sydney - Haymarket - The Rocks
66,553286.8459,975253.5638,1406559.626,0.00010299,66,YES,Sydney CBD_Slip St,16475.59194,Sydney - Haymarket - The Rocks
67,595570.2941,1045099.18,1474977.254,138.8149333,67,YES,Sydney CBD_Lumley House,19926.0001,Sydney - Haymarket - The Rocks
68,624702.1311,1095124.871,1511831.546,0.00010299,68,YES,Sydney CBD_Red Cross House,14129.87804,Sydney - Haymarket - The Rocks
69,649439.5988,1110700.026,1540817.677,54.51634872,69,YES,Sydney CBD_AWA Building,8170.834637,Sydney - Haymarket - The Rocks
70,618703.3539,1085522.959,1497735.829,74.44696069,70,YES,Barrack St and York St,7780.211811,Sydney - Haymarket - The Rocks
71,662425.1484,1146003.065,1563460.039,0.00010299,71,YES,Centenary Square,7520.760436,Sydney - Haymarket - The Rocks
72,624109.8986,1119524.284,1513477.7,0.631209554,72,YES,Centenary Square and George,10913.76096,Sydney - Haymarket - The Rocks
73,643838.2046,1140932.058,1544322.327,9.296291089,73,YES,Sydney CBD_No.1 Martin Place,24095.53391,Sydney - Haymarket - The Rocks
74,653928.6428,1127760.981,1530798.898,7.429876834,74,YES,MLC Centre Sydney,19218.99924,Sydney - Haymarket - The Rocks
75,661320.9548,1129542.238,1519406.298,0.00010299,75,YES,Martin Place and Elizabeth St,10794.63396,Sydney - Haymarket - The Rocks
76,675412.0045,1141519.424,1523316.943,2.12463254,76,YES,Martin Place and Phillip St,9440.499185,Sydney - Haymarket - The Rocks
77,696186.7067,1136004.969,1508295.597,15.48768274,77,YES,Martin Place Station,14175.2392,Sydney - Haymarket - The Rocks
78,559522.715,994268.0513,1407068.567,0.00010299,78,YES,Star City_Pyrmont Bay Ferry Wharf,22341.37156,Sydney - Haymarket - The Rocks
79,539763.7072,972729.844,1384357.105,22.0473012,79,YES,Sydney Aquarium,42496.50077,Sydney - Haymarket - The Rocks
80,574092.8542,1013672.069,1412382.041,845.0590729,80,YES,Allianz Centre,22366.29744,Sydney - Haymarket - The Rocks
81,601412.6483,1047764.909,1457872.292,102.2352226,81,YES,King St and Clarence St,15089.06279,Sydney - Haymarket - The Rocks
82,628226.8848,1084681.236,1514196.944,11.77703801,82,YES,Westpac Building,16846.33276,Sydney - Haymarket - The Rocks
83,622301.3076,1091641.63,1493463.81,0.631211547,83,YES,King St and George St,17061.28475,Sydney - Haymarket - The Rocks
84,635368.8418,1119773.269,1522926.388,23.94850525,84,YES,Sydney CBD_Strand Arcade,16576.71142,Sydney - Haymarket - The Rocks
85,643156.7817,1110231.675,1501429.264,0.00010299,85,YES,Sydney CBD_Centrepoint,15275.41577,Sydney - Haymarket - The Rocks
86,664435.1375,1086262.635,1481142.299,1.586547553,86,YES,David Jones_Elizabeth Street,12122.55966,Sydney - Haymarket - The Rocks
87,681737.1961,1109749.132,1487923.725,0.00010299,87,YES,Law Courts Building Sydney,11853.1391,Sydney - Haymarket - The Rocks
88,540322.3715,948476.539,1376484.825,440.0987338,88,YES,"Darling Harbour_Novotel, Grand Mercure, Ibis",39939.40502,Sydney - Haymarket - The Rocks
89,500885.0621,935810.1077,1341063.328,6.419590335,89,YES,Harbourside_Darling Harbour,93823.6793,Sydney - Haymarket - The Rocks
