num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,637053.0488,637053.0488,-4.534E-05,0.00010299,1.42855E-05,"181,016"
2,761578.2376,754544.0389,7034.198669,0.00010299,1.70779E-05,
3,921516.4826,912192.6289,9323.853727,0.00010299,2.06644E-05,
4,1014928.798,1001489.622,13439.17632,58.99529221,13.03701658,
5,1000729.035,987289.8587,13439.17651,142.8118795,31.11760195,
6,677322.3718,676491.5382,830.8335662,48.40819099,7.139035795,
7,807963.2674,797901.672,10061.59543,178.3730884,31.37951554,
8,777982.0434,770947.8447,7034.198748,62.80657353,10.63897919,
9,616753.877,609813.4915,6940.385472,377.5755298,50.70385902,
10,725823.9507,718636.7351,7187.215551,92.57474947,14.63016169,
11,675140.0701,675140.0701,4.606E-05,0.00010299,1.51396E-05,
12,693735.0903,692904.2567,830.8335806,24.53771006,3.7064059,
13,848720.4744,839867.2293,8853.245083,32.26452915,5.962320211,
14,895555.0994,886862.5466,8692.552778,14.29122678,2.786680045,
15,736146.5519,729459.5359,6687.016015,26.29969088,4.215413789,
16,897752.2501,888591.8448,9160.40535,0.00010299,2.01315E-05,
17,787970.9362,779015.0654,8955.870767,0.00010299,1.76698E-05,
18,838503.4716,828799.3091,9704.162499,56.94404446,10.39629179,
19,841774.7677,832070.6053,9704.162406,373.1507618,68.39203429,
20,941372.512,932607.061,8765.450956,73.75688622,15.11782704,
21,975432.7591,967780.3384,7652.420715,12.42697009,2.639294639,
22,1015731.549,1004964.159,10767.38965,0.00010299,2.27771E-05,
23,1009170.392,999994.9885,9175.403268,312.8469003,68.74191748,
24,923896.9955,914110.7455,9786.250049,181.1260925,36.43592995,
25,1028697.56,1019757.006,8940.554039,7.067088463,1.58290016,
26,1103650.44,1095423.182,8227.257816,6.464326556,1.5533886,
27,1009728.922,1002145.927,7582.994539,208.3514625,45.80644995,
28,1036053.376,1028686.291,7367.084741,289.3970132,65.28320393,
29,1101415.193,1089846.081,11569.11207,0.642453825,0.154070066,
30,1059531.872,1050928.793,8603.078696,27.62682143,6.373386138,
31,1075698.802,1064238.349,11460.45298,16.333015,3.825448252,
32,1081852.327,1070569.951,11282.37622,266.4666687,62.7676923,
33,1067452.391,1058122.304,9330.08688,0.00010299,2.3937E-05,
34,1064361.159,1055031.072,9330.086807,27.43729271,6.358512945,
35,866440.7484,851644.0123,14796.73611,13.848952,2.61264898,
36,1077584.588,1065052.387,12532.20073,0.00010299,2.41642E-05,
37,1128207.995,1115824.407,12383.58769,0.00010299,2.52994E-05,
38,1106971.775,1093682.823,13288.95214,0.642446818,0.154845652,
39,1120413.804,1110085.991,10327.81272,0.00010299,2.51246E-05,
40,1155068.697,1143140.983,11927.71392,82.63511608,20.78249772,
41,1132068.193,1120140.479,11927.71404,6.083398538,1.499491966,
42,1117242.579,1103878.168,13364.41142,0.00010299,2.50535E-05,
43,1102728.022,1094689.42,8038.602031,0.00010299,2.4728E-05,
44,1103768.283,1093018.038,10750.24522,0.00010299,2.47513E-05,
45,1091696.63,1081143.401,10553.22919,179.8712483,42.75520608,
46,1154172.718,1142893.083,11279.6347,92.55002448,23.25801401,
47,1192150.865,1181617.918,10532.94674,242.9354251,63.05903966,
48,1188747.973,1178616.928,10131.04495,12.38459587,3.205508364,
49,1147683.444,1134765.532,12917.91213,16.65509752,4.161928188,
50,1154257.82,1141586.954,12670.86612,0.00010299,2.58835E-05,
51,1141521.876,1129001.483,12520.39321,14.51982728,3.608867812,
52,1156446.112,1145072.164,11373.94771,0.00010299,2.59326E-05,
53,1003176.013,989736.8361,13439.17645,0.608113496,0.132827215,
54,1131911.438,1119389.708,12521.7301,1.851264205,0.456253426,
55,1155405.273,1144125.638,11279.63511,1.110747196,0.279431175,
56,1163011.664,1151677.375,11334.28865,13.10067463,3.317439539,
57,1197044.713,1185634.072,11410.64134,49.9156758,13.00985973,
58,1181389.575,1169405.317,11984.25835,0.796847896,0.204971675,
59,1154334.677,1144579.612,9755.065244,0.00010299,2.58852E-05,
60,1086159.511,1077264.766,8894.745181,46.75710141,11.05774258,
61,1153272.015,1147397.125,5874.889555,0.00010299,2.58614E-05,
62,1147572.633,1136514.394,11058.23896,91.76152943,22.92799677,
63,1122495.471,1111753.788,10741.68295,30.11767072,7.360905866,
64,642740.193,633036.0306,9704.162448,3.195967297,0.447263102,
65,953525.1601,938933.3424,14591.81773,528.3963552,109.7026847,
66,989573.943,975253.5638,14320.37916,0.00010299,2.21906E-05,
67,1055139.353,1045099.18,10040.17311,138.8149333,31.89123189,
68,1106585.324,1095124.871,11460.45296,0.00010299,2.48145E-05,
69,1123760.38,1110700.026,13060.35428,54.51634872,13.33907649,
70,1097701.324,1085522.959,12178.36542,74.44696069,17.79329775,
71,1157987.323,1146003.065,11984.25794,0.00010299,2.59671E-05,
72,1129655.329,1119524.284,10131.04458,0.631209554,0.155254717,
73,1152739.66,1140932.058,11807.60189,9.296291089,2.33327665,
74,1138137.587,1127760.981,10376.60578,7.429876834,1.841202968,
75,1139143.493,1129542.238,9601.254678,0.00010299,2.55446E-05,
76,1145667.337,1141519.424,4147.913433,2.12463254,0.529989964,
77,1140152.882,1136004.969,4147.913497,15.48768274,3.844809432,
78,1003394.584,994268.0513,9126.532325,0.00010299,2.25005E-05,
79,986637.6749,972729.844,13907.83087,22.0473012,4.736291416,
80,1025415.969,1013672.069,11743.90004,845.0590729,188.6741626,
81,1060825.263,1047764.909,13060.354,102.2352226,23.61400692,
82,1094548.963,1084681.236,9867.726839,11.77703801,2.806703629,
83,1103569.344,1091641.63,11927.71416,0.631211547,0.151670056,
84,1127486.321,1119773.269,7713.051996,23.94850525,5.879155935,
85,1117944.727,1110231.675,7713.051999,0.00010299,2.50692E-05,
86,1094415.267,1086262.635,8152.631765,1.586547553,0.378059819,
87,1114595.631,1109749.132,4846.498971,0.00010299,2.49941E-05,
88,957011.9941,948476.539,8535.455093,440.0987338,91.70495149,
89,949881.1515,935810.1077,14071.04378,6.419590335,1.327705854,
90,988515.9512,978755.5809,9760.370336,6.116354161,1.316441583,
91,956065.6285,941994.5848,14071.04373,0.00010299,2.14392E-05,
92,1078466.049,1066481.791,11984.25829,333.1503288,78.22976213,
93,1121380.149,1110217.61,11162.5393,230.0699412,56.1743468,
94,1131494.169,1127144.403,4349.76643,55.34771426,13.63569556,
95,1162391.209,1158650.752,3740.456562,6.11624361,1.547969421,
96,1131032.205,1127704.296,3327.908702,45.55049807,11.21743048,
97,1119392.621,1110761.828,8630.793242,15.50459424,3.778923764,
98,1139240.299,1135278.43,3961.869144,53.49065266,13.26839896,
99,983785.2244,975062.1668,8723.057557,25.07363012,5.37084719,
100,947255.3039,936152.218,11103.08587,17.63874771,3.637978095,
101,1058658.559,1046674.302,11984.25744,135.3819332,31.20627348,
102,1104265.088,1093102.549,11162.53908,287.0059773,69.00643145,
103,1188998.134,1185230.487,3767.647279,40.31551903,10.43707283,
104,1188930.884,1185163.237,3767.646943,51.9605084,13.45102209,
105,1205811.853,1201405.094,4406.759438,765.564986,200.9957603,
106,1136256.581,1132742.759,3513.822165,0.00010299,2.54798E-05,
107,1074165.081,1070963.461,3201.620435,18.86468334,4.412104963,
108,863812.0671,854858.904,8953.163086,3.8538967,0.724844123,
109,1029179.371,1019048.326,10131.0445,1615.752238,362.0688179,
110,1090231.684,1079069.145,11162.53868,2041.139664,484.525688,
111,1149860.641,1147428.45,2432.190682,819.0363561,205.0565632,
112,1180917.671,1176071.172,4846.499003,0.00010299,2.64813E-05,
113,1125361.722,1121621.266,3740.456376,725.5933355,177.7913837,
114,1095897.147,1090699.76,5197.387252,97.40837708,23.24295759,
115,1066457.504,1062495.635,3961.868777,543.2621322,126.1473913,
116,1085695.303,1082534.106,3161.197351,191.8006225,45.34018179,
117,982383.0682,977111.7454,5271.322819,1096.877077,234.6195053,
118,1039584.761,1036030.019,3554.742495,1537.346575,347.9821565,
119,1040942.228,1038420.978,2521.249747,1733.533719,392.9019697,
120,1017036.457,1015359.84,1676.61688,402.6870641,89.17220078,
121,1061582.182,1059976.821,1605.361368,0.00010299,2.38053E-05,
122,1033024.728,1031419.366,1605.361593,725.7637604,163.241765,
123,980185.5021,978561.1529,1624.349244,267.1532931,57.01565163,
124,960189.3779,960189.3779,2.23221E-05,616.9085712,128.9742429,
125,941732.6137,933838.6197,7893.99399,32.23551107,6.609786879,
126,947587.9514,942037.4607,5550.490652,124.2987941,25.64553308,
127,1017772.755,1016686.696,1086.059467,26.36346757,5.842229845,
128,1035667.834,1033739.204,1928.629745,2.925833985,0.65977439,
129,1060566.514,1057052.691,3513.822643,47.58518228,10.98841197,
130,1035656.434,1034202.718,1453.716466,988.8130299,222.9744873,
131,994005.8034,993193.0193,812.7840576,3289.806615,712.0075112,
132,991180.004,990589.4463,590.5577396,29.92842902,6.458947262,
133,1042699.96,1041246.244,1453.71596,8.728155037,1.981559396,
134,1090365.856,1089775.298,590.5581354,38.0301172,9.028699379,
135,1007182.521,1006591.963,590.5579347,981.5520766,215.25181,
136,871718.9421,868819.541,2899.401111,681.8316237,129.4132992,
137,1007418.746,1006828.188,590.557816,0.405635506,0.088975672,
138,1067948.86,1065427.61,2521.250156,10.63032909,2.471851929,
139,1050462.999,1049835.898,627.1006574,0.00010299,2.3556E-05,
140,1013255.91,1012511.968,743.9421176,0.00010299,2.27216E-05,
141,990291.7691,989478.985,812.7840712,15.2984667,3.298650934,
142,1026629.772,1026039.214,590.5580273,365.1748832,81.62816604,
143,1079910.172,1077478.195,2431.976844,0.00010299,2.42163E-05,
144,987122.3234,985828.5724,1293.751006,1119.399227,240.592044,
145,1092666.158,1091212.442,1453.716365,56.6822071,13.48526641,
146,1207541.331,1204923.44,2617.890799,140.1721887,36.85438299,
147,436501.7124,436501.7124,-2.916E-05,0.00010299,9.78828E-06,
148,481452.8722,477526.9026,3925.969579,0.00010299,1.07963E-05,
149,963702.4961,949631.4523,14071.04378,802.8836932,168.4693526,
150,930901.2246,922666.4151,8234.8095,0.00010299,2.08749E-05,
151,802353.8011,801522.9676,830.8335408,401.8165556,70.19707669,
152,738364.025,731423.6395,6940.385485,3737.743639,600.9043187,
153,898126.9744,891439.9584,6687.015991,1510.146795,295.3127454,
154,1008960.011,1000663.858,8296.153129,1559.560076,342.6110363,
155,913699.3521,905013.2495,8686.102562,943.8032282,187.7630196,
156,858784.5753,851750.3766,7034.198685,3633.875283,679.4844761,
157,798430.2225,790912.8273,7517.395213,3800.730356,660.7380433,
158,814260.6352,813082.6189,1178.016311,3283.296511,582.1016502,
159,847101.687,844019.1415,3082.545464,1500.507026,276.7571601,
160,940352.8808,932969.7093,7383.171468,875.2958609,179.2136231,
161,1184370.816,1172954.585,11416.23089,106.3106535,27.41509599,
162,1129469.27,1125072.894,4396.376405,156.4057365,38.46381727,
163,582605.2071,572403.4644,10201.74272,4206.023084,533.5453011,
164,659634.5901,637800.9637,21833.62638,400.996756,57.59298206,
165,767350.1239,752523.5449,14826.57895,1920.097246,320.8057013,
166,702185.3272,675012.2709,27173.05629,1941.237516,296.7944064,
167,633940.2566,611072.9293,22867.3273,3317.857257,457.9639732,
168,935718.2666,926535.1315,9183.135059,962.3629579,196.0691615,
169,860965.034,850222.6832,10742.35083,988.023129,185.2157484,
170,889464.1208,865039.95,24424.17085,1398.124242,270.7693397,
171,931853.2381,914735.3845,17117.85358,2755.475013,559.0739817,
172,837045.7844,796820.1532,40225.63116,855.8816531,155.9869319,
173,720916.243,693439.7548,27476.48821,4026.921145,632.0962615,
174,1129190.975,1120177.749,9013.226378,0.00010299,2.53214E-05,
175,839898.8287,837568.9292,2329.899464,416.7384014,76.21067052,
176,977547.2575,969485.7691,8061.488397,396.9347117,84.48548988,
177,957812.8245,957222.2668,590.5577479,431.3345821,89.95394456,
178,919508.2638,917518.4873,1989.776485,1694.388197,339.2296778,
179,883541.0818,861392.5608,22148.52105,2088.573095,401.7923951,
180,762942.1514,750599.9176,12342.23385,3215.932292,534.2244885,
181,931861.7798,931861.7798,-4.99981E-05,154.03312,31.25294139,
182,886006.7592,885604.8568,401.9024048,1785.965084,344.5365375,
183,812600.1458,810270.2464,2329.899438,559.8478427,99.05403939,
184,886144.1679,885742.2654,401.9024826,733.0218813,141.43165,
185,838850.5736,838850.5736,2.972E-05,765.2307928,139.7662552,
186,715590.8891,715590.8891,8.64198E-06,1401.717228,218.3989265,
187,954648.1651,944944.0027,9704.162405,463.5074394,96.3441472,
188,939626.6177,939626.6177,-1.01479E-05,2082.78879,426.1140245,
189,956761.3842,956348.8359,412.5483195,335.5002462,69.89108254,
190,897502.3225,896551.1505,951.1720001,18.65157149,3.644821766,
191,876823.6036,876823.6036,-1.12801E-05,276.4288708,52.77410996,
192,1009465.42,1009040.707,424.7129583,779.0516504,171.231233,
193,943176.1837,942763.6354,412.548265,1397.851554,287.0642862,
194,1134694.537,1133185.816,1508.721042,0.058064883,0.01434557,
195,1005071.521,1004056.251,1015.270118,768.4921023,168.1750872,
196,856049.219,855608.0319,441.1871342,2570.008504,479.0254433,
197,1148900.506,1145572.598,3327.907805,596.508066,149.2189662,
198,995889.7089,994672.0501,1217.658847,1190.290257,258.1008347,
199,855397.5355,855397.5355,-2.59799E-05,2572.946921,479.2080525,
200,1024402.567,1023370.822,1031.745059,19.59265067,4.370077501,
201,980199.0528,979167.3079,1031.744867,3319.60921,708.4782547,
202,861345.5745,860464.3718,881.2026566,1818.221543,340.9961781,
205,952089.3888,944485.761,7603.6278,1176.268199,243.8424798,
206,871273.7853,867482.1437,3791.641557,3788.913002,718.7776531,
207,836342.4023,829655.3863,6687.01603,3293.28886,599.7071499,
208,1087765.989,1086530.559,1235.430446,0.000106658,2.52612E-05,
209,903142.9514,899219.82,3923.131446,888.3124827,174.6817553,
210,1068172.548,1058987.725,9184.822582,1051.113321,244.4647455,
211,1062746.382,1053177.377,9569.005148,880.1982681,203.673924,
212,935551.213,928431.3596,7119.853411,2241.42511,456.5802113,
213,868297.5659,866398.3033,1899.26258,732.4879464,138.4823267,
214,799732.4618,798583.8383,1148.623535,1761.467124,306.7217351,
215,1141826.4,1140160.429,1665.971416,1537.885857,382.339765,
216,899364.9362,891529.7511,7835.185127,178.2657128,34.90832875,
217,1024497.418,1016032.284,8465.134325,422.0436021,94.14417956,
218,916129.5711,912218.9236,3910.647508,1438.397717,286.9202314,
219,890127.4448,887833.2277,2294.217132,1533.723374,297.251814,
220,806957.5208,806126.6872,830.8336056,880.3732715,154.6830789,
221,722104.7971,721273.9635,830.8335779,1456.997777,229.0785391,
222,917308.6951,913641.9456,3666.749524,0.000106658,2.13027E-05,
223,686600.6665,679660.281,6940.385534,524.8379544,78.46116286,
224,1013259.822,1004836.806,8423.016315,0.000106658,2.3531E-05,
225,733606.81,711902.1268,21704.6832,0.000106658,1.70366E-05,
226,541348.4763,541348.4763,4.2722E-05,1780.474452,209.8640022,
227,642340.6742,642340.6742,2.5412E-05,3008.323102,420.7413419,
228,658704.7339,658704.7339,-2.3898E-05,2692.316866,386.1377326,
229,611497.5891,611497.5891,-2.08879E-05,3334.655024,443.9877082,
230,561528.5035,561528.5035,-2.0618E-05,3590.056708,438.933169,
231,699212.4504,699212.4504,3.60201E-06,2661.349366,405.1691109,
232,714453.2978,714453.2978,-3.63479E-05,1745.419444,271.5181967,
233,719937.4398,712997.0543,6940.385484,2017.405038,316.2373383,
236,686204.7391,686204.7391,-3.7938E-05,1422.957496,212.6037529,
237,585019.6773,585019.6773,-2.9398E-05,1643.675357,209.3687227,
238,627293.0698,627293.0698,3.81019E-05,342.8875586,46.83251734,
239,851782.8389,844420.6,7362.238911,625.9179253,116.0837852,
240,1040442.535,1031867.723,8574.811953,1301.419214,294.8224823,
241,662670.6454,656601.3791,6069.266305,1628.008541,234.8982047,
242,754482.2101,754482.2101,-3.3798E-05,2617.974598,430.0705635,
243,775037.1278,768350.1118,6687.01598,1173.830968,198.0858057,
