num_opportunities,EMP_2016,,,ERP_2016,,
1,1104755.402194682,1099931.164306382,4824.237888,0.00010299,7.0992E-05,1272698.565
2,1193503.855636812,1188749.676568212,4754.179069,0.00010299,7.6695E-05,
3,1338820.125538492,1336597.471175692,2222.654363,0.00010299,8.60331E-05,
4,1436561.1724254112,1434338.518062611,2222.654363,58.99529221,52.87979151,
5,1428050.767627224,1425828.113264424,2222.654363,142.8118795,127.2495442,
6,1149049.709746612,1144015.318065412,5034.391681,48.40819099,34.70610883,
7,1227414.128860062,1224440.232255362,2973.896605,178.3730884,136.605663,
8,1208000.0278027642,1203647.425471564,4352.602331,62.80657353,47.33913287,
9,1093644.065378682,1089044.080309682,4599.985069,377.5755298,257.6487825,
10,1181668.8941032642,1177436.6511972642,4232.242906,92.57474947,68.25533497,
11,1106626.490124132,1103143.174285132,3483.315839,0.00010299,7.11122E-05,
12,1144095.758978832,1139271.521090532,4824.237888,24.53771006,17.51639216,
13,1264207.3671918141,1260453.6572510141,3753.709941,32.26452915,25.45024116,
14,1282652.0088322242,1280429.354469424,2222.654363,14.29122678,11.43738157,
15,1194613.3521003642,1190614.931894564,3998.420206,26.29969088,19.603168,
16,1300611.180109814,1299324.508467714,1286.671642,0.00010299,8.35778E-05,
17,1209641.749031264,1207419.094668464,2222.654363,0.00010299,7.7732E-05,
18,1263056.620754782,1258727.352335582,4329.268419,56.94404446,44.87654183,
19,1266581.306240382,1261316.055100482,5265.25114,373.1507618,294.8938123,
20,1317581.7695375842,1315359.115174784,2222.654363,73.75688622,60.63570125,
21,1346985.891121254,1346300.2797801541,685.6113411,12.42697009,10.44423303,
22,1408220.392161024,1408220.392161024,0,0.00010299,9.04928E-05,
23,1391814.0667166142,1391814.0667166142,0,312.8469003,271.6822913,
24,1323723.160206214,1321500.505843414,2222.654363,181.1260925,149.5982244,
25,1429786.0707836042,1429100.459442504,685.6113411,7.067088463,6.304633466,
26,1509892.3742860912,1509892.3742860912,0,6.464326556,6.090003365,
27,1442352.293225924,1439892.511148324,2459.782078,208.3514625,187.5064261,
28,1454143.4720039242,1452619.672647024,1523.799357,289.3970132,262.5726916,
29,1497092.1921843812,1497092.1921843812,0,0.642453825,0.600120853,
30,1459447.164883431,1459115.7356677311,331.4292157,27.62682143,25.15750405,
31,1451409.389030691,1451409.389030691,0,16.333015,14.79123859,
32,1475724.105996641,1475724.105996641,0,266.4666687,245.3557937,
33,1434478.4586625812,1434478.4586625812,0,0.00010299,9.21801E-05,
34,1425782.250191061,1425782.250191061,0,27.43729271,24.4085912,
35,1266984.7707995642,1265153.0229448641,1831.747855,13.848952,10.94804461,
36,1485103.2442096162,1484167.2614889161,935.9827207,0.00010299,9.54333E-05,
37,1534456.7194033961,1533520.736682696,935.9827207,0.00010299,9.86048E-05,
38,1543904.906033766,1543904.906033766,0,0.642446818,0.618879338,
39,1546883.191499436,1546883.191499436,0,0.00010299,9.94033E-05,
40,1548153.8820412161,1548153.8820412161,0,82.63511608,79.82281164,
41,1520121.631801991,1520121.631801991,0,6.083398538,5.769960788,
42,1498892.7921234511,1498892.7921234511,0,0.00010299,9.63194E-05,
43,1477008.7287158312,1477008.7287158312,0,0.00010299,9.49131E-05,
44,1473073.022826466,1473073.022826466,0,0.00010299,9.46602E-05,
45,1448935.4662465712,1448935.4662465712,0,179.8712483,162.6144165,
46,1571932.288531786,1571932.288531786,0,92.55002448,90.77340492,
47,1576696.859530036,1576696.859530036,0,242.9354251,238.9941688,
48,1583613.333609976,1583613.333609976,0,12.38459587,12.23712067,
49,1534006.2722674562,1534006.2722674562,0,16.65509752,15.9412572,
50,1537749.947391336,1537749.947391336,0,0.00010299,9.88164E-05,
51,1523933.8090226362,1523933.8090226362,0,14.51982728,13.80625237,
52,1535235.713773756,1535235.713773756,0,0.00010299,9.86548E-05,
53,1435976.6350453212,1433753.9806825211,2222.654363,0.608113496,0.544854157,
54,1546735.169719846,1545799.1869991461,935.9827207,1.851264205,1.786621756,
55,1567041.299820336,1567041.299820336,0,1.110747196,1.08603525,
56,1574381.388965116,1574381.388965116,0,13.10067463,12.86920922,
57,1577632.6469812011,1577632.6469812011,0,49.9156758,49.13501508,
58,1569909.896369196,1569909.896369196,0,0.796847896,0.780545835,
59,1547928.307374906,1547928.307374906,0,0.00010299,9.94705E-05,
60,1465107.091971609,1464171.109250909,935.9827207,46.75710141,42.74302005,
61,1531584.226182836,1531584.226182836,0,0.00010299,9.84202E-05,
62,1523551.210618366,1523551.210618366,0,91.76152943,87.2300163,
63,1494529.036057586,1494529.036057586,0,30.11767072,28.08497175,
64,1104386.3507784521,1100057.082359252,4329.268419,3.195967297,2.202275314,
65,1369979.068446552,1367756.414083752,2222.654363,528.3963552,451.670783,
66,1409019.4079847941,1406559.625907194,2459.782078,0.00010299,9.05441E-05,
67,1475913.2363626112,1474977.253641911,935.9827207,138.8149333,127.8336737,
68,1512767.5285219161,1511831.545801216,935.9827207,0.00010299,9.7211E-05,
69,1540817.6770652412,1540817.6770652412,0,54.51634872,52.41146107,
70,1498671.8118913162,1497735.829170616,935.9827207,74.44696069,69.61482964,
71,1563460.038919276,1563460.038919276,0,0.00010299,0.000100469,
72,1513477.699758561,1513477.699758561,0,0.631209554,0.596070795,
73,1544322.326902146,1544322.326902146,0,9.296291089,8.957687713,
74,1530798.898443616,1530798.898443616,0,7.429876834,7.096562124,
75,1519406.297806336,1519406.297806336,0,0.00010299,9.76376E-05,
76,1523316.9429653361,1523316.9429653361,0,2.12463254,2.019400013,
77,1508295.5965594861,1508295.5965594861,0,15.48768274,14.57542276,
78,1409548.413376632,1407068.566929332,2479.846447,0.00010299,9.05781E-05,
79,1386816.887478542,1384357.105400942,2459.782078,22.0473012,19.07755922,
80,1413318.023279452,1412382.040558752,935.9827207,845.0590729,745.2040726,
81,1458808.274497419,1457872.291776719,935.9827207,102.2352226,93.05656523,
82,1514196.9443624811,1514196.9443624811,0,11.77703801,11.12670812,
83,1494399.793127851,1493463.810407151,935.9827207,0.631211547,0.588558976,
84,1522926.3882707611,1522926.3882707611,0,23.94850525,22.75650577,
85,1501429.2636698212,1501429.2636698212,0,0.00010299,9.64824E-05,
86,1481142.298546066,1481142.298546066,0,1.586547553,1.466216599,
87,1487923.724999966,1487923.724999966,0,0.00010299,9.56145E-05,
88,1379458.721463752,1376484.824859052,2973.896605,440.0987338,378.7974806,
89,1343285.982443842,1341063.328081042,2222.654363,6.419590335,5.380517532,
90,1358507.085512832,1357029.519783532,1477.565729,6.116354161,5.184451144,
91,1338676.7793818421,1336454.125019042,2222.654363,0.00010299,8.60239E-05,
92,1439412.078477312,1439412.078477312,0,333.1503288,299.2083039,
93,1503735.467807474,1503735.467807474,0,230.0699412,215.8636809,
94,1508664.743102434,1508664.743102434,0,55.34771426,52.10035528,
95,1536501.467233771,1536501.467233771,0,6.11624361,5.86362257,
96,1500351.816767631,1500351.816767631,0,45.55049807,42.6416982,
97,1479301.5335449912,1479301.5335449912,0,15.50459424,14.3108479,
98,1479775.0849797912,1479775.0849797912,0,53.49065266,49.38804796,
99,1368198.2022344042,1368198.2022344042,0,25.07363012,21.40496312,
100,1327589.4367882141,1327589.4367882141,0,17.63874771,14.61099493,
101,1429219.130752072,1429219.130752072,0,135.3819332,120.7279387,
102,1464864.883304564,1464864.883304564,0,287.0059773,262.3232372,
103,1552085.4285362312,1552085.4285362312,0,40.31551903,39.04236619,
104,1567817.2262446212,1567817.2262446212,0,51.9605084,50.82964507,
105,1543798.992658131,1543798.992658131,0,765.564986,737.4304541,
106,1490605.0667522012,1490605.0667522012,0,0.00010299,9.57869E-05,
107,1450881.4029672411,1450881.4029672411,0,18.86468334,17.07771207,
108,1279013.131832392,1276790.4774695921,2222.654363,3.8538967,3.075553787,
109,1396045.555025382,1396045.555025382,0,1615.752238,1407.416408,
110,1462937.9731509641,1462937.9731509641,0,2041.139664,1863.146,
111,1525919.523468831,1525919.523468831,0,819.0363561,779.7996989,
112,1547424.128707631,1547424.128707631,0,0.00010299,9.94381E-05,
113,1493192.194242334,1493192.194242334,0,725.5933355,676.0164274,
114,1462140.985393364,1462140.985393364,0,97.40837708,88.86562755,
115,1441018.446336054,1441018.446336054,0,543.2621322,488.4580007,
