num_opportunities,EMP_2016,,,ERP_2016,,
1,1111625.755,1099931.164,11694.59058,0.00010299,2.49E-05,"448,502"
2,1197110.204,1188749.677,8360.527733,0.00010299,2.68E-05,
3,1338085.417,1336597.471,1487.94581,0.00010299,3.00E-05,
4,1435239.435,1434338.518,900.9168221,58.99529221,18.43601279,
5,1426348.764,1425828.113,520.6506148,142.8118795,44.35221874,
6,1152217.988,1144015.318,8202.670018,48.40819099,12.14447625,
7,1225894.771,1224440.232,1454.539044,178.3730884,47.61105557,
8,1206105.499,1203647.425,2458.073334,62.80657353,16.49360858,
9,1099437.432,1089044.08,10393.35169,377.5755298,90.38568322,
10,1179140.197,1177436.651,1703.545927,92.57474947,23.76748759,
11,1112082.276,1103143.174,8939.102102,0.00010299,2.49E-05,
12,1145742.496,1139271.521,6470.974791,24.53771006,6.121337678,
13,1260636.942,1260453.657,183.2844966,32.26452915,8.85606197,
14,1280612.639,1280429.354,183.2844966,14.29122678,3.984855526,
15,1192654.767,1190614.932,2039.835304,26.29969088,6.829527813,
16,1299744.921,1299324.508,420.4122114,0.00010299,2.91E-05,
17,1207602.379,1207419.095,183.2844966,0.00010299,2.71E-05,
18,1260319.141,1258727.352,1591.788537,56.94404446,15.62622695,
19,1262907.844,1261316.055,1591.788537,373.1507618,102.6080133,
20,1315715.61,1315359.115,356.495187,73.75688622,21.12953244,
21,1346720.692,1346300.28,420.4122114,12.42697009,3.643913606,
22,1408998.335,1408220.392,777.9426312,0.00010299,3.16E-05,
23,1392125.551,1391814.067,311.4839771,312.8469003,94.82777192,
24,1321920.918,1321500.506,420.4122114,181.1260925,52.13288733,
25,1429664.01,1429100.459,563.5507039,7.067088463,2.199884085,
26,1509892.374,1509892.374,0,6.464326556,2.125174346,
27,1440793.428,1439892.511,900.9168221,208.3514625,65.36173288,
28,1453520.589,1452619.673,900.9168221,289.3970132,91.58840971,
29,1497870.135,1497092.192,777.9426312,0.642453825,0.209527662,
30,1459679.286,1459115.736,563.5507039,27.62682143,8.780386865,
31,1453078.605,1451409.389,1669.215925,16.333015,5.167503207,
32,1476675.537,1475724.106,951.4311801,266.4666687,85.67483141,
33,1434478.459,1434478.459,0,0.00010299,3.22E-05,
34,1425782.25,1425782.25,0,27.43729271,8.517649127,
35,1265816.812,1265153.023,663.7891073,13.848952,3.816919979,
36,1484945.204,1484167.261,777.9426312,0.00010299,3.33E-05,
37,1535570.219,1533520.737,2049.482133,0.00010299,3.44E-05,
38,1545574.122,1543904.906,1669.215925,0.642446818,0.216198315,
39,1548369.123,1546883.191,1485.931429,0.00010299,3.47E-05,
40,1550106.55,1548153.882,1952.667941,82.63511608,27.89019036,
41,1522074.3,1520121.632,1952.667941,6.083398538,2.016078358,
42,1500942.552,1498892.792,2049.759991,0.00010299,3.37E-05,
43,1477105.821,1477008.729,97.09204977,0.00010299,3.31E-05,
44,1473073.023,1473073.023,0,0.00010299,3.30E-05,
45,1448935.466,1448935.466,0,179.8712483,56.74610761,
46,1573982.049,1571932.289,2049.759991,92.55002448,31.71769353,
47,1577433.899,1576696.86,737.0392528,242.9354251,83.43865674,
48,1585663.094,1583613.334,2049.759991,12.38459587,4.2758065,
49,1536056.032,1534006.272,2049.759991,16.65509752,5.570312033,
50,1539289.818,1537749.947,1539.870217,0.00010299,3.45E-05,
51,1525473.679,1523933.809,1539.870217,14.51982728,4.822713408,
52,1537995.646,1535235.714,2759.932588,0.00010299,3.45E-05,
53,1434274.631,1433753.981,520.6506148,0.608113496,0.189907556,
54,1548108.35,1545799.187,2309.163128,1.851264205,0.624015019,
55,1569091.06,1567041.3,2049.759991,1.110747196,0.379479797,
56,1575323.517,1574381.389,942.1285291,13.10067463,4.493540939,
57,1577729.739,1577632.647,97.09204977,49.9156758,17.14726473,
58,1569909.896,1569909.896,0,0.796847896,0.272380143,
59,1549148.37,1547928.307,1220.062371,0.00010299,3.47E-05,
60,1466186.492,1464171.109,2015.382338,46.75710141,14.92664073,
61,1533021.748,1531584.226,1437.521605,0.00010299,3.44E-05,
62,1524771.273,1523551.211,1220.062371,91.76152943,30.4642598,
63,1495749.098,1494529.036,1220.062371,30.11767072,9.808563684,
64,1108250.026,1100057.082,8192.943962,3.195967297,0.771197055,
65,1369685.547,1367756.414,1929.132987,528.3963552,157.5817692,
66,1407080.277,1406559.626,520.6506148,0.00010299,3.16E-05,
67,1475540.804,1474977.254,563.5507039,138.8149333,44.59772429,
68,1513500.762,1511831.546,1669.215925,0.00010299,3.39E-05,
69,1542867.437,1540817.677,2049.759991,54.51634872,18.31389246,
70,1499688.497,1497735.829,1952.667941,74.44696069,24.30934842,
71,1563557.131,1563460.039,97.09204977,0.00010299,3.50618E-05,
72,1513574.792,1513477.7,97.09204977,0.631209554,0.208018871,
73,1544322.327,1544322.327,0,9.296291089,3.125884665,
74,1532018.961,1530798.898,1220.062371,7.429876834,2.478397946,
75,1520370.715,1519406.298,964.4175627,0.00010299,3.41E-05,
76,1523316.943,1523316.943,0,2.12463254,0.704692074,
77,1509515.659,1508295.597,1220.062371,15.48768274,5.090370013,
78,1407745.768,1407068.567,677.2012367,0.00010299,3.16E-05,
79,1384877.756,1384357.105,520.6506148,22.0473012,6.648017601,
80,1413333.194,1412382.041,951.1533216,845.0590729,260.0500332,
81,1460378.437,1457872.292,2506.144839,102.2352226,32.50807434,
82,1514933.984,1514196.944,737.0392528,11.77703801,3.884678396,
83,1494415.242,1493463.81,951.4311801,0.631211547,0.205386318,
84,1522926.388,1522926.388,0,23.94850525,7.941135557,
85,1501429.264,1501429.264,0,0.00010299,3.37E-05,
86,1481889.257,1481142.299,746.9583289,1.586547553,0.511910607,
87,1488370.043,1487923.725,446.3182704,0.00010299,3.34E-05,
88,1377162.026,1376484.825,677.2012367,440.0987338,131.965511,
89,1342498.544,1341063.328,1435.216247,6.419590335,1.876490731,
90,1357693.309,1357029.52,663.7891073,6.116354161,1.808088101,
91,1337889.341,1336454.125,1435.216247,0.00010299,3.00E-05,
92,1440149.118,1439412.078,737.0392528,333.1503288,104.4655258,
93,1503735.468,1503735.468,0,230.0699412,75.32803012,
94,1509137.847,1508664.743,473.1040421,55.34771426,18.18669932,
95,1536974.571,1536501.467,473.1040421,6.11624361,2.04680629,
96,1501125.561,1500351.817,773.7441006,45.55049807,14.88796832,
97,1480843.812,1479301.534,1542.278296,15.50459424,4.999135929,
98,1480221.403,1479775.085,446.3182704,53.49065266,17.23970627,
99,1371462.398,1368198.202,3264.196088,25.07363012,7.487320186,
100,1329639.197,1327589.437,2049.759991,17.63874771,5.106541238,
101,1429956.17,1429219.131,737.0392528,135.3819332,42.15108159,
102,1464864.883,1464864.883,0,287.0059773,91.54060854,
103,1553522.95,1552085.429,1437.521605,40.31551903,13.63688614,
104,1569037.289,1567817.226,1220.062371,51.9605084,17.75137269,
105,1547147.839,1543798.993,3348.846646,765.564986,257.8927677,
106,1490605.067,1490605.067,0,0.00010299,3.34E-05,
107,1451676.723,1450881.403,795.3199673,18.86468334,5.962724151,
108,1277652.077,1276790.477,861.5993892,3.8538967,1.072106578,
109,1396142.647,1396045.555,97.09204977,1615.752238,491.1677521,
110,1462937.973,1462937.973,0,2041.139664,650.1655001,
111,1527139.586,1525919.523,1220.062371,819.0363561,272.3373458,
112,1548171.087,1547424.129,746.9583289,0.00010299,3.47E-05,
113,1493965.938,1493192.194,773.7441006,725.5933355,236.025685,
114,1462614.089,1462140.985,473.1040421,97.40837708,31.02068231,
115,1441464.765,1441018.446,446.3182704,543.2621322,170.5056405,
116,1459050.015,1459050.015,0,191.8006225,60.93200617,
117,1348966.636,1348966.636,0,1096.877077,322.1695234,
118,1418951.097,1418951.097,0,1537.346575,474.9681613,
119,1421717.565,1421717.565,0,1733.533719,536.6250085,
120,1405286.09,1405286.09,0,402.6870641,123.2133347,
121,1451094.687,1451094.687,0,0.00010299,3.25E-05,
122,1433666.771,1433666.771,0,725.7637604,226.5524608,
123,1386317.465,1386317.465,0,267.1532931,80.63962734,
124,1355654.39,1355654.39,0,616.9085712,182.0937646,
125,1328506.919,1327194.198,1312.720738,32.23551107,9.324459485,
126,1333285.613,1333285.613,0,124.2987941,36.08405979,
127,1382263.262,1382263.262,0,26.36346757,7.934482076,
128,1395808.269,1395808.269,0,2.925833985,0.889202618,
129,1432855.552,1432855.552,0,47.58518228,14.84565739,
130,1408705.507,1405441.311,3264.196088,988.8130299,303.2911086,
131,1404673.152,1404673.152,0,3289.806615,1006.16901,
132,1408307.291,1408307.291,0,29.92842902,9.177124722,
133,1426175.077,1426175.077,0,8.728155037,2.710320065,
134,1474299.813,1473526.069,773.7441006,38.0301172,12.20783807,
135,1401314.795,1401314.795,0,981.5520766,299.4844925,
136,1272273.916,1271853.504,420.4122114,681.8316237,188.878728,
137,1403728.762,1403728.762,0,0.405635506,0.123977949,
138,1445917.79,1445122.47,795.3199673,10.63032909,3.34669085,
139,1434412.626,1434412.626,0,0.00010299,3.22E-05,
140,1419902.466,1419902.466,0,0.00010299,3.18E-05,
141,1383548.689,1380284.493,3264.196088,15.2984667,4.608585387,
142,1431011.374,1431011.374,0,365.1748832,113.7808753,
143,1464323.018,1464323.018,0,0.00010299,3.28E-05,
144,1391643.945,1391643.945,0,1119.399227,339.186394,
145,1467917.179,1467470.861,446.3182704,56.6822071,18.1164705,
146,1577840.301,1577093.343,746.9583289,140.1721887,48.15597551,
147,793323.1334,792492.2998,830.8335571,0.00010299,1.78E-05,
148,858854.2468,849571.4291,9282.817665,0.00010299,1.93E-05,
149,1391254.888,1389819.671,1435.216247,802.8836932,243.2117911,
150,1349210.235,1347281.102,1929.132987,0.00010299,3.03E-05,
151,1272028.242,1262048.704,9979.538235,401.8165556,111.2883916,
152,1189120.129,1185115.684,4004.445257,3737.743639,967.7440892,
153,1315361.812,1314338.637,1023.175097,1510.146795,432.5035534,
154,1435557.914,1434643.585,914.3289515,1559.560076,487.4702455,
155,1343544.833,1342365.593,1179.240262,943.8032282,276.0952323,
156,1283521.973,1281744.27,1777.702504,3633.875283,1015.543689,
157,1201664.402,1200485.161,1179.240262,3800.730356,994.43303,
158,1189721.343,1189368.718,352.6249524,3283.296511,850.5123878,
159,1237065.999,1236645.587,420.4122114,1500.507026,404.162662,
160,1330095.428,1329881.036,214.3919273,875.2958609,253.491243,
161,1561439.224,1559221.161,2218.063535,106.3106535,36.14324639,
162,1518312.091,1518312.091,0,156.4057365,51.70577047,
163,967460.3274,956857.344,10602.98335,4206.023084,885.9926162,
164,1061234.173,1051222.359,10011.81343,400.996756,92.65681575,
165,1189587.208,1184271.48,5315.72751,1920.097246,497.3301581,
166,1088061.585,1074091.055,13970.52959,1941.237516,459.8936771,
