num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,637883.8823,637053.0488,830.8335,0.00010299,1.43E-05,"182,522"
2,761578.2376,754544.0389,7034.1987,0.00010299,1.71E-05,
3,921010.1973,912192.6289,8817.5684,0.00010299,2.07E-05,
4,1014928.798,1001489.622,13439.176,58.99529221,1.30E+01,
5,1000729.035,987289.8587,13439.1763,142.8118795,3.11E+01,
6,677322.3718,676491.5382,830.8336,48.40819099,7.14E+00,
7,807288.0445,797901.672,9386.3725,178.3730884,3.14E+01,
8,777982.0434,770947.8447,7034.1987,62.80657353,1.06E+01,
9,616753.877,609813.4915,6940.3855,377.5755298,5.07E+01,
10,725323.7511,718636.7351,6687.016,92.57474947,1.46E+01,
11,675140.0701,675140.0701,0,0.00010299,1.51E-05,
12,693735.0903,692904.2567,830.8336,24.53771006,3.71E+00,
13,848720.4744,839867.2293,8853.2451,32.26452915,5.96E+00,
14,895555.0994,886862.5466,8692.5528,14.29122678,2.79E+00,
15,736146.5519,729459.5359,6687.016,26.29969088,4.22E+00,
16,897752.2501,888591.8448,9160.4053,0.00010299,2.01E-05,
17,787970.9362,779015.0654,8955.8708,0.00010299,1.77E-05,
18,837652.5542,828799.3091,8853.2451,56.94404446,1.04E+01,
19,840923.8503,832070.6053,8853.245,373.1507618,6.83E+01,
20,941372.512,932607.061,8765.451,73.75688622,1.51E+01,
21,975276.8462,967780.3384,7496.5078,12.42697009,2.64E+00,
22,1013913.762,1004964.159,8949.603,0.00010299,2.27E-05,
23,1008066.527,999994.9885,8071.5385,312.8469003,6.87E+01,
24,923896.9955,914110.7455,9786.25,181.1260925,3.64E+01,
25,1028697.56,1019757.006,8940.554,7.067088463,1.58E+00,
26,1102670.629,1095423.182,7247.447,6.464326556,1.55E+00,
27,1009728.922,1002145.927,7582.995,208.3514625,4.58E+01,
28,1036053.376,1028686.291,7367.085,289.3970132,6.53E+01,
29,1100288.031,1089846.081,10441.95,0.642453825,1.54E-01,
30,1059531.872,1050928.793,8603.079,27.62682143,6.37E+00,
31,1074571.64,1064238.349,10333.291,16.333015,3.82E+00,
32,1079768.651,1070569.951,9198.7,266.4666687,6.26E+01,
33,1065354.378,1058122.304,7232.074,0.00010299,2.39E-05,
34,1062263.146,1055031.072,7232.074,27.43729271,6.35E+00,
35,866440.7484,851644.0123,14796.7361,13.848952,2.61E+00,
36,1076071.473,1065052.387,11019.086,0.00010299,2.41E-05,
37,1127080.833,1115824.407,11256.426,0.00010299,2.53E-05,
38,1104299.561,1093682.823,10616.738,0.642446818,1.54E-01,
39,1119286.642,1110085.991,9200.651,0.00010299,2.51E-05,
40,1151857.859,1143140.983,8716.876,82.63511608,2.07E+01,
41,1128857.355,1120140.479,8716.876,6.083398538,1.50E+00,
42,1113341.731,1103878.168,9463.563,0.00010299,2.50E-05,
43,1101346.309,1094689.42,6656.889,0.00010299,2.47E-05,
44,1100250.112,1093018.038,7232.074,0.00010299,2.47E-05,
45,1089009.338,1081143.401,7865.937,179.8712483,4.26E+01,
46,1150374.063,1142893.083,7480.98,92.55002448,2.32E+01,
47,1188352.21,1181617.918,6734.292,242.9354251,6.29E+01,
48,1185537.135,1178616.928,6920.207,12.38459587,3.20E+00,
49,1145088.167,1134765.532,10322.635,16.65509752,4.15E+00,
50,1150810.746,1141586.954,9223.792,0.00010299,2.58E-05,
51,1138225.275,1129001.483,9223.792,14.51982728,3.60E+00,
52,1153049.272,1145072.164,7977.108,0.00010299,2.59E-05,
53,1003176.013,989736.8361,13439.1769,0.608113496,1.33E-01,
54,1129239.224,1119389.708,9849.516,1.851264205,4.55E-01,
55,1151606.619,1144125.638,7480.981,1.110747196,2.79E-01,
56,1160990.003,1151677.375,9312.628,13.10067463,3.31E+00,
57,1194946.701,1185634.072,9312.629,49.9156758,1.30E+01,
58,1178794.298,1169405.317,9388.981,0.796847896,2.05E-01,
59,1151001.548,1144579.612,6421.936,0.00010299,2.58E-05,
60,1085718.324,1077264.766,8453.558,46.75710141,1.11E+01,
61,1149359.985,1147397.125,1962.86,0.00010299,2.58E-05,
62,1144339.048,1136514.394,7824.654,91.76152943,2.29E+01,
63,1118795.715,1111753.788,7041.927,30.11767072,7.34E+00,
64,641889.2756,633036.0306,8853.245,3.195967297,4.47E-01,
65,953525.1601,938933.3424,14591.8177,528.3963552,1.10E+02,
66,989418.03,975253.5638,14164.4662,0.00010299,2.22E-05,
67,1054728.532,1045099.18,9629.352,138.8149333,3.19E+01,
68,1105458.162,1095124.871,10333.291,0.00010299,2.48E-05,
69,1120549.542,1110700.026,9849.516,54.51634872,1.33E+01,
70,1095470.297,1085522.959,9947.338,74.44696069,1.78E+01,
71,1155315.694,1146003.065,9312.629,0.00010299,2.59E-05,
72,1128675.518,1119524.284,9151.234,0.631209554,1.55E-01,
73,1149292.586,1140932.058,8360.528,9.296291089,2.33E+00,
74,1135664.893,1127760.981,7903.912,7.429876834,1.84E+00,
75,1136053.047,1129542.238,6510.809,0.00010299,2.55E-05,
76,1142433.753,1141519.424,914.329,2.12463254,5.28E-01,
