num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,637053.0488,637053.0488,-4.534E-05,0.00010299,1.42855E-05,"183,170"
2,762895.1684,754544.0389,8351.129467,0.00010299,1.71074E-05,
3,925129.8635,912192.6289,12937.23459,0.00010299,2.07455E-05,
4,1022141.936,1001489.622,20652.31386,58.99529221,13.12967115,
5,1007349.395,987289.8587,20059.53587,142.8118795,31.32346158,
6,677012.3122,676491.5382,520.7739699,48.40819099,7.13576774,
7,808663.7393,797901.672,10762.06731,178.3730884,31.40672033,
8,779298.9742,770947.8447,8351.129546,62.80657353,10.65698835,
9,616753.877,609813.4915,6940.385472,377.5755298,50.70385902,
10,725844.5251,718636.7351,7207.789983,92.57474947,14.6305764,
11,675140.0701,675140.0701,4.606E-05,0.00010299,1.51396E-05,
12,693425.0307,692904.2567,520.7739843,24.53771006,3.70474935,
13,849701.2147,839867.2293,9833.985414,32.26452915,5.96920998,
14,898885.5963,886862.5466,12023.04969,14.29122678,2.797043482,
15,736667.3259,729459.5359,7207.790001,26.29969088,4.218395909,
16,901365.631,888591.8448,12773.78622,0.00010299,2.02126E-05,
17,792485.5568,779015.0654,13470.49144,0.00010299,1.7771E-05,
18,839484.2119,828799.3091,10684.90283,56.94404446,10.40845163,
19,842755.508,832070.6053,10684.90274,373.1507618,68.47171692,
20,944893.4288,932607.061,12286.36777,73.75688622,15.17437066,
21,981324.8393,967780.3384,13544.50088,12.42697009,2.65523724,
22,1021106.432,1004964.159,16142.27311,0.00010299,2.28977E-05,
23,1015121.144,999994.9885,15126.15578,312.8469003,69.14726641,
24,927714.911,914110.7455,13604.1655,181.1260925,36.58649793,
25,1036126.726,1019757.006,16369.71954,7.067088463,1.594331729,
26,1109330.929,1095423.182,13907.7474,6.464326556,1.561383893,
27,1017041.666,1002145.927,14895.73883,208.3514625,46.1381933,
28,1042733.732,1028686.291,14047.44092,289.3970132,65.70414272,
29,1105976.979,1089846.081,16130.89785,0.642453825,0.154708185,
30,1065451.41,1050928.793,14522.61739,27.62682143,6.40899385,
31,1081595.793,1064238.349,17357.44409,16.333015,3.846419396,
32,1086923.507,1070569.951,16353.55623,266.4666687,63.0619157,
33,1072927.836,1058122.304,14805.5316,0.00010299,2.40597E-05,
34,1069836.604,1055031.072,14805.53152,27.43729271,6.391223352,
35,872584.7508,851644.0123,20940.73849,13.848952,2.631175489,
36,1081286.042,1065052.387,16233.65538,0.00010299,2.42472E-05,
37,1134598.903,1115824.407,18774.49555,0.00010299,2.54427E-05,
38,1113737.591,1093682.823,20054.76821,0.642446818,0.15579207,
39,1126804.712,1110085.991,16718.72058,0.00010299,2.52679E-05,
40,1160421.267,1143140.983,17280.28386,82.63511608,20.87880348,
41,1137420.763,1120140.479,17280.28398,6.083398538,1.506581765,
42,1122595.149,1103878.168,18716.98136,0.00010299,2.51735E-05,
43,1109295.768,1094689.42,14606.34806,0.00010299,2.48753E-05,
44,1108358.706,1093018.038,15340.66787,0.00010299,2.48543E-05,
45,1095157.137,1081143.401,14013.7356,179.8712483,42.89073335,
46,1159973.358,1142893.083,17080.27503,92.55002448,23.37490412,
47,1197727.718,1181617.918,16109.79975,242.9354251,63.35402833,
48,1194877.201,1178616.928,16260.27318,12.38459587,3.222036083,
49,1154313.43,1134765.532,19547.89765,16.65509752,4.185970988,
50,1157569.139,1141586.954,15982.18471,0.00010299,2.59578E-05,
51,1144983.668,1129001.483,15982.18458,14.51982728,3.619812102,
52,1161564.916,1145072.164,16492.75172,0.00010299,2.60474E-05,
53,1009796.372,989736.8361,20059.53581,0.608113496,0.133703795,
54,1138451.901,1119389.708,19062.1928,1.851264205,0.45888977,
55,1161205.913,1144125.638,17080.27544,1.110747196,0.280834042,
56,1170215.266,1151677.375,18537.89103,13.10067463,3.337987497,
57,1204171.964,1185634.072,18537.89177,49.9156758,13.08732093,
58,1187943.209,1169405.317,18537.89192,0.796847896,0.206108734,
59,1159453.481,1144579.612,14873.86926,0.00010299,2.6E-05,
60,1091076.053,1077264.766,13811.28683,46.75710141,11.10779587,
61,1157553.547,1147397.125,10156.42175,0.00010299,2.59574E-05,
62,1151988.168,1136514.394,15473.77435,91.76152943,23.01621723,
63,1127208.411,1111753.788,15454.62333,30.11767072,7.391811568,
64,643720.9334,633036.0306,10684.90278,3.195967297,0.447945569,
65,955551.3857,938933.3424,16618.04334,528.3963552,109.9358011,
66,996194.3023,975253.5638,20940.73852,0.00010299,2.2339E-05,
67,1061873.723,1045099.18,16774.5427,138.8149333,32.09477595,
68,1112976.232,1095124.871,17851.36081,0.00010299,2.49578E-05,
69,1129762.219,1110700.026,19062.19324,54.51634872,13.41031854,
70,1102988.367,1085522.959,17465.4084,74.44696069,17.87899859,
71,1164540.957,1146003.065,18537.8915,0.00010299,2.61141E-05,
72,1135634.084,1119524.284,16109.80003,0.631209554,0.15607641,
73,1154927.147,1140932.058,13995.08918,9.296291089,2.337704374,
74,1142249.328,1127760.981,14488.34695,7.429876834,1.847854668,
75,1142847.549,1129542.238,13305.3108,0.00010299,2.56276E-05,
76,1147911.808,1141519.424,6392.383785,2.12463254,0.531028265,
77,1144568.418,1136004.969,8563.448889,15.48768274,3.859699446,
78,1005788.338,994268.0513,11520.28706,0.00010299,2.25542E-05,
79,993670.5825,972729.844,20940.73851,22.0473012,4.770052442,
80,1030196.291,1013672.069,16524.22193,845.0590729,189.5537307,
81,1065514.123,1047764.909,17749.2144,102.2352226,23.71838112,
82,1100527.718,1084681.236,15846.4823,11.77703801,2.822034688,
83,1108258.205,1091641.63,16616.57456,0.631211547,0.152314474,
84,1133465.076,1119773.269,13691.80745,23.94850525,5.910331511,
85,1123923.482,1110231.675,13691.80746,0.00010299,2.52033E-05,
86,1102079.063,1086262.635,15816.42754,1.586547553,0.380707236,
87,1118229.72,1109749.132,8480.588147,0.00010299,2.50756E-05,
88,959405.7488,948476.539,10929.20983,440.0987338,91.93433123,
89,954941.4507,935810.1077,19131.34301,6.419590335,1.334778938,
90,995530.1237,978755.5809,16774.54282,6.116354161,1.325782604,
91,961125.9278,941994.5848,19131.34296,0.00010299,2.15526E-05,
92,1085019.683,1066481.791,18537.89186,333.1503288,78.70514955,
93,1125498.057,1110217.61,15280.44671,230.0699412,56.38062899,
94,1138065.751,1127144.403,10921.34837,55.34771426,13.71489004,
