num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
1,1102908.879,1099931.164,2977.715091,0.00010299,2.47E-05,"449,460"
2,1193560.179,1188749.677,4810.501799,0.00010299,2.68E-05,
3,1342500.089,1336597.471,5902.618325,0.00010299,3.01E-05,
4,1439114.926,1434338.518,4776.408057,58.99529221,1.85E+01,
5,1439689.033,1425828.113,13860.91951,142.8118795,4.48E+01,
6,1147849.197,1144015.318,3833.879174,48.40819099,1.21E+01,
7,1229015.245,1224440.232,4575.012968,178.3730884,4.77E+01,
8,1213047.782,1203647.425,9400.35675,62.80657353,1.66E+01,
9,1093041.672,1089044.08,3997.591719,377.5755298,8.99E+01,
10,1183752.717,1177436.651,6316.066391,92.57474947,2.39E+01,
11,1104617.752,1103143.174,1474.577665,0.00010299,2.48E-05,
12,1146698.95,1139271.521,7427.428618,24.53771006,6.13E+00,
13,1263293.195,1260453.657,2839.538433,32.26452915,8.87E+00,
14,1283970.976,1280429.354,3541.621587,14.29122678,4.00E+00,
15,1203021.27,1190614.932,12406.338,26.29969088,6.89E+00,
16,1315635.409,1299324.508,16310.90137,0.00010299,2.95E-05,
17,1214042.918,1207419.095,6623.822693,0.00010299,2.72E-05,
18,1266607.565,1258727.352,7880.213021,56.94404446,1.57E+01,
19,1269769.885,1261316.055,8453.829644,373.1507618,1.03E+02,
20,1320292.001,1315359.115,4932.885882,73.75688622,2.12E+01,
21,1366748.576,1346300.28,20448.29623,12.42697009,3.70E+00,
22,1420411.617,1408220.392,12191.225,0.00010299,3.19E-05,
23,1392402.306,1391814.067,588.2385709,312.8469003,9.48E+01,
24,1322808.988,1321500.506,1308.482447,181.1260925,5.22E+01,
25,1434951.478,1429100.459,5851.018704,7.067088463,2.21E+00,
26,1524018.159,1509892.374,14125.7846,6.464326556,2.15E+00,
27,1442433.906,1439892.511,2541.395285,208.3514625,6.54E+01,
28,1456783.991,1452619.673,4164.318077,289.3970132,9.18E+01,
29,1501530.207,1497092.192,4438.014922,0.642453825,2.10E-01,
30,1478588.007,1459115.736,19472.27106,27.62682143,8.89E+00,
31,1473671.587,1451409.389,22262.19822,16.333015,5.24E+00,
32,1486305.789,1475724.106,10581.68304,266.4666687,8.62E+01,
33,1446978.425,1434478.459,12499.96647,0.00010299,3.24E-05,
34,1441969.485,1425782.25,16187.23472,27.43729271,8.61E+00,
35,1285025.859,1265153.023,19872.83645,13.848952,3.87E+00,
36,1486374.784,1484167.261,2207.522711,0.00010299,3.33E-05,
37,1536108.525,1533520.737,2587.788112,0.00010299,3.44E-05,
38,1546214.069,1543904.906,2309.163162,0.642446818,2.16E-01,
39,1550554.014,1546883.191,3670.822961,0.00010299,3.48E-05,
40,1557451.604,1548153.882,9297.721856,82.63511608,2.80E+01,
41,1537065.47,1520121.632,16943.83773,6.083398538,2.04E+00,
42,1533866.317,1498892.792,34973.52474,0.00010299,3.44E-05,
43,1498777.036,1477008.729,21768.30652,0.00010299,3.36E-05,
44,1491296.847,1473073.023,18223.82384,0.00010299,3.34E-05,
45,1456532.655,1448935.466,7597.189308,179.8712483,5.70E+01,
46,1574680.276,1571932.289,2747.98744,92.55002448,3.17E+01,
47,1580688.511,1576696.86,3991.65128,242.9354251,8.36E+01,
48,1593489.824,1583613.334,9876.490343,12.38459587,4.30E+00,
