num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
1,304694.0583,0,637053.0488,0,1099931.164,2977.715,1,YES,Barangaroo_Headland Park,64884.12626
2,390046.5602,0,754544.0389,0,1188749.677,232.324,2,YES,Barangaroo_Northern Cove,74488.64591
3,505826.8442,0,912192.6289,0,1336597.471,935.104,3,YES,Barangaroo_Southern Cove,30794.77399
4,553774.2947,0,1001489.622,5856.182,1434338.518,1198.567,4,YES,Barangaroo_Jenkins Lane,13964.45013
5,546404.6757,0,987289.8587,0,1425828.113,1098.329,5,YES,Barangaroo_Ferry Terminal,33804.09123
6,342568.3747,0,676491.5382,0,1144015.318,0,6,YES,Sydney CBD_Moores Wharf,23405.44884
7,447450.1412,0,797901.672,0,1224440.232,0,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224
8,395243.7645,0,770947.8447,0,1203647.425,232.325,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025
9,297697.6284,0,609813.4915,0,1089044.08,1230.463,9,YES,Walsh Bay,66847.64739
10,379092.9802,0,718636.7351,0,1177436.651,232.324,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581
11,337462.8743,0,675140.0701,0,1103143.174,0,11,YES,Sydney CBD_Dawes Point Park,41747.85415
12,357991.3728,0,692904.2567,0,1139271.521,0,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033
13,436547.7296,0,839867.2293,0,1260453.657,1098.329,13,YES,Sydney CBD_Gloucester Walk,12779.90742
14,477278.1014,0,886862.5466,0,1280429.354,1098.329,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429
15,380423.7929,0,729459.5359,0,1190614.932,0,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852
16,500344.1017,0,888591.8448,0,1299324.508,1539.516,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035
17,405817.6646,0,779015.0654,0,1207419.095,441.187,17,YES,Sydney Opera House,40824.62043
18,445777.7329,0,828799.3091,0,1258727.352,412.549,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639
19,450878.0229,0,832070.6053,0,1261316.055,412.548,19,YES,Sydney CBD_Sydney Observatory,118316.4661
20,502288.8218,0,932607.061,5856.1824,1315359.115,1271.54,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912
21,541738.3903,0,967780.3384,0,1346300.28,1508.667,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424
22,562585.6056,0,1004964.159,746.688,1408220.392,2291.753,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661
23,564141.6281,0,999994.9885,1850.5525,1391814.067,214.392,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412
24,498597.9307,0,914110.7455,0,1321500.506,1098.329,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352
25,560605.3394,0,1019757.006,0,1429100.459,1911.487,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693
26,634663.1488,0,1095423.182,0,1509892.374,0,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604
27,555934.6265,0,1002145.927,0,1439892.511,1608.906,27,YES,Sydney CBD_The Rocks_Science House,7229.637676
28,568716.8324,0,1028686.291,746.688,1452619.673,2248.852,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092
29,603337.1555,0,1089846.081,2334.327,1497092.192,3608.852,29,YES,Sydney CBD_Grosvenor Place,11975.35026
30,575646.0563,0,1050928.793,746.688,1459115.736,2291.753,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857
31,586446.7496,0,1064238.349,746.688,1451409.389,1911.487,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832
32,598863.0038,0,1070569.951,2977.715,1475724.106,854.339,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135
33,601496.3446,0,1058122.304,0,1434478.459,0,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091
34,599859.0514,0,1055031.072,0,1425782.25,0,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246
35,468243.0805,0,851644.0123,0,1265153.023,1198.567,35,YES,Royal Botanic Gardens,431650.5595
36,601905.5411,0,1065052.387,0,1484167.261,1271.54,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797
37,632414.4599,0,1115824.407,0,1533520.737,1651.805,37,YES,Sydney CBD_35 Clarence St,12826.76054
38,631246.8685,0,1093682.823,1234.107,1543904.906,2094.771,38,YES,Sydney CBD_1 York St,7629.562321
39,634500.606,0,1110085.991,1587.64,1546883.191,3045.301,39,YES,Sydney CBD_AAP Centre,19490.92875
40,654875.7723,0,1143140.983,2231.027,1548153.882,2969.182,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988
41,625705.835,0,1120140.479,2231.027,1520121.632,1952.668,41,YES,Sydney CBD_Royal Exchange Building,7146.816926
42,623032.6353,0,1103878.168,2977.714,1498892.792,1952.668,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406
43,613221.0454,0,1094689.42,0,1477008.729,97.092,43,YES,Sydney CBD_Department of Education Building,6398.754555
44,623289.3715,0,1093018.038,0,1473073.023,0,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432
45,623978.8483,0,1081143.401,0,1448935.466,919.423,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785
46,683647.9528,0,1142893.083,746.688,1571932.289,1952.667,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467
47,706893.607,0,1181617.918,2494.345,1576696.86,1559.369,47,YES,Sydney CBD_Metcentre,13887.99946
48,683325.0021,0,1178616.928,2231.027,1583613.334,2872.09,48,YES,Sydney CBD_Australia Square,13399.92826
49,640322.7299,0,1134765.532,746.688,1534006.272,1952.668,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413
50,646642.7264,0,1141586.954,0,1537749.947,0,50,YES,Sydney CBD_25 Bligh St,16749.40533
51,636716.8662,0,1129001.483,0,1523933.809,0,51,YES,Sydney CBD_Wentworth Hotel,12746.48332
52,654341.8126,0,1145072.164,0,1535235.714,919.422,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128
