num_opportunities,EMP_2016,L2&L3,Marginal,Base,Net to Base,ERP,,
1,304694.0583,304694.0583,1.68E-05,304694.0583,1.68E-05,0.00010299,6.83E-06,"42,459"
2,390046.5602,390046.5602,-4.51E-05,390046.5602,-4.51E-05,0.00010299,8.75E-06,
3,509438.8201,505826.8442,3611.975881,505826.8442,3611.975881,0.00010299,1.14E-05,
4,559020.5791,553774.2947,5246.284369,553774.2947,5246.284369,58.99529221,7.18E+00,
5,556082.4337,546404.6757,9677.758013,546404.6757,9677.758013,142.8118795,1.73E+01,
6,342949.3572,342568.3747,380.9825255,342568.3747,380.9825255,48.40819099,3.61E+00,
7,447450.1412,447450.1412,6.68E-06,447450.1412,6.68E-06,178.3730884,1.74E+01,
8,395243.7645,395243.7645,-3.01E-05,395243.7645,-3.01E-05,62.80657353,5.40E+00,
9,297697.6284,297697.6284,7.60E-07,297697.6284,7.60E-07,377.5755298,2.45E+01,
10,379092.9802,379092.9802,7.94E-06,379092.9802,7.94E-06,92.57474947,7.64E+00,
11,337462.8743,337462.8743,-2.60E-07,337462.8743,-2.60E-07,0.00010299,7.57E-06,
12,357991.3728,357991.3728,-1.94E-05,357991.3728,-1.94E-05,24.53771006,1.91E+00,
13,436547.7296,436547.7296,-6.62E-06,436547.7296,-6.62E-06,32.26452915,3.07E+00,
14,483495.4252,477278.1014,6217.323842,477278.1014,6217.323842,14.29122678,1.50E+00,
15,381073.1794,380423.7929,649.3864542,380423.7929,649.3864542,26.29969088,2.18E+00,
16,505948.8182,500344.1017,5604.716507,500344.1017,5604.716507,0.00010299,1.13E-05,
17,406107.2355,405817.6646,289.5709295,405817.6646,289.5709295,0.00010299,9.11E-06,
18,446199.1281,445777.7329,421.3952195,445777.7329,421.3952195,56.94404446,5.53E+00,
19,450878.0229,450878.0229,4.08E-06,450878.0229,4.08E-06,373.1507618,3.66E+01,
20,502902.0618,502288.8218,613.2400199,502288.8218,613.2400199,73.75688622,8.08E+00,
21,542351.6303,541738.3903,613.2399952,541738.3903,613.2399952,12.42697009,1.47E+00,
22,563843.0901,562585.6056,1257.484532,562585.6056,1257.484532,0.00010299,1.26E-05,
23,564694.7267,564141.6281,553.0986243,564141.6281,553.0986243,312.8469003,3.85E+01,
24,503942.5116,498597.9307,5344.58088,498597.9307,5344.58088,181.1260925,1.99E+01,
25,561515.6412,560605.3394,910.3017925,560605.3394,910.3017925,7.067088463,8.64E-01,
26,634908.5054,634663.1488,245.3566041,634663.1488,245.3566041,6.464326556,8.94E-01,
27,563113.3559,555934.6265,7178.729377,555934.6265,7178.729377,208.3514625,2.55E+01,
28,570240.3742,568716.8324,1523.541846,568716.8324,1523.541846,289.3970132,3.59E+01,
29,613176.6463,603337.1555,9839.490764,603337.1555,9839.490764,0.642453825,8.58E-02,
30,576903.5408,575646.0563,1257.48451,575646.0563,1257.48451,27.62682143,3.47E+00,
31,586922.0317,586446.7496,475.2821139,586446.7496,475.2821139,16.333015,2.09E+00,
32,599416.1024,598863.0038,553.0986389,598863.0038,553.0986389,266.4666687,3.48E+01,
33,601496.3446,601496.3446,2.55E-05,601496.3446,2.55E-05,0.00010299,1.35E-05,
34,599859.0514,599859.0514,-1.54E-06,599859.0514,-1.54E-06,27.43729271,3.58E+00,
35,468243.0805,468243.0805,-3.72E-05,468243.0805,-3.72E-05,13.848952,1.41E+00,
36,603391.524,601905.5411,1485.982935,601905.5411,1485.982935,0.00010299,1.35E-05,
37,640878.3872,632414.4599,8463.927338,632414.4599,8463.927338,0.00010299,1.44E-05,
38,633245.6924,631246.8685,1998.823884,631246.8685,1998.823884,0.642446818,8.86E-02,
39,637399.7113,634500.606,2899.105267,634500.606,2899.105267,0.00010299,1.43E-05,
40,658211.9403,654875.7723,3336.168044,654875.7723,3336.168044,82.63511608,1.18E+01,
41,627784.5185,625705.835,2078.683536,625705.835,2078.683536,6.083398538,8.32E-01,
42,623585.734,623032.6353,553.098679,623032.6353,553.098679,0.00010299,1.40E-05,
43,613221.0454,613221.0454,-1.64E-05,613221.0454,-1.64E-05,0.00010299,1.38E-05,
44,623289.3715,623289.3715,1.31E-05,623289.3715,1.31E-05,0.00010299,1.40E-05,
45,623978.8483,623978.8483,-1.35E-05,623978.8483,-1.35E-05,179.8712483,2.44E+01,
46,686071.776,683647.9528,2423.823222,683647.9528,2423.823222,92.55002448,1.38E+01,
47,708704.1902,706893.607,1810.58316,706893.607,1810.58316,242.9354251,3.75E+01,
48,687274.4102,683325.0021,3949.408135,683325.0021,3949.408135,12.38459587,1.85E+00,
49,642608.5951,640322.7299,2285.865236,640322.7299,2285.865236,16.65509752,2.33E+00,
50,647195.825,646642.7264,553.0986222,646642.7264,553.0986222,0.00010299,1.45E-05,
51,637269.9648,636716.8662,553.0986172,636716.8662,553.0986172,14.51982728,2.01E+00,
52,654894.9113,654341.8126,553.0986933,654341.8126,553.0986933,0.00010299,1.47E-05,
53,567897.5657,558219.8077,9677.757966,558219.8077,9677.757966,0.608113496,7.52E-02,
54,660440.5956,657888.6731,2551.922503,657888.6731,2551.922503,1.851264205,2.66E-01,
