num_opportunities,EMP_2016,T2&T3,Marginal,Base,Net to Base,ERP,,
1,637963.3506,637053.0488,910.3017817,637053.0488,910.3017817,0.00010299,1.43E-05,"177,020"
2,758089.2769,754544.0389,3545.237984,754544.0389,3545.237984,0.00010299,1.70E-05,
3,912524.3753,912192.6289,331.7464123,912192.6289,331.7464123,0.00010299,2.05E-05,
4,1009527.656,1007345.804,2181.852384,1001489.622,8038.034384,58.99529221,1.30E+01,
5,993869.6422,987289.8587,6579.783483,987289.8587,6579.783483,142.8118795,3.09E+01,
6,677044.6368,676491.5382,553.0986363,676491.5382,553.0986363,48.40819099,7.14E+00,
7,797901.672,797901.672,-2.00E-05,797901.672,-2.00E-05,178.3730884,3.10E+01,
8,770947.8447,770947.8447,3.08E-05,770947.8447,3.08E-05,62.80657353,1.05E+01,
9,610723.7933,609813.4915,910.3017784,609813.4915,910.3017784,377.5755298,5.02E+01,
10,720371.3899,718636.7351,1734.654844,718636.7351,1734.654844,92.57474947,1.45E+01,
11,675140.0701,675140.0701,4.61E-05,675140.0701,4.61E-05,0.00010299,1.51E-05,
12,692904.2567,692904.2567,-2.44E-06,692904.2567,-2.44E-06,24.53771006,3.70E+00,
13,840185.0193,839867.2293,317.7899615,839867.2293,317.7899615,32.26452915,5.90E+00,
14,887194.293,886862.5466,331.7464197,886862.5466,331.7464197,14.29122678,2.76E+00,
15,729459.5359,729459.5359,2.87E-05,729459.5359,2.87E-05,26.29969088,4.18E+00,
16,888923.5912,888591.8448,331.746353,888591.8448,331.746353,0.00010299,1.99E-05,
17,779015.0654,779015.0654,-4.21E-05,779015.0654,-4.21E-05,0.00010299,1.75E-05,
18,829352.4078,828799.3091,553.0987017,828799.3091,553.0987017,56.94404446,1.03E+01,
19,832070.6053,832070.6053,-4.40E-05,832070.6053,-4.40E-05,373.1507618,6.76E+01,
20,939779.6291,938463.2434,1316.385705,932607.061,7172.568105,73.75688622,1.51E+01,
21,967780.3384,967780.3384,-3.49E-05,967780.3384,-3.49E-05,12.42697009,2.62E+00,
22,1007407.982,1005710.847,1697.135371,1004964.159,2443.823371,0.00010299,2.26E-05,
23,1002386.527,1001845.541,540.9864409,999994.9885,2391.538941,312.8469003,6.83E+01,
24,914442.4919,914110.7455,331.7464309,914110.7455,331.7464309,181.1260925,3.61E+01,
25,1023000.136,1019757.006,3243.13036,1019757.006,3243.13036,7.067088463,1.57E+00,
26,1095964.169,1095423.182,540.9866667,1095423.182,540.9866667,6.464326556,1.54E+00,
27,1005389.058,1002145.927,3243.130519,1002145.927,3243.130519,208.3514625,4.56E+01,
28,1032561.81,1029432.979,3128.830614,1028686.291,3875.518614,289.3970132,6.51E+01,
29,1094783.134,1092180.408,2602.725841,1089846.081,4937.052841,0.642453825,1.53E-01,
30,1053372.616,1051675.481,1697.135434,1050928.793,2443.823434,27.62682143,6.34E+00,
31,1065526.023,1064985.037,540.9861749,1064238.349,1287.674175,16.333015,3.79E+00,
32,1074088.652,1073547.666,540.985981,1070569.951,3518.700981,266.4666687,6.23E+01,
33,1058663.29,1058122.304,540.9862243,1058122.304,540.9862243,0.00010299,2.37E-05,
34,1055572.058,1055031.072,540.986152,1055031.072,540.986152,27.43729271,6.31E+00,
35,851644.0123,851644.0123,-3.28E-05,851644.0123,-3.28E-05,13.848952,2.57E+00,
36,1065593.373,1065052.387,540.9860313,1065052.387,540.9860313,0.00010299,2.39E-05,
37,1116365.394,1115824.407,540.9866752,1115824.407,540.9866752,0.00010299,2.50E-05,
38,1095457.916,1094916.93,540.9858142,1093682.823,1775.092814,0.642446818,1.53E-01,
39,1113341.779,1111673.631,1668.148052,1110085.991,3255.788052,0.00010299,2.50E-05,
40,1147029.666,1145372.01,1657.655688,1143140.983,3888.682688,82.63511608,2.06E+01,
41,1122912.493,1122371.506,540.9865796,1120140.479,2772.01358,6.083398538,1.49E+00,
42,1107396.869,1106855.882,540.9865365,1103878.168,3518.700536,0.00010299,2.48E-05,
43,1094689.42,1094689.42,-9.55E-05,1094689.42,-9.55E-05,0.00010299,2.45E-05,
44,1093018.038,1093018.038,-0.00023085,1093018.038,-0.00023085,0.00010299,2.45E-05,
45,1081143.401,1081143.401,-0.00028369,1081143.401,-0.00028369,179.8712483,4.23E+01,
46,1144756.44,1143639.771,1116.668789,1142893.083,1863.356789,92.55002448,2.31E+01,
47,1185228.932,1184112.263,1116.668848,1181617.918,3611.013848,242.9354251,6.27E+01,
48,1182365.019,1180847.955,1517.063913,1178616.928,3748.090913,12.38459587,3.19E+00,
49,1136628.889,1135512.22,1116.66931,1134765.532,1863.35731,16.65509752,4.12E+00,
50,1141586.954,1141586.954,-0.00016993,1141586.954,-0.00016993,0.00010299,2.56E-05,
51,1129001.483,1129001.483,-0.00030394,1129001.483,-0.00030394,14.51982728,3.57E+00,
52,1145072.164,1145072.164,-0.00027068,1145072.164,-0.00027068,0.00010299,2.57E-05,
53,997774.8706,989736.8361,8038.034517,989736.8361,8038.034517,0.608113496,1.32E-01,
54,1120677.382,1120136.395,540.9866688,1119389.708,1287.673669,1.851264205,4.52E-01,
55,1144872.326,1144872.326,-2.82E-05,1144125.638,746.6879718,1.110747196,2.77E-01,
56,1155025.071,1153908.401,1116.669699,1151677.375,3347.695699,13.10067463,3.29E+00,
57,1189118.845,1187865.099,1253.745851,1185634.072,3484.772851,49.9156758,1.29E+01,
58,1177810.061,1176693.392,1116.669139,1169405.317,8404.744139,0.796847896,2.04E-01,
59,1144579.612,1144579.612,0.00035632,1144579.612,0.00035632,0.00010299,2.57E-05,
60,1082630.476,1082089.49,540.9859991,1077264.766,5365.709999,46.75710141,1.10E+01,
61,1147397.125,1147397.125,0.00035056,1147397.125,0.00035056,0.00010299,2.57E-05,
62,1136514.394,1136514.394,-0.00038739,1136514.394,-0.00038739,91.76152943,2.27E+01,
63,1116578.511,1116578.511,0.00025366,1111753.788,4824.723254,30.11767072,7.32E+00,
64,633036.0306,633036.0306,-1.94E-06,633036.0306,-1.94E-06,3.195967297,4.41E-01,
65,938933.3424,938933.3424,1.49E-05,938933.3424,1.49E-05,528.3963552,1.08E+02,
66,983291.5983,975253.5638,8038.034543,975253.5638,8038.034543,0.00010299,2.20E-05,
67,1046072.714,1045099.18,973.5341512,1045099.18,973.5341512,138.8149333,3.16E+01,
68,1097282.272,1096741.286,540.9863388,1095124.871,2157.401339,0.00010299,2.46E-05,
69,1112373.653,1111832.667,540.9858662,1110700.026,1673.626866,54.51634872,1.32E+01,
70,1087294.408,1086753.422,540.9859227,1085522.959,1771.448923,74.44696069,1.76E+01,
71,1149583.085,1148466.416,1116.66924,1146003.065,3580.02024,0.00010299,2.58E-05,
72,1123272.375,1121755.311,1517.063541,1119524.284,3748.090541,0.631209554,1.54E-01,
73,1141164.382,1141164.382,0.00014546,1140932.058,232.3241455,9.296291089,2.31E+00,
74,1127760.981,1127760.981,0.00030071,1127760.981,0.00030071,7.429876834,1.82E+00,
75,1129542.238,1129542.238,-0.00047314,1129542.238,-0.00047314,0.00010299,2.53E-05,
76,1142013.341,1142013.341,-0.00043874,1141519.424,493.9165613,2.12463254,5.28E-01,
77,1136004.969,1136004.969,-0.00011474,1136004.969,-0.00011474,15.48768274,3.83E+00,
78,994268.0513,994268.0513,3.24E-05,994268.0513,3.24E-05,0.00010299,2.23E-05,
79,980767.8785,972729.844,8038.034528,972729.844,8038.034528,22.0473012,4.71E+00,
80,1014959.743,1013672.069,1287.674247,1013672.069,1287.674247,845.0590729,1.87E+02,
81,1050555.205,1048897.549,1657.655815,1047764.909,2790.295815,102.2352226,2.34E+01,
82,1088028.932,1086912.263,1116.669397,1084681.236,3347.696397,11.77703801,2.79E+00,
83,1095667.389,1093872.657,1794.73233,1091641.63,4025.75933,0.631211547,1.51E-01,
84,1120889.939,1119773.269,1116.669608,1119773.269,1116.669608,23.94850525,5.84E+00,
85,1111348.345,1110231.675,1116.66961,1110231.675,1116.66961,0.00010299,2.49E-05,
86,1086262.635,1086262.635,3.91E-05,1086262.635,3.91E-05,1.586547553,3.75E-01,
87,1109749.132,1109749.132,0.00035996,1109749.132,0.00035996,0.00010299,2.49E-05,
88,948476.539,948476.539,-2.88E-05,948476.539,-2.88E-05,440.0987338,9.09E+01,
89,935810.1077,935810.1077,4.51E-05,935810.1077,4.51E-05,6.419590335,1.31E+00,
90,981187.3663,978755.5809,2431.785363,978755.5809,2431.785363,6.116354161,1.31E+00,
91,947850.7672,941994.5848,5856.182401,941994.5848,5856.182401,0.00010299,2.13E-05,
92,1069829.488,1068712.818,1116.669529,1066481.791,3347.696529,333.1503288,7.76E+01,
93,1115972.993,1110217.61,5755.382684,1110217.61,5755.382684,230.0699412,5.59E+01,
94,1128487.611,1127556.952,930.6585639,1127144.403,1343.207564,55.34771426,1.36E+01,
95,1159993.959,1159063.3,930.6592812,1158650.752,1343.207281,6.11624361,1.54E+00,
96,1129648.102,1127704.296,1943.80607,1127704.296,1943.80607,45.55049807,1.12E+01,
97,1116935.545,1115818.876,1116.668941,1110761.828,6173.716941,15.50459424,3.77E+00,
98,1135278.43,1135278.43,0.00016976,1135278.43,0.00016976,53.49065266,1.32E+01,
99,975808.8547,975808.8547,-2.01E-05,975062.1668,746.6878799,25.07363012,5.33E+00,
100,936152.218,936152.218,-2.06E-05,936152.218,-2.06E-05,17.63874771,3.60E+00,
101,1050159.074,1048905.328,1253.746091,1046674.302,3484.772091,135.3819332,3.10E+01,
