num_opportunities,EMP_2016,,
1,304694.0583,304694.0583,1.676E-05
2,390046.5602,390046.5602,-4.506E-05
3,505826.8442,505826.8442,2.898E-05
4,553774.2947,553774.2947,1.57999E-06
5,546404.6757,546404.6757,3.638E-05
6,342568.3747,342568.3747,-1.196E-05
7,447450.1412,447450.1412,6.67997E-06
8,395243.7645,395243.7645,-3.006E-05
9,297697.6284,297697.6284,7.60017E-07
10,379092.9802,379092.9802,7.93999E-06
11,337462.8743,337462.8743,-2.60014E-07
12,357991.3728,357991.3728,-1.936E-05
13,436547.7296,436547.7296,-6.62002E-06
14,477278.1014,477278.1014,-4.52E-06
15,380423.7929,380423.7929,-3.99997E-06
16,500344.1017,500344.1017,-4.02E-06
17,405817.6646,405817.6646,3.448E-05
18,445777.7329,445777.7329,-3.052E-05
19,450878.0229,450878.0229,4.08001E-06
20,502288.82182419003,502288.82182419003,0
21,541738.3902994801,541738.3902994801,0
22,562585.6056,562585.6056,-1.442E-05
23,564141.6281,564141.6281,-2.881E-05
24,498597.9307,498597.9307,1.998E-05
25,560605.3394,560605.3394,-3.45201E-05
26,634663.1488,634663.1488,1.026E-05
27,555934.6265,555934.6265,-3.252E-05
28,568716.8324,568716.8324,2.308E-05
29,603337.1555,603337.1555,-2.861E-05
30,575646.0563,575646.0563,-3.60201E-05
31,586446.7496,586446.7496,3.718E-05
32,598863.0037857901,598863.0037857901,0
33,601496.3446,601496.3446,2.546E-05
34,599859.0514,599859.0514,-1.53994E-06
35,468243.0805,468243.0805,-3.722E-05
36,601905.5411,601905.5411,-4.701E-05
37,632414.4599,632414.4599,-6.20005E-06
38,631246.8685,631246.8685,-1.491E-05
39,634500.606,634500.606,-4.31004E-06
40,654875.7723,654875.7723,-4.68299E-05
41,625705.835,625705.835,-8.54E-06
42,623032.6353,623032.6353,2.58801E-05
43,613221.0454,613221.0454,-1.64099E-05
44,623289.3715130601,623289.3715130601,0
45,623978.8483,623978.8483,-1.35399E-05
46,683647.9528,683647.9528,2.665E-05
47,706893.607,706893.607,-3.92599E-05
48,683325.0021,683325.0021,4.817E-05
49,640322.7299,640322.7299,-4.053E-05
50,646642.7264,646642.7264,-3.091E-05
51,636716.8662,636716.8662,-3.59101E-05
52,654341.8126,654341.8126,4.016E-05
53,558219.8077,558219.8077,-1.072E-05
54,657888.6731,657888.6731,-4.96E-05
55,667430.5675,667430.5675,-1.403E-05
56,703969.0635,703969.0635,1.43499E-05
57,716864.3889,716864.3889,-2.45997E-06
58,686818.1742,686818.1742,-3.496E-05
59,656568.6933,656568.6933,3.216E-05
60,659034.6986,659034.6986,-2.472E-05
61,680583.8254,680583.8254,-2.97399E-05
62,655803.6002,655803.6002,-3.11399E-05
63,665915.4592,665915.4592,-2.784E-05
64,279396.8028,279396.8028,-3.844E-05
65,532611.4329,532611.4329,-4.262E-05
66,553286.8459,553286.8459,2.79801E-05
67,595570.2941,595570.2941,2.709E-05
68,624702.1311,624702.1311,5.70004E-06
69,649439.5988,649439.5988,-3.261E-05
70,618703.3539,618703.3539,-3.11004E-06
71,662425.1484,662425.1484,2.594E-05
72,624109.8986,624109.8986,1.659E-05
73,643838.2046,643838.2046,-2.604E-05
74,653928.6428,653928.6428,-3.764E-05
75,661320.9548,661320.9548,-7.43999E-06
76,675412.0045,675412.0045,3.716E-05
77,696186.7067,696186.7067,9.96003E-06
78,559522.715,559522.715,-1.1188E-05
79,539763.7072,539763.7072,-1.83199E-05
80,574092.8542,574092.8542,2.76901E-05
81,601412.6483,601412.6483,4.819E-05
82,628226.8848,628226.8848,2.576E-05
83,622301.3076,622301.3076,4.62601E-05
84,635368.8418,635368.8418,4.50599E-05
85,643156.7817,643156.7817,4.616E-05
86,664435.1375,664435.1375,2.376E-05
87,681737.1961,681737.1961,1.136E-05
88,540322.3715,540322.3715,4.43205E-06
89,500885.0621,500885.0621,-4.9648E-05
90,536905.2144,536905.2144,3.078E-05
91,507687.767,507687.767,3.398E-05
92,627792.0721,627792.0721,1.956E-05
93,670392.4284,670392.4284,3.576E-05
94,694974.4536,694974.4536,-2.027E-05
95,709154.7273,709154.7273,4.86299E-05
96,703359.3441,703359.3441,-2.097E-05
97,659982.8692,659982.8692,1.096E-05
98,672796.6858,672796.6858,-3.844E-05
99,579723.3555,579723.3555,-1.241E-05
100,539643.7119,539643.7119,1.449E-05
101,629217.792,629217.792,2.84599E-05
102,642977.1416,642977.1416,2.056E-05
103,738848.3426,738848.3426,8.42998E-06
104,774605.9852,774605.9852,-2.115E-05
105,748468.6536,748468.6536,-2.94996E-06
106,709353.1683,709353.1683,9.17993E-06
107,681985.8491,681985.8491,-6.63998E-06
108,479547.3153,479547.3153,4.1E-05
109,606152.3387,606152.3387,3.14601E-05
110,635787.7968,635787.7968,-3.83996E-06
111,705289.5609594301,705289.5609594301,0
112,746292.4009,746292.4009,-3.727E-05
113,699229.3081,699229.3081,-4.49701E-05
114,646199.4101,646199.4101,-2.444E-05
115,679966.5086,679966.5086,-7.73999E-06
116,695264.4258,695264.4258,-3.354E-05
117,584761.9934,584761.9934,2.69799E-05
118,632272.4081,632272.4081,-1.414E-05
119,663612.8656,663612.8656,2.298E-05
120,663586.3616,663586.3616,-1.67199E-05
121,679236.8402,679236.8402,-5.83997E-06
122,668175.5527,668175.5527,1.35996E-06
123,626318.1718,626318.1718,-3.822E-05
124,614657.8192,614657.8192,4.428E-05
125,549709.1881,549709.1881,1.00799E-05
126,577774.506,577774.506,1.208E-05
127,617046.8799,617046.8799,-4.332E-05
128,637911.8593,637911.8593,-1.494E-05
129,654747.4184,654747.4184,-6.73998E-06
130,639290.6589393601,639290.6589393601,0
131,616418.236,616418.236,3.28E-06
132,642089.0193,642089.0193,4.33599E-05
133,645309.6247,645309.6247,3.256E-05
134,677362.096,677362.096,-2.095E-05
135,617862.2285454801,617862.2285454801,0
136,487476.476,487476.476,-3.2E-05
137,617862.2285454801,617862.2285454801,0
138,684073.3822,684073.3822,2.686E-05
139,661278.1732,661278.1732,1.918E-05
140,617134.8287,617134.8287,-7.71997E-06
141,588073.7831,588073.7831,-2.72004E-06
142,654730.7362,654730.7362,8.57993E-06
143,697500.7868,691644.6044,5856.182379
144,589337.8661,589337.8661,-4.732E-05
145,695087.511,695087.511,-1.214E-05
146,757147.877,757147.877,3.957E-05
147,16745.5369,16745.5369,1.6E-06
148,83546.30351,83546.30351,-4.42E-06
149,528047.9274,528047.9274,3.84799E-05
150,521584.0769,521584.0769,2.758E-05
151,432159.6406,432159.6406,4.188E-05
152,407131.117,407131.117,-3.7508E-05
153,478992.022,478992.022,-4.51802E-06
154,577520.0184626121,577520.0184626121,0
155,507464.4423,507464.4423,-3.2468E-05
156,461071.7162,461071.7162,-4.3748E-05
157,428680.8886,428680.8886,4.6252E-05
158,402037.0128,402037.0128,3.48E-05
159,491875.39427560003,491875.39427560003,0
160,552867.9127,552867.9127,1.838E-05
161,676738.405,676738.405,-1.58601E-05
162,664079.1875,664079.1875,2.89601E-05
163,102828.5062,102828.5062,4.906E-05
164,245372.5065,245372.5065,1.796E-05
165,394722.24338390003,394722.24338390003,0
166,277078.3322,277078.3322,4.206E-05
167,185414.2069,185414.2069,-3.854E-05
168,548999.2747,548999.2747,3.71004E-06
169,477002.7311,477002.7311,-1.97E-05
170,489271.7854,489271.7854,1.52E-05
171,532755.7931,532755.7931,-3.46E-05
172,450180.6451,450180.6451,-2.1E-05
173,320642.5594,320642.5594,1.126E-05
174,648546.1624,648546.1624,-4.34008E-06
175,481084.4472,481084.4472,3.437E-05
176,586009.4383,586009.4383,2.93599E-05
177,614430.5337,614430.5337,3.68E-06
178,543579.9625,543579.9625,-1.692E-05
179,494666.2238,494666.2238,2.94E-05
180,388003.5332,388003.5332,-1.02E-05
181,554074.3813,554074.3813,-1.552E-05
182,520149.024,520149.024,-4.592E-05
183,419907.2677,419907.2677,-2.73E-06
184,531156.7638,531156.7638,4.03801E-05
185,441353.1774,441353.1774,-1.82999E-06
186,404581.5077,404581.5077,4.95196E-06
187,531248.2825,531248.2825,3.75321E-05
188,579759.6883,579759.6883,-1.192E-05
189,573563.6181,573563.6181,4.35801E-05
190,532768.243,532768.243,1.05799E-05
191,514073.0498,514073.0498,4.608E-05
192,643873.6323,643873.6323,3.208E-05
193,539487.0398,539487.0398,-4.642E-05
194,745287.2469,745287.2469,1.53499E-05
195,617195.2054,617195.2054,-4.77199E-05
196,439019.6337,439019.6337,-5.72001E-06
197,744884.9369,744884.9369,-4.36499E-05
198,614151.6853,608295.5029,5856.182357
199,419798.5096,419798.5096,1.358E-05
200,629711.4435,629711.4435,1.14995E-06
201,580883.2917465001,580883.2917465001,0
202,415699.413,415699.413,1.828E-05
205,563691.9419,563691.9419,-1.422E-05
206,470594.7031,470594.7031,7.28003E-06
207,334235.2435,334235.2435,1.57004E-06
208,639296.0059,639296.0059,-4.27699E-05
209,416643.865,416643.865,2.428E-05
210,590325.7246,590325.7246,-5.20993E-06
211,573895.9503,573895.9503,-4.971E-05
212,450404.786,450404.786,2.237E-05
213,421201.8302,421201.8302,3.077E-05
214,263222.0435,263222.0435,1.068E-05
215,685872.3126,685872.3126,4.37901E-05
216,395633.1338,395633.1338,1.75001E-06
217,517120.9486,517120.9486,-2.153E-05
218,432414.2607,432414.2607,-3.723E-05
219,433588.0272,433588.0272,-1.803E-05
220,324633.5448,324633.5448,-1.202E-05
221,143340.4475,143340.4475,-7.78001E-06
222,433501.2743,433501.2743,-7.72998E-06
223,58253.43987,58253.43987,6.09994E-07
224,503984.7983,503984.7983,-1.333E-05
225,78841.58559,78841.58559,1.60999E-06
226,90553.53979,90553.53979,-1.94799E-06
227,208498.3518,208498.3518,1.3062E-05
228,218467.3252,218467.3252,8.35201E-06
229,164668.5663,164668.5663,2.7452E-05
230,75715.34645,75715.34645,-2.47994E-07
