source_zip,shape_group,shape_entry,shape_sha256,shape_uncompressed_bytes,shape_line_count,shape_zip_compressed_bytes,dedup_component_parts,packaged_no_shapes_zip,notes
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/1974_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2001_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_stage1_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_stage1and2_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_v2_stage1.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/2056_v2_stage1and2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Layers.zip,,,,0,0,0,,,No shapes.txt entry found.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v2.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v3.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2024/Stuart Mills Eastern Suburbs Rail Thesis/Thesis Data Stuart Mills/Raw Code/Mills_v4.zip,a8fc638492806b0f,shapes.txt,a8fc638492806b0f2297dcb1b3b898a0123c277944a706dd1941a60ed2edba6f,966804752,12822234,255637983,data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part01; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part02; data/gtfs_shapes_deduplicated/a8fc638492806b0f/shapes.txt.gz.part03,metadata/GTFS_COMPONENT_MANIFEST.csv,Reconstruct by combining scenario rows in metadata/GTFS_COMPONENT_MANIFEST.csv with deduplicated shapes group a8fc638492806b0f. bytes=257565076; gzip_sha256=6f0dbdc81d1ac714504d8176d9a2252a2167ca3e30d73dcd895f469fb49b67d5.
